GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	3301765	10074168	3970	0.0792
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	10074469	10112125	21	-0.3858
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	10120563	35169852	13162	0.0866
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	35170408	35262199	46	0.436
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	35270029	66448295	18862	0.0911
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	66450959	74569510	4705	0.4185
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	74569556	150768299	27624	0.4029
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	150798513	150861017	33	0.7847
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	150864342	160232589	5109	0.3998
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	160233179	160236040	3	-0.8398
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	160238395	173332886	9277	0.4084
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	173332958	189819270	9989	0.4152
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	189821972	189822045	2	-0.9617
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	189822062	192151874	1312	0.4296
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	192153379	192160343	2	-1.2253
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	1	192165170	247650984	35540	0.4206
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	480597	88831554	50688	-0.2844
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	94675825	94979072	99	0.2879
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	94983368	95994792	193	0.4051
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	95995183	96913658	304	0.6646
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	96915029	123123640	14056	0.1115
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	123126362	123133483	6	-1.0349
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	123135123	163965974	21823	0.1207
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	163966798	164120309	94	-0.2558
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	164124192	229601082	37948	0.1296
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	229603902	240511255	6365	0.1004
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	240511351	241502271	458	0.1397
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	2	241504411	241537572	23	-0.1756
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	3	2170634	84734108	48566	0.2383
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	3	84736081	90401331	2678	0.3008
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	3	90406012	122981406	16222	0.1098
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	3	122986191	123163597	148	0.4252
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	3	123168654	197812401	39479	0.1105
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	4	1059384	48067890	28346	0.421
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	4	51832470	187842528	75020	-0.269
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	5	913983	45378354	26103	0.3981
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	5	45383300	180311439	74642	-0.2769
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	5	180316194	180316637	3	-2.8572
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	5	180317009	180934240	225	-0.2788
60f924df-f5b8-4b65-ac22-3c1289e8f6f9	6	1011760	57347009	34113	0.109
