GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	1	3301765	14655621	6303	-0.0367
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	1	14656329	30864570	8548	-0.0084
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	1	30867589	30867774	2	-2.0715
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	1	30868159	38812362	4249	-0.0124
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	1	38813652	237046703	103812	0.0121
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	1	237046716	247650984	6641	-0.0351
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	2	480597	666443	170	0.0553
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	2	666964	7920413	4367	-0.062
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	2	7920758	13826256	3976	-0.0168
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	2	13826496	149183710	69945	0.0116
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	2	149183768	149193276	6	-1.0505
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	2	149193560	227889633	45596	0.0176
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	2	227890635	241537572	7977	-0.0288
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	3	2170634	9075280	4049	-0.0615
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	3	9077251	189167602	98744	0.0126
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	3	189168296	197812401	4250	-0.0527
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	4	1059384	17302053	10052	-0.031
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	4	17302299	124720173	59538	0.02
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	4	124723041	124724803	2	1.7699
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	4	124724814	178929775	29458	0.018
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	4	178933071	187842528	4329	-0.0461
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	5	913983	2321536	446	0.0187
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	5	2321582	8147858	4750	-0.0624
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	5	8148529	13391696	3298	-0.0179
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	5	13392619	167935530	84892	0.0167
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	5	167938274	180934240	7600	-0.0322
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	6	1011760	14614774	9822	-0.0374
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	6	14614826	160974285	82524	0.0141
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	6	160974755	161696103	568	-0.0149
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	6	161696783	167119305	3281	-0.0668
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	6	167119574	170596889	851	-0.0059
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	7	664936	6071541	2017	-0.0171
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	7	6071861	10386136	1812	-0.0684
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	7	10386774	14343374	2849	-0.013
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	7	14345601	145673269	68351	0.0134
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	7	145674128	155816682	5309	-0.0304
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	7	155820781	155822982	2	-1.6013
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	7	155823050	158592540	1511	-0.0354
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	8	667625	2939826	828	-0.0215
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	8	2939882	8494187	2481	-0.0867
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	8	8494263	14205112	3033	-0.0251
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	8	14208966	98530020	48473	0.0091
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	8	98533277	98580396	28	-1.0785
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	8	98583571	101837088	1799	-0.0023
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	8	101840061	125717743	13991	0.0207
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	8	125720041	134942275	6815	-0.0033
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	8	134942635	144182542	4688	-0.0516
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	9	789794	13029143	6633	-0.0522
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	9	13029817	119839735	51881	0.0061
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	9	119840972	138044505	9876	-0.0306
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	10	366509	809323	155	-0.0072
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	10	811211	812082	2	-1.6041
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	10	812093	10049427	6531	-0.0503
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	10	10052545	124666169	69502	0.007
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	10	124666456	133411599	4963	-0.0466
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	11	456012	3690563	1051	0.0132
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	11	3693166	8496179	3247	-0.0701
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	11	8500814	12638356	3022	-0.0201
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	11	12638794	58040493	24301	0.0132
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	11	58040588	74865650	7604	-0.0136
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	11	74868406	123864813	31124	0.0082
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	11	123866772	124671720	610	-0.0414
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	11	124673419	124678476	3	-1.1247
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	11	124679202	134272740	6489	-0.0342
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	12	780472	13311020	6876	-0.0405
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	12	13311467	125605612	64260	0.0054
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	12	125606139	132605822	3105	-0.0468
1c75b51b-d273-4eb8-ac86-f4e0b1a283a1	13	18874255	105956491	51563	0.0093
