GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	3301765	217586535	110680	-0.0024
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	217587461	217588526	3	-1.1911
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	217590668	220695102	2081	0.0041
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	220695166	220705910	2	-1.2607
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	220706275	221405132	437	-0.0107
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	221406716	221407063	2	-1.8849
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	221407528	231858527	6145	-0.0032
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	231863112	231863117	2	-1.2132
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	231863801	242239700	7756	-0.0031
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	242243893	242244619	4	-1.0667
4438cfc9-efe1-43db-972d-8f64eab0a4e7	1	242245765	247650984	2678	0.0054
4438cfc9-efe1-43db-972d-8f64eab0a4e7	2	480597	6590841	3630	0.003
4438cfc9-efe1-43db-972d-8f64eab0a4e7	2	6591339	6591608	2	-1.5392
4438cfc9-efe1-43db-972d-8f64eab0a4e7	2	6593837	158854184	80782	0.0069
4438cfc9-efe1-43db-972d-8f64eab0a4e7	2	158857124	158869757	4	-1.0792
4438cfc9-efe1-43db-972d-8f64eab0a4e7	2	158869978	237021765	45300	0.0032
4438cfc9-efe1-43db-972d-8f64eab0a4e7	2	237024018	237038645	14	-0.9533
4438cfc9-efe1-43db-972d-8f64eab0a4e7	2	237043341	241537572	2524	0.0113
4438cfc9-efe1-43db-972d-8f64eab0a4e7	3	2170634	197812401	107205	-0.0004
4438cfc9-efe1-43db-972d-8f64eab0a4e7	4	1059384	187842528	103542	-0.0057
4438cfc9-efe1-43db-972d-8f64eab0a4e7	5	913983	180934240	101167	0
4438cfc9-efe1-43db-972d-8f64eab0a4e7	6	1011760	170596889	97208	0.0007
4438cfc9-efe1-43db-972d-8f64eab0a4e7	7	664936	158592540	81959	-0.0011
4438cfc9-efe1-43db-972d-8f64eab0a4e7	8	667625	144182542	82251	0
4438cfc9-efe1-43db-972d-8f64eab0a4e7	9	789794	138044505	68509	-0.0001
4438cfc9-efe1-43db-972d-8f64eab0a4e7	10	366509	133411599	81322	0.0017
4438cfc9-efe1-43db-972d-8f64eab0a4e7	11	456012	134272740	77616	0.0012
4438cfc9-efe1-43db-972d-8f64eab0a4e7	12	780472	16174311	8765	0.0049
4438cfc9-efe1-43db-972d-8f64eab0a4e7	12	16174812	16176119	6	-0.7687
4438cfc9-efe1-43db-972d-8f64eab0a4e7	12	16179103	70559051	29225	0.0031
4438cfc9-efe1-43db-972d-8f64eab0a4e7	12	70559202	70560392	4	-0.9833
4438cfc9-efe1-43db-972d-8f64eab0a4e7	12	70560528	132605822	36385	-0.0003
4438cfc9-efe1-43db-972d-8f64eab0a4e7	13	18874255	73504119	31195	-0.0002
4438cfc9-efe1-43db-972d-8f64eab0a4e7	13	73506464	73507503	2	-1.2761
4438cfc9-efe1-43db-972d-8f64eab0a4e7	13	73510575	114226675	25809	-0.0004
4438cfc9-efe1-43db-972d-8f64eab0a4e7	14	20033191	73614417	30191	0.0041
4438cfc9-efe1-43db-972d-8f64eab0a4e7	14	73616975	73617197	3	-1.316
4438cfc9-efe1-43db-972d-8f64eab0a4e7	14	73618387	105533894	19607	0.0025
4438cfc9-efe1-43db-972d-8f64eab0a4e7	15	23437561	54499785	16611	0.0043
4438cfc9-efe1-43db-972d-8f64eab0a4e7	15	54500230	54500317	2	-1.1447
4438cfc9-efe1-43db-972d-8f64eab0a4e7	15	54500536	58337260	2298	0.0069
4438cfc9-efe1-43db-972d-8f64eab0a4e7	15	58337352	58337820	4	-1.0299
4438cfc9-efe1-43db-972d-8f64eab0a4e7	15	58338041	101344124	25883	0.0038
4438cfc9-efe1-43db-972d-8f64eab0a4e7	16	603333	50652646	16372	0.0043
4438cfc9-efe1-43db-972d-8f64eab0a4e7	16	50653048	50653104	2	-1.2032
4438cfc9-efe1-43db-972d-8f64eab0a4e7	16	50653343	79402037	18309	0.0053
4438cfc9-efe1-43db-972d-8f64eab0a4e7	16	79403043	79403148	2	-1.2304
4438cfc9-efe1-43db-972d-8f64eab0a4e7	16	79403270	89317317	6540	0.0075
4438cfc9-efe1-43db-972d-8f64eab0a4e7	17	1074619	82959812	37286	0.0073
4438cfc9-efe1-43db-972d-8f64eab0a4e7	18	326691	35500232	16939	0.0079
4438cfc9-efe1-43db-972d-8f64eab0a4e7	18	35501190	35501196	2	-1.9024
4438cfc9-efe1-43db-972d-8f64eab0a4e7	18	35501777	79349796	26040	0.0083
4438cfc9-efe1-43db-972d-8f64eab0a4e7	19	283868	58370362	24160	0.0064
4438cfc9-efe1-43db-972d-8f64eab0a4e7	20	472817	63588502	37568	0.0063
4438cfc9-efe1-43db-972d-8f64eab0a4e7	21	13974127	46262057	20603	0.0122
4438cfc9-efe1-43db-972d-8f64eab0a4e7	22	16934932	48940621	17098	0.0089
4438cfc9-efe1-43db-972d-8f64eab0a4e7	X	3236359	155677414	63902	0.0151
