GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
35f73ee2-4833-41fb-ad36-10c3580ab385	1	3301765	50928422	25478	-0.0054
35f73ee2-4833-41fb-ad36-10c3580ab385	1	50929560	103068609	32727	0.0119
35f73ee2-4833-41fb-ad36-10c3580ab385	1	103074261	103524378	162	-0.0529
35f73ee2-4833-41fb-ad36-10c3580ab385	1	103793015	104242143	229	-1.1389
35f73ee2-4833-41fb-ad36-10c3580ab385	1	104247629	189115234	33955	0.0099
35f73ee2-4833-41fb-ad36-10c3580ab385	1	189120286	189123361	14	-0.9464
35f73ee2-4833-41fb-ad36-10c3580ab385	1	189127329	205290142	9752	0.0072
35f73ee2-4833-41fb-ad36-10c3580ab385	1	205293375	205294176	5	-1.5321
35f73ee2-4833-41fb-ad36-10c3580ab385	1	205295036	207667431	1299	-0.0056
35f73ee2-4833-41fb-ad36-10c3580ab385	1	207670623	207670997	2	-3.0779
35f73ee2-4833-41fb-ad36-10c3580ab385	1	207676380	210843113	2485	-0.0022
35f73ee2-4833-41fb-ad36-10c3580ab385	1	210848347	210870553	14	-1.0009
35f73ee2-4833-41fb-ad36-10c3580ab385	1	210874027	239971402	19212	0.0029
35f73ee2-4833-41fb-ad36-10c3580ab385	1	239972472	239972633	2	-2.1226
35f73ee2-4833-41fb-ad36-10c3580ab385	1	239973057	247650984	4358	0.0011
35f73ee2-4833-41fb-ad36-10c3580ab385	2	480597	212252479	114277	0.0065
35f73ee2-4833-41fb-ad36-10c3580ab385	2	212252999	212253016	2	-2.4775
35f73ee2-4833-41fb-ad36-10c3580ab385	2	212253044	213145491	575	0.0062
35f73ee2-4833-41fb-ad36-10c3580ab385	2	213145987	213146692	2	-1.1598
35f73ee2-4833-41fb-ad36-10c3580ab385	2	213147216	213182904	29	-0.0297
35f73ee2-4833-41fb-ad36-10c3580ab385	2	213184444	213184486	2	-3.6147
35f73ee2-4833-41fb-ad36-10c3580ab385	2	213185720	241537572	17274	0.0045
35f73ee2-4833-41fb-ad36-10c3580ab385	3	2170634	191512104	104487	0.0007
35f73ee2-4833-41fb-ad36-10c3580ab385	3	191512612	191772653	205	0.6146
35f73ee2-4833-41fb-ad36-10c3580ab385	3	191778243	197812401	2453	0.0027
35f73ee2-4833-41fb-ad36-10c3580ab385	4	1059384	187842528	103470	0.0018
35f73ee2-4833-41fb-ad36-10c3580ab385	5	914118	111172818	58478	0.0103
35f73ee2-4833-41fb-ad36-10c3580ab385	5	111172962	111188201	4	-2.0175
35f73ee2-4833-41fb-ad36-10c3580ab385	5	111188225	180934240	42595	0.0098
35f73ee2-4833-41fb-ad36-10c3580ab385	6	1011760	51800799	30643	0.0026
35f73ee2-4833-41fb-ad36-10c3580ab385	6	51801606	51804519	3	-1.6096
35f73ee2-4833-41fb-ad36-10c3580ab385	6	51804764	103872916	26793	0.0035
35f73ee2-4833-41fb-ad36-10c3580ab385	6	103873557	103874314	3	-1.4035
35f73ee2-4833-41fb-ad36-10c3580ab385	6	103877088	112023621	4883	-0.0013
35f73ee2-4833-41fb-ad36-10c3580ab385	6	112026529	112026917	3	-1.4176
35f73ee2-4833-41fb-ad36-10c3580ab385	6	112028326	146961703	20672	0.005
35f73ee2-4833-41fb-ad36-10c3580ab385	6	146967428	146968239	4	-1.1266
35f73ee2-4833-41fb-ad36-10c3580ab385	6	146968780	170596889	14149	0.0009
35f73ee2-4833-41fb-ad36-10c3580ab385	7	665647	72240162	37450	-0.0041
35f73ee2-4833-41fb-ad36-10c3580ab385	7	72241805	152646144	41299	0.0123
35f73ee2-4833-41fb-ad36-10c3580ab385	7	152646781	158592540	3162	-0.0144
35f73ee2-4833-41fb-ad36-10c3580ab385	8	667625	144182542	82201	0.0013
35f73ee2-4833-41fb-ad36-10c3580ab385	9	789794	138044505	68450	-0.0007
