GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7631ad97-63bd-48b9-9ff3-381368384c9c	1	3301765	73659682	40236	0.0132
7631ad97-63bd-48b9-9ff3-381368384c9c	1	73660097	73661105	2	-1.6789
7631ad97-63bd-48b9-9ff3-381368384c9c	1	73661478	211653125	66230	0.0116
7631ad97-63bd-48b9-9ff3-381368384c9c	1	211656127	247650984	23106	-0.0045
7631ad97-63bd-48b9-9ff3-381368384c9c	2	480597	17263396	10841	0.0018
7631ad97-63bd-48b9-9ff3-381368384c9c	2	17263759	102180064	43206	0.0124
7631ad97-63bd-48b9-9ff3-381368384c9c	2	102181940	109110011	4224	-0.0037
7631ad97-63bd-48b9-9ff3-381368384c9c	2	109110656	109119293	3	-1.2244
7631ad97-63bd-48b9-9ff3-381368384c9c	2	109120850	193769288	45723	0.0016
7631ad97-63bd-48b9-9ff3-381368384c9c	2	193771901	193773983	3	-1.4143
7631ad97-63bd-48b9-9ff3-381368384c9c	2	193774435	220701361	15439	-0.0079
7631ad97-63bd-48b9-9ff3-381368384c9c	2	220706180	220706442	3	-1.1535
7631ad97-63bd-48b9-9ff3-381368384c9c	2	220709385	241537572	12633	-0.0101
7631ad97-63bd-48b9-9ff3-381368384c9c	3	2170634	3159839	430	-0.0238
7631ad97-63bd-48b9-9ff3-381368384c9c	3	3160096	144668597	79256	0.011
7631ad97-63bd-48b9-9ff3-381368384c9c	3	144668729	197812401	27388	-0.0107
7631ad97-63bd-48b9-9ff3-381368384c9c	4	1059384	108569408	60370	0.0117
7631ad97-63bd-48b9-9ff3-381368384c9c	4	108571276	108599109	5	-1.0839
7631ad97-63bd-48b9-9ff3-381368384c9c	4	108609169	187842528	43005	0.0127
7631ad97-63bd-48b9-9ff3-381368384c9c	5	913983	85622529	45753	0.0007
7631ad97-63bd-48b9-9ff3-381368384c9c	5	85623594	85627919	3	-1.2815
7631ad97-63bd-48b9-9ff3-381368384c9c	5	85634475	180934240	55246	-0.0009
7631ad97-63bd-48b9-9ff3-381368384c9c	6	1011760	31204878	19365	-0.0056
7631ad97-63bd-48b9-9ff3-381368384c9c	6	31208262	31208825	2	1.2281
7631ad97-63bd-48b9-9ff3-381368384c9c	6	31210138	46958100	8474	0.0057
7631ad97-63bd-48b9-9ff3-381368384c9c	6	46960032	46960083	2	-1.4349
7631ad97-63bd-48b9-9ff3-381368384c9c	6	46963821	170596889	69227	0.0003
7631ad97-63bd-48b9-9ff3-381368384c9c	7	664936	158592540	81863	0.006
7631ad97-63bd-48b9-9ff3-381368384c9c	8	667625	42799673	24961	-0.0174
7631ad97-63bd-48b9-9ff3-381368384c9c	8	42800138	135754996	53042	0.0085
7631ad97-63bd-48b9-9ff3-381368384c9c	8	135755042	135767191	7	-0.8194
7631ad97-63bd-48b9-9ff3-381368384c9c	8	135775049	144182542	4128	0.0224
