GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	1	3301765	247650984	129553	0.0002
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	2	480597	188718869	101315	0.0062
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	2	188718951	188718989	2	-2.3098
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	2	188719183	232146578	25010	0.0093
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	2	232148445	232158299	2	-1.6111
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	2	232158362	241537572	5704	0.0108
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	3	2170634	197812401	107039	0.0022
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	4	1059384	105673011	58742	0.0027
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	4	105673468	105673898	2	1.7594
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	4	105678178	136410991	16395	0.0018
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	4	136411021	136411082	2	-1.5366
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	4	136412395	187842528	28210	0.0039
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	5	913983	159395138	87952	0.0007
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	5	159402519	159403466	2	-2.0163
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	5	159403811	180934240	13037	0.0015
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	6	1011760	79896105	44191	0.0027
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	6	79897002	79903029	9	-0.855
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	6	79904867	117806547	21392	-0.0028
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	6	117806805	117810968	2	-1.5778
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	6	117811734	167120675	30581	0.0004
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	6	167120802	167121020	2	1.5969
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	6	167123738	170596889	847	0.0139
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	7	664936	158592540	81832	0.0041
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	8	667625	144182542	82127	0.0013
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	9	789794	138044505	68411	0.0019
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	10	366509	133411599	81212	0.0019
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	11	456012	40415660	25330	0.0016
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	11	40418104	40418836	2	-1.9425
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	11	40425977	134272740	52139	0.0014
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	12	780472	132605822	74260	0.0003
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	13	18874255	114226675	56919	0.0039
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	14	20033191	105533894	49716	0.0011
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	15	23437561	101344124	44718	0.0013
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	16	603333	89317317	41163	0.0027
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	17	1074619	82959812	37241	0.0044
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	18	326691	46553841	23664	0.0028
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	18	46554200	46554215	2	-2.8653
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	18	46554600	79349796	19238	0.0005
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	19	283868	58370362	24127	-0.0012
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	20	472817	63588502	37512	-0.0011
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	21	13974127	46262057	20575	0.0028
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	22	16934932	48940621	17074	0.0033
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	X	3236359	17706711	5922	0.0083
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	X	17708418	17710902	4	-2.2064
9e3ba384-fe69-46d0-bf1a-b1faa7b28a3d	X	17712988	155677414	57943	0.006
