GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	3301765	38131187	18646	0.1105
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	38135808	38136401	2	-1.7493
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	38140728	54305236	8606	0.1048
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	54309530	54310317	2	-1.2927
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	54311071	55660063	961	0.1035
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	55663431	55663693	2	-1.2145
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	55667795	62818249	5176	0.0939
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	62819362	62847648	16	1.3334
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	62847792	70062082	5007	0.1114
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	70066692	70147287	55	2.0855
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	70154163	70355624	38	2.5224
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	70359871	70678596	212	2.073
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	70685947	70852406	101	2.7079
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	70883725	71116725	118	1.9378
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71121212	71339472	100	0.1053
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71344716	71372815	20	2.0861
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71378425	71379400	2	3.7751
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71380548	71439399	26	2.5243
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71440351	71446335	5	3.5851
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71450955	71502804	33	1.68
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71503334	71628288	59	0.9912
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71633478	71758166	74	0.0967
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71760735	71776907	15	1.518
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	71777559	72542484	378	0.133
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	72631417	72676364	68	1.5095
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	72676494	72702390	26	0.0913
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	72712976	73187189	252	1.486
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	73191419	73232277	30	2.1548
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	73245645	73388601	71	1.5562
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	73390283	74110145	425	0.9988
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	74114150	74671714	287	0.119
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	74676521	74678984	5	2.7368
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	74679187	98012034	14265	0.1067
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	98014208	98016564	5	1.9886
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	98020076	163409962	20579	0.1048
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	163412260	163452414	40	1.199
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	163453252	169879189	4867	0.1066
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	169886435	169897617	10	2.1692
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	169898571	184880344	9312	0.1017
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	184882248	203478567	11103	0.1214
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	203479794	212884955	6305	0.1047
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	212887402	212899671	12	1.8807
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	212909162	223043718	6803	0.1176
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	223116005	223132068	13	1.952
9efff8a5-949d-4ad2-8d08-dfce8d3239f3	1	223135623	225201788	1267	0.11
