GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	3301765	26730873	12795	-0.4439
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	26741188	48053141	11233	-0.147
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	48053843	62180510	8917	-0.1757
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	62181086	89967930	17211	-0.4942
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	89968166	89971073	7	-5.01
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	89971610	89977671	3	-2.291
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	89986113	113208595	13530	-0.5005
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	113208823	113209018	2	-2.7529
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	113209037	146716041	4186	-0.4881
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	149906351	152302521	995	0.3146
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	152302977	157295539	2494	0.359
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	157300051	164683642	4936	0.3212
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	164686204	165498571	785	0.3766
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	165498628	171684189	4406	0.3218
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	171684422	175015661	1928	0.2917
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	175015749	185100429	6349	0.3325
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	185101760	200606806	9124	0.2714
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	200613204	209620126	5939	0.3568
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	209620674	210603920	745	0.2472
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	210604989	210607203	3	-0.7698
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	210609581	215259367	3121	0.2294
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	215262458	218004190	1828	0.1815
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	218006249	218008896	6	-0.5777
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	218008915	218255756	190	0.1938
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	1	218256102	247650984	18604	0.2287
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	480597	46300401	27641	-0.4638
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	46301148	46303919	3	-2.7855
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	46304197	81965264	19975	-0.4674
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	81967193	81969821	3	-0.0648
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	82090732	85112936	1685	0.7976
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	85113324	86443441	680	0.8756
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	86444085	94675825	595	0.8225
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	94675975	94703691	10	0.4002
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	94706535	94833666	40	0.2175
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	94833669	95403809	196	0.3509
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	95405756	101060201	2436	0.218
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	101060720	103081917	1218	0.1638
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	103082926	104410351	779	0.1069
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	104410666	111717890	3682	0.1784
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	111720547	111737323	5	0.9207
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	111741134	114628878	1552	0.1723
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	114629270	117514716	1187	0.1139
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	117514769	120311535	1737	0.1817
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	120315886	121945545	961	0.2101
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	121947227	126427355	1967	0.1232
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	126427648	127793796	788	0.173
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	127795429	127796774	3	-0.6893
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	127802243	134635388	3267	0.1612
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	134635540	167685237	18735	0.1224
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	167688690	179841775	7733	0.1516
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	179841842	197214835	8464	0.1123
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	197215656	197455417	89	0.1781
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	197459087	197486320	11	0.6792
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	197487555	197551716	20	0.0865
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	197557674	198287337	390	0.5775
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	198290010	201030880	1686	0.1408
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	201031921	206349462	2975	0.584
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	206352204	209142218	1653	0.1295
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	209142599	229415507	12695	-0.7511
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	229417777	229421935	2	-3.2835
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	229422423	233324589	1842	-0.7616
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	233326182	233326656	3	-2.8289
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	233327174	239137164	3721	-0.7355
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	239137733	239139610	2	-4.4155
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	2	239143835	241537572	1361	-0.7526
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	2170634	8230516	3428	0.3969
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	8231029	15078541	4479	0.4448
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	15079441	16582509	1008	0.4041
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	16582589	18220365	903	0.3499
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	18225882	18235642	7	-0.6929
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	18236691	36404099	10702	0.3683
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	36404826	41157986	2963	0.4096
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	41161400	41333913	247	0.3085
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	41334083	69429678	16003	0.4118
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	69431887	70468078	792	0.2705
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	70468124	74074574	2591	0.3126
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	74074712	82706220	4493	0.253
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	82706841	82707026	2	1.4183
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	82709592	106816864	10504	0.2405
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	106817207	122697331	9102	0.3839
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	122697578	129651589	4056	0.4494
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	129652676	131957154	1263	0.3804
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	131957740	142005802	5887	0.4126
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	142008144	149375306	3429	0.3728
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	149381582	151430180	1228	-0.3081
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	151432634	151583409	82	0.1485
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	151585396	151692136	83	-0.2924
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	151696157	157269906	3019	0.141
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	157273603	157304799	34	0.5207
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	157306867	157327720	11	0.2189
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	157328061	182718773	12792	-0.304
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	3	182719954	197812401	7838	-0.2727
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	4	1059384	5591618	2201	0.3185
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	4	5591810	8609449	2086	0.3651
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	4	8614369	10382492	604	0.3171
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	4	10385128	23875606	9316	0.2538
ae0fe7b8-3e13-4418-8e42-1d1572e6936b	4	23879854	26175750	1626	0.2972
