GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
86ec09cd-5375-4d44-b1d2-d3f854f1e301	1	3301765	35638423	17359	-0.0296
86ec09cd-5375-4d44-b1d2-d3f854f1e301	1	35641909	35643104	2	-1.652
86ec09cd-5375-4d44-b1d2-d3f854f1e301	1	35644009	49867213	7671	-0.0196
86ec09cd-5375-4d44-b1d2-d3f854f1e301	1	49869856	226991336	91276	-0.0018
86ec09cd-5375-4d44-b1d2-d3f854f1e301	1	226992373	226993157	2	-1.6812
86ec09cd-5375-4d44-b1d2-d3f854f1e301	1	226993280	247217308	13019	0.0023
86ec09cd-5375-4d44-b1d2-d3f854f1e301	1	247222815	247227491	4	-1.0246
86ec09cd-5375-4d44-b1d2-d3f854f1e301	1	247227505	247650984	265	0.0401
86ec09cd-5375-4d44-b1d2-d3f854f1e301	2	480597	241537572	132095	0.0028
86ec09cd-5375-4d44-b1d2-d3f854f1e301	3	2170634	197812401	107070	0.0027
86ec09cd-5375-4d44-b1d2-d3f854f1e301	4	1059384	7769715	3809	-0.012
86ec09cd-5375-4d44-b1d2-d3f854f1e301	4	7769907	7770448	2	-2.2873
86ec09cd-5375-4d44-b1d2-d3f854f1e301	4	7772625	92463076	47645	0.0063
86ec09cd-5375-4d44-b1d2-d3f854f1e301	4	92467915	92819258	163	0.6395
86ec09cd-5375-4d44-b1d2-d3f854f1e301	4	92819373	187842528	51791	0.0011
86ec09cd-5375-4d44-b1d2-d3f854f1e301	5	913983	180934240	101020	0.0021
86ec09cd-5375-4d44-b1d2-d3f854f1e301	6	1011760	134363401	75387	0.0008
86ec09cd-5375-4d44-b1d2-d3f854f1e301	6	134363475	134369607	4	-1.3356
86ec09cd-5375-4d44-b1d2-d3f854f1e301	6	134370307	170596889	21685	-0.0006
86ec09cd-5375-4d44-b1d2-d3f854f1e301	7	664936	158592540	81890	0.0029
86ec09cd-5375-4d44-b1d2-d3f854f1e301	8	667625	144182542	82137	0.0012
86ec09cd-5375-4d44-b1d2-d3f854f1e301	9	789794	1735396	401	-0.0327
86ec09cd-5375-4d44-b1d2-d3f854f1e301	9	1736082	118173464	56825	0.0028
86ec09cd-5375-4d44-b1d2-d3f854f1e301	9	118177856	138044505	11188	-0.0185
86ec09cd-5375-4d44-b1d2-d3f854f1e301	10	366509	86291346	51766	0.0015
86ec09cd-5375-4d44-b1d2-d3f854f1e301	10	86291657	86291710	2	-1.9646
86ec09cd-5375-4d44-b1d2-d3f854f1e301	10	86291762	133411599	29443	-0.0004
86ec09cd-5375-4d44-b1d2-d3f854f1e301	11	456012	123355993	70022	0.0015
86ec09cd-5375-4d44-b1d2-d3f854f1e301	11	123359146	123361538	2	-2.9061
86ec09cd-5375-4d44-b1d2-d3f854f1e301	11	123362093	131534317	5844	0.004
86ec09cd-5375-4d44-b1d2-d3f854f1e301	11	131535835	131536249	5	0.8336
86ec09cd-5375-4d44-b1d2-d3f854f1e301	11	131538285	134272740	1617	-0.0081
86ec09cd-5375-4d44-b1d2-d3f854f1e301	12	780472	74785641	40251	0.0079
86ec09cd-5375-4d44-b1d2-d3f854f1e301	12	74792132	74792534	3	-1.7596
86ec09cd-5375-4d44-b1d2-d3f854f1e301	12	74793920	132605822	34041	0.0057
86ec09cd-5375-4d44-b1d2-d3f854f1e301	13	18874255	68999735	28377	0.0037
86ec09cd-5375-4d44-b1d2-d3f854f1e301	13	69003293	69003487	2	1.4968
86ec09cd-5375-4d44-b1d2-d3f854f1e301	13	69004361	106730287	23803	0.0001
86ec09cd-5375-4d44-b1d2-d3f854f1e301	13	106731890	106732362	2	-1.5039
86ec09cd-5375-4d44-b1d2-d3f854f1e301	13	106732887	114226675	4762	-0.0001
86ec09cd-5375-4d44-b1d2-d3f854f1e301	14	20033191	50494748	15704	0.0039
86ec09cd-5375-4d44-b1d2-d3f854f1e301	14	50494964	50495221	2	-1.3488
86ec09cd-5375-4d44-b1d2-d3f854f1e301	14	50499898	59057911	5744	0.0077
86ec09cd-5375-4d44-b1d2-d3f854f1e301	14	59061023	59061650	2	-1.5148
86ec09cd-5375-4d44-b1d2-d3f854f1e301	14	59061827	79541637	12518	0.0058
86ec09cd-5375-4d44-b1d2-d3f854f1e301	14	79542571	79543073	2	-1.4735
86ec09cd-5375-4d44-b1d2-d3f854f1e301	14	79544319	105533894	15765	0.0051
86ec09cd-5375-4d44-b1d2-d3f854f1e301	15	23437561	101344124	44745	-0.0084
86ec09cd-5375-4d44-b1d2-d3f854f1e301	16	603333	89317317	41176	-0.0053
86ec09cd-5375-4d44-b1d2-d3f854f1e301	17	1074619	82959812	37233	-0.005
86ec09cd-5375-4d44-b1d2-d3f854f1e301	18	326691	32397782	15058	0.0013
86ec09cd-5375-4d44-b1d2-d3f854f1e301	18	32401062	32401065	3	-1.5977
86ec09cd-5375-4d44-b1d2-d3f854f1e301	18	32402540	79349796	27862	0.0077
86ec09cd-5375-4d44-b1d2-d3f854f1e301	19	283868	40781700	16911	0.0043
86ec09cd-5375-4d44-b1d2-d3f854f1e301	19	40783492	40785214	2	-2.9476
86ec09cd-5375-4d44-b1d2-d3f854f1e301	19	40787216	58370362	7216	0.0013
86ec09cd-5375-4d44-b1d2-d3f854f1e301	20	472817	58192569	34053	-0.0039
86ec09cd-5375-4d44-b1d2-d3f854f1e301	20	58193856	58194309	3	1.4198
