GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7d37230e-b526-4f97-9352-86aebface055	1	3301765	7492401	2734	0.0041
7d37230e-b526-4f97-9352-86aebface055	1	7492530	7494922	2	-1.707
7d37230e-b526-4f97-9352-86aebface055	1	7511538	7606927	78	0.0326
7d37230e-b526-4f97-9352-86aebface055	1	7618193	7622177	2	-2.2496
7d37230e-b526-4f97-9352-86aebface055	1	7622429	247650984	126637	-0.0004
7d37230e-b526-4f97-9352-86aebface055	2	480597	241537572	131952	-0.002
7d37230e-b526-4f97-9352-86aebface055	3	2170634	197812401	107013	0.0022
7d37230e-b526-4f97-9352-86aebface055	4	1059384	52872244	28864	0.003
7d37230e-b526-4f97-9352-86aebface055	4	52872349	52872357	2	-2.4365
7d37230e-b526-4f97-9352-86aebface055	4	52873095	187842528	74443	0.0058
7d37230e-b526-4f97-9352-86aebface055	5	914118	180934240	100954	0.0025
7d37230e-b526-4f97-9352-86aebface055	6	1011760	33879387	19886	0.0004
7d37230e-b526-4f97-9352-86aebface055	6	33879568	33883084	2	-1.543
7d37230e-b526-4f97-9352-86aebface055	6	33883208	76073214	22331	0.0028
7d37230e-b526-4f97-9352-86aebface055	6	76073613	76138280	13	0.5706
7d37230e-b526-4f97-9352-86aebface055	6	76144602	88587594	6950	0.005
7d37230e-b526-4f97-9352-86aebface055	6	88588871	88589781	2	-2.0205
7d37230e-b526-4f97-9352-86aebface055	6	88593131	170596889	47830	0.0046
7d37230e-b526-4f97-9352-86aebface055	7	664936	13541416	5948	0.0006
7d37230e-b526-4f97-9352-86aebface055	7	13541453	13543169	2	-1.5805
7d37230e-b526-4f97-9352-86aebface055	7	13543203	33558815	12625	-0.0025
7d37230e-b526-4f97-9352-86aebface055	7	33558968	33559009	2	-1.9514
7d37230e-b526-4f97-9352-86aebface055	7	33559512	158592540	63230	0.0054
7d37230e-b526-4f97-9352-86aebface055	8	667625	144182542	82120	-0.0013
7d37230e-b526-4f97-9352-86aebface055	9	789794	138044505	68372	-0.0012
7d37230e-b526-4f97-9352-86aebface055	10	366509	113612285	68290	0.0006
7d37230e-b526-4f97-9352-86aebface055	10	113612397	113612826	2	-1.5676
7d37230e-b526-4f97-9352-86aebface055	10	113616143	133411599	12842	0.001
7d37230e-b526-4f97-9352-86aebface055	11	456012	134272740	77426	-0.0004
7d37230e-b526-4f97-9352-86aebface055	12	780472	117091721	66388	0.0037
7d37230e-b526-4f97-9352-86aebface055	12	117095416	117096902	3	-1.917
7d37230e-b526-4f97-9352-86aebface055	12	117097305	132605822	7838	0.0013
7d37230e-b526-4f97-9352-86aebface055	13	18874255	114226675	56890	0.0025
7d37230e-b526-4f97-9352-86aebface055	14	20033191	90268554	40605	0.0007
7d37230e-b526-4f97-9352-86aebface055	14	90269363	90280468	2	-1.7727
7d37230e-b526-4f97-9352-86aebface055	14	90282543	105533894	9091	-0.0031
7d37230e-b526-4f97-9352-86aebface055	15	23437561	101344124	44699	-0.0015
7d37230e-b526-4f97-9352-86aebface055	16	603333	52842954	17993	0.0023
7d37230e-b526-4f97-9352-86aebface055	16	52843846	52845192	2	-1.4671
7d37230e-b526-4f97-9352-86aebface055	16	52852423	89317317	23139	0.0045
7d37230e-b526-4f97-9352-86aebface055	17	1074619	82959812	37204	0.0016
7d37230e-b526-4f97-9352-86aebface055	18	326691	79349796	42878	-0.0007
7d37230e-b526-4f97-9352-86aebface055	19	283868	58370362	24099	0.0057
7d37230e-b526-4f97-9352-86aebface055	20	472817	1995047	924	-0.0198
7d37230e-b526-4f97-9352-86aebface055	20	1997519	1997655	3	-1.308
7d37230e-b526-4f97-9352-86aebface055	20	2000694	63588502	36548	-0.0023
7d37230e-b526-4f97-9352-86aebface055	21	13974127	25622230	7222	0.0041
7d37230e-b526-4f97-9352-86aebface055	21	25626753	25635648	3	-1.4187
7d37230e-b526-4f97-9352-86aebface055	21	25637466	46262057	13343	-0.0026
7d37230e-b526-4f97-9352-86aebface055	22	16934932	48940621	17041	0.0001
7d37230e-b526-4f97-9352-86aebface055	X	3236359	155677414	63892	0.0006
