GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
083315bd-fac2-4fb6-ad91-1271b00bb737	1	3301765	8948680	3506	0.1115
083315bd-fac2-4fb6-ad91-1271b00bb737	1	8949347	8967332	11	-0.9419
083315bd-fac2-4fb6-ad91-1271b00bb737	1	8967855	31759874	11774	0.1076
083315bd-fac2-4fb6-ad91-1271b00bb737	1	31765214	39557105	4143	-0.6904
083315bd-fac2-4fb6-ad91-1271b00bb737	1	39559408	39560301	2	-4.2951
083315bd-fac2-4fb6-ad91-1271b00bb737	1	39561792	119984772	48291	-0.675
083315bd-fac2-4fb6-ad91-1271b00bb737	1	146716041	151153671	447	0.0942
083315bd-fac2-4fb6-ad91-1271b00bb737	1	151154135	151159899	2	-1.2612
083315bd-fac2-4fb6-ad91-1271b00bb737	1	151166348	234541805	52764	0.1083
083315bd-fac2-4fb6-ad91-1271b00bb737	1	234541991	234563490	2	-1.2634
083315bd-fac2-4fb6-ad91-1271b00bb737	1	234563753	247650984	8205	0.1066
083315bd-fac2-4fb6-ad91-1271b00bb737	2	480597	58430212	34113	-0.6885
083315bd-fac2-4fb6-ad91-1271b00bb737	2	58434934	72653132	8502	0.1183
083315bd-fac2-4fb6-ad91-1271b00bb737	2	72654542	72688642	17	-0.5019
083315bd-fac2-4fb6-ad91-1271b00bb737	2	72694776	82597124	5204	0.1145
083315bd-fac2-4fb6-ad91-1271b00bb737	2	82599931	82603145	2	-1.2995
083315bd-fac2-4fb6-ad91-1271b00bb737	2	82603674	168862392	42056	0.1146
083315bd-fac2-4fb6-ad91-1271b00bb737	2	168862819	168862990	2	-1.9742
083315bd-fac2-4fb6-ad91-1271b00bb737	2	168864690	227869619	33843	0.1121
083315bd-fac2-4fb6-ad91-1271b00bb737	2	227870120	227872531	4	-0.7571
083315bd-fac2-4fb6-ad91-1271b00bb737	2	227876534	227887158	9	0.0118
083315bd-fac2-4fb6-ad91-1271b00bb737	2	227887415	228082160	162	-0.5811
083315bd-fac2-4fb6-ad91-1271b00bb737	2	228083758	228341219	158	0.1175
083315bd-fac2-4fb6-ad91-1271b00bb737	2	228352267	228658998	191	-0.6362
083315bd-fac2-4fb6-ad91-1271b00bb737	2	228661140	228829365	77	0.0923
083315bd-fac2-4fb6-ad91-1271b00bb737	2	228833766	228839016	4	-1.0039
083315bd-fac2-4fb6-ad91-1271b00bb737	2	228841413	234190093	2924	0.1032
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234191239	234385213	152	-0.6427
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234387306	234408280	17	0.1294
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234411924	234495485	66	-0.6614
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234498420	234580253	69	0.1258
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234581767	234688435	84	-0.6898
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234692567	234700935	10	0.1219
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234714546	234862455	124	-0.6174
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234866235	234882051	12	0.0846
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234883166	234907022	11	-0.7194
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234910737	234914339	5	0.0887
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234916786	234942004	17	-0.6491
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234947315	234956001	6	0.1297
083315bd-fac2-4fb6-ad91-1271b00bb737	2	234958741	235114726	43	-0.6339
083315bd-fac2-4fb6-ad91-1271b00bb737	2	235118470	235170775	43	0.1501
083315bd-fac2-4fb6-ad91-1271b00bb737	2	235171199	235176921	11	-0.62
083315bd-fac2-4fb6-ad91-1271b00bb737	2	235182179	235366496	154	0.1386
083315bd-fac2-4fb6-ad91-1271b00bb737	2	235367796	235513170	102	0.0188
083315bd-fac2-4fb6-ad91-1271b00bb737	2	235513180	235687505	117	0.1264
083315bd-fac2-4fb6-ad91-1271b00bb737	2	235689906	235967882	177	-0.6497
083315bd-fac2-4fb6-ad91-1271b00bb737	2	235968829	239439468	2043	0.1097
083315bd-fac2-4fb6-ad91-1271b00bb737	2	239441417	239815461	273	-0.6078
083315bd-fac2-4fb6-ad91-1271b00bb737	2	239817576	239859020	25	0.1205
083315bd-fac2-4fb6-ad91-1271b00bb737	2	239887867	240082468	166	-0.6886
083315bd-fac2-4fb6-ad91-1271b00bb737	2	240082942	241537572	744	0.1229
083315bd-fac2-4fb6-ad91-1271b00bb737	3	2170634	73729207	42822	0.1087
083315bd-fac2-4fb6-ad91-1271b00bb737	3	73729253	105769348	14630	0.0895
083315bd-fac2-4fb6-ad91-1271b00bb737	3	105769728	161615638	31194	0.108
083315bd-fac2-4fb6-ad91-1271b00bb737	3	161618566	165760698	1761	0.069
083315bd-fac2-4fb6-ad91-1271b00bb737	3	165760763	197812401	16517	0.1054
083315bd-fac2-4fb6-ad91-1271b00bb737	4	1059384	11000981	5374	0.1123
083315bd-fac2-4fb6-ad91-1271b00bb737	4	11001969	11425179	357	-0.7184
083315bd-fac2-4fb6-ad91-1271b00bb737	4	11430764	11868619	437	0.1135
083315bd-fac2-4fb6-ad91-1271b00bb737	4	11875687	11886517	10	-0.6522
083315bd-fac2-4fb6-ad91-1271b00bb737	4	11888477	27977088	10743	0.1062
083315bd-fac2-4fb6-ad91-1271b00bb737	4	27982367	27982543	2	-1.2768
083315bd-fac2-4fb6-ad91-1271b00bb737	4	27982807	32387742	2756	0.0975
083315bd-fac2-4fb6-ad91-1271b00bb737	4	32392452	32399891	2	-1.6367
083315bd-fac2-4fb6-ad91-1271b00bb737	4	32403692	125287293	50139	0.1039
083315bd-fac2-4fb6-ad91-1271b00bb737	4	125288140	125292502	3	-1.2275
083315bd-fac2-4fb6-ad91-1271b00bb737	4	125292950	187842528	33390	0.1022
083315bd-fac2-4fb6-ad91-1271b00bb737	5	913983	180934240	100861	0.104
083315bd-fac2-4fb6-ad91-1271b00bb737	6	1011760	88615983	49156	0.1068
083315bd-fac2-4fb6-ad91-1271b00bb737	6	88618185	131913605	24334	-0.6752
083315bd-fac2-4fb6-ad91-1271b00bb737	6	131916916	170596889	23340	0.1077
083315bd-fac2-4fb6-ad91-1271b00bb737	7	664936	158592540	81704	0.1029
083315bd-fac2-4fb6-ad91-1271b00bb737	8	667625	16488213	8034	0.0989
083315bd-fac2-4fb6-ad91-1271b00bb737	8	16495134	16515395	29	-0.6355
083315bd-fac2-4fb6-ad91-1271b00bb737	8	16515816	144182542	73973	0.1019
083315bd-fac2-4fb6-ad91-1271b00bb737	9	789794	138044505	68315	0.1035
083315bd-fac2-4fb6-ad91-1271b00bb737	10	366509	6454142	4017	-0.7283
083315bd-fac2-4fb6-ad91-1271b00bb737	10	6454474	6454809	3	-3.044
083315bd-fac2-4fb6-ad91-1271b00bb737	10	6455345	14775390	6518	-0.7074
083315bd-fac2-4fb6-ad91-1271b00bb737	10	14776647	14776687	2	-2.9874
083315bd-fac2-4fb6-ad91-1271b00bb737	10	14776821	30116476	10359	-0.6956
083315bd-fac2-4fb6-ad91-1271b00bb737	10	30116719	30125706	8	-1.8712
083315bd-fac2-4fb6-ad91-1271b00bb737	10	30128504	45622525	7134	-0.6825
083315bd-fac2-4fb6-ad91-1271b00bb737	10	46013136	46041001	15	0.1607
083315bd-fac2-4fb6-ad91-1271b00bb737	10	47084490	47327025	184	-0.7518
083315bd-fac2-4fb6-ad91-1271b00bb737	10	48188464	49868126	1270	0.1203
083315bd-fac2-4fb6-ad91-1271b00bb737	10	50716389	50917843	79	-0.696
083315bd-fac2-4fb6-ad91-1271b00bb737	10	50919191	51046287	99	0.1141
083315bd-fac2-4fb6-ad91-1271b00bb737	10	51047031	52388866	1038	-0.7014
083315bd-fac2-4fb6-ad91-1271b00bb737	10	52393255	52460060	59	0.0706
083315bd-fac2-4fb6-ad91-1271b00bb737	10	52462894	54118067	1085	-0.694
083315bd-fac2-4fb6-ad91-1271b00bb737	10	54118286	54119680	2	-2.841
083315bd-fac2-4fb6-ad91-1271b00bb737	10	54123384	54380136	202	-0.6786
083315bd-fac2-4fb6-ad91-1271b00bb737	10	54386617	54400412	8	0.1183
083315bd-fac2-4fb6-ad91-1271b00bb737	10	54400991	54764566	272	-0.6908
083315bd-fac2-4fb6-ad91-1271b00bb737	10	54769488	54849490	53	0.0861
083315bd-fac2-4fb6-ad91-1271b00bb737	10	54936124	87844975	19694	-0.6897
083315bd-fac2-4fb6-ad91-1271b00bb737	10	87850813	87872765	37	-0.4476
083315bd-fac2-4fb6-ad91-1271b00bb737	10	87881541	87883103	8	0.1655
083315bd-fac2-4fb6-ad91-1271b00bb737	10	87883257	87970890	150	-0.4477
083315bd-fac2-4fb6-ad91-1271b00bb737	10	87975840	133411599	28429	-0.702
083315bd-fac2-4fb6-ad91-1271b00bb737	11	456012	33804152	21238	0.1049
083315bd-fac2-4fb6-ad91-1271b00bb737	11	33804426	33804771	2	-1.7561
083315bd-fac2-4fb6-ad91-1271b00bb737	11	33805449	115975897	43466	0.1002
083315bd-fac2-4fb6-ad91-1271b00bb737	11	115978178	115984173	4	1.2097
083315bd-fac2-4fb6-ad91-1271b00bb737	11	115985072	134272740	12673	0.1046
083315bd-fac2-4fb6-ad91-1271b00bb737	12	780472	48251549	24942	0.0968
083315bd-fac2-4fb6-ad91-1271b00bb737	12	48255160	48258851	2	-1.368
083315bd-fac2-4fb6-ad91-1271b00bb737	12	48259299	61117269	6916	0.0964
083315bd-fac2-4fb6-ad91-1271b00bb737	12	61118841	61204251	43	-0.5118
083315bd-fac2-4fb6-ad91-1271b00bb737	12	61208547	83771959	13923	0.0959
083315bd-fac2-4fb6-ad91-1271b00bb737	12	83774792	83776119	5	-1.1454
083315bd-fac2-4fb6-ad91-1271b00bb737	12	83776135	87997861	2243	0.0698
083315bd-fac2-4fb6-ad91-1271b00bb737	12	87999783	127698567	24542	0.1029
