GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	3301765	13795244	5584	0.1707
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	13798715	15310776	1230	0.2186
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	15311305	20561448	2963	0.1719
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	20561855	45508454	12971	0.1511
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	45512865	51841719	3039	0.1798
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	51842298	51845084	4	-0.6409
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	51853322	73805400	14494	0.1927
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	73807404	75756776	1039	0.1365
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	75764154	78483453	1683	0.1948
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	78489576	78493178	3	1.0237
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	78493263	101521764	14164	0.1899
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	101522190	106532328	2464	0.1469
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	106532622	119979137	8284	0.1934
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	119979978	151293382	488	0.0644
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	151295536	160413894	5057	0.1061
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	160418223	161686708	604	0.0477
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	161688868	173519606	8659	0.1294
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	173519619	174850198	642	0.074
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	174858686	174914857	21	-0.5372
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	174916790	187361182	7762	0.1227
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	187365040	191998939	2646	0.0602
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	192000023	193661447	1119	0.1142
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	193662366	195850741	1277	0.0585
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	195851037	247629900	33097	0.1024
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	1	247634167	247650984	10	0.2867
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	480597	24709487	15585	0.0068
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	24711444	26314858	721	-0.0504
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	26318081	34178098	4278	0.0205
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	34180737	34180751	2	-2.1706
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	34180839	44731779	5881	-0.0016
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	44731835	47132527	1829	0.0385
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	47133563	53095044	3145	-0.0212
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	53095105	55313961	1115	0.0373
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	55315119	56186210	499	0.0011
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	56195313	61874780	3281	-0.0278
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	61875195	65648208	1907	0.0161
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	65648981	66828787	867	0.0713
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	66829375	71021896	2702	-0.0003
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	71029377	71049568	13	0.4847
aedc5a57-02d2-4d9b-a984-48bb962c2a3a	2	71053680	74925803	2023	0.0021
