GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	1	3301765	247650984	129575	0
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	2	480597	113968269	60219	0.0011
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	2	113968538	113972807	4	-1.0046
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	2	113973208	241537572	71826	0.0037
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	3	2170634	32040554	17973	0.0026
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	3	32041980	32041990	2	-1.9449
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	3	32042605	152468919	65781	0.0005
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	3	152472160	152474492	6	-1.2042
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	3	152475274	197812401	23267	0.0037
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	4	1059384	20929062	12281	-0.004
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	4	20934384	20942080	2	-1.353
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	4	20943462	187842528	91077	0.0015
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	5	914118	143033453	77193	0.0014
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	5	143036333	143036509	2	-1.7904
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	5	143036666	180934240	23769	-0.0013
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	6	1011760	170596889	97044	0.0022
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	7	664936	24138623	12404	0.0043
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	7	24139272	24139446	4	-1.0434
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	7	24140042	47312360	14851	0.0022
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	7	47313430	47978507	468	0.5253
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	7	47983646	52661195	3340	-0.003
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	7	52669031	52675050	4	1.0286
7a7181bf-ab24-4f47-b7f4-ce2f2b9d2a8d	7	52682077	154397695	48166	0.0026
