GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4f399a94-a265-4ec5-9ad4-44c40305eeef	1	3301765	247650984	129393	0.0022
4f399a94-a265-4ec5-9ad4-44c40305eeef	2	480597	241537572	131859	0.0071
4f399a94-a265-4ec5-9ad4-44c40305eeef	3	2170634	197812401	106937	0.0036
4f399a94-a265-4ec5-9ad4-44c40305eeef	4	1059384	187842528	103303	0.0035
4f399a94-a265-4ec5-9ad4-44c40305eeef	5	913983	39365285	22899	-0.0014
4f399a94-a265-4ec5-9ad4-44c40305eeef	5	39369510	39370805	2	-2.0208
4f399a94-a265-4ec5-9ad4-44c40305eeef	5	39373587	180934240	78024	0.001
4f399a94-a265-4ec5-9ad4-44c40305eeef	6	1011760	129006757	71648	0.0016
4f399a94-a265-4ec5-9ad4-44c40305eeef	6	129007861	129007927	2	-2.4952
4f399a94-a265-4ec5-9ad4-44c40305eeef	6	129008008	170596889	25320	-0.002
4f399a94-a265-4ec5-9ad4-44c40305eeef	7	664936	158592540	81789	0.004
4f399a94-a265-4ec5-9ad4-44c40305eeef	8	667625	144182542	82051	0.0006
4f399a94-a265-4ec5-9ad4-44c40305eeef	9	789794	134839110	67228	0.0003
4f399a94-a265-4ec5-9ad4-44c40305eeef	9	134840394	134840612	2	-1.9801
4f399a94-a265-4ec5-9ad4-44c40305eeef	9	134841998	138044505	1068	0.0076
4f399a94-a265-4ec5-9ad4-44c40305eeef	10	366509	133411599	81122	0.0039
4f399a94-a265-4ec5-9ad4-44c40305eeef	11	456012	89646024	48208	0.002
4f399a94-a265-4ec5-9ad4-44c40305eeef	11	89646729	89650686	5	-1.4773
4f399a94-a265-4ec5-9ad4-44c40305eeef	11	89659726	134272740	29144	0.0043
4f399a94-a265-4ec5-9ad4-44c40305eeef	12	780472	132605822	74112	0.0026
4f399a94-a265-4ec5-9ad4-44c40305eeef	13	18874255	45977107	17112	0.002
4f399a94-a265-4ec5-9ad4-44c40305eeef	13	45981240	45981743	2	-2.0583
4f399a94-a265-4ec5-9ad4-44c40305eeef	13	45985661	114226675	39736	0.0029
4f399a94-a265-4ec5-9ad4-44c40305eeef	14	20033191	105533894	49656	0.0019
4f399a94-a265-4ec5-9ad4-44c40305eeef	15	23437561	43416539	9983	-0.002
4f399a94-a265-4ec5-9ad4-44c40305eeef	15	43420441	43421436	2	-2.3677
4f399a94-a265-4ec5-9ad4-44c40305eeef	15	43423098	101344124	34683	-0.0012
4f399a94-a265-4ec5-9ad4-44c40305eeef	16	603333	89317317	41110	-0.0006
4f399a94-a265-4ec5-9ad4-44c40305eeef	17	1074619	51010965	20138	-0.0007
4f399a94-a265-4ec5-9ad4-44c40305eeef	17	51018794	51028744	3	-1.4835
4f399a94-a265-4ec5-9ad4-44c40305eeef	17	51028988	78233930	15223	-0.0009
4f399a94-a265-4ec5-9ad4-44c40305eeef	17	78234607	78235214	2	-3.7686
4f399a94-a265-4ec5-9ad4-44c40305eeef	17	78238714	82959812	1808	0.0017
4f399a94-a265-4ec5-9ad4-44c40305eeef	18	326691	79349796	42854	0.0018
4f399a94-a265-4ec5-9ad4-44c40305eeef	19	283868	58370362	24081	0.0021
4f399a94-a265-4ec5-9ad4-44c40305eeef	20	472817	63588502	37476	0.0036
4f399a94-a265-4ec5-9ad4-44c40305eeef	21	13974127	18157574	2596	0.0089
4f399a94-a265-4ec5-9ad4-44c40305eeef	21	18158396	18161075	2	-2.3489
4f399a94-a265-4ec5-9ad4-44c40305eeef	21	18162519	46262057	17957	-0.0015
4f399a94-a265-4ec5-9ad4-44c40305eeef	22	16934932	42354612	12433	0.0029
4f399a94-a265-4ec5-9ad4-44c40305eeef	22	42355085	42356921	2	-1.5527
4f399a94-a265-4ec5-9ad4-44c40305eeef	22	42357220	48940621	4613	-0.0045
4f399a94-a265-4ec5-9ad4-44c40305eeef	X	3236359	155677414	63658	0.0089
