GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
779663ab-8330-4600-bebe-5477b5ce5fa7	1	3301765	6562983	2132	0.0926
779663ab-8330-4600-bebe-5477b5ce5fa7	1	6564128	47501028	21492	0.1415
779663ab-8330-4600-bebe-5477b5ce5fa7	1	47501125	50236382	1570	0.0884
779663ab-8330-4600-bebe-5477b5ce5fa7	1	50237026	56477221	3602	0.1529
779663ab-8330-4600-bebe-5477b5ce5fa7	1	56478001	61486691	3694	0.1102
779663ab-8330-4600-bebe-5477b5ce5fa7	1	61486902	68577541	5086	0.1501
779663ab-8330-4600-bebe-5477b5ce5fa7	1	68581459	72133035	1848	0.1073
779663ab-8330-4600-bebe-5477b5ce5fa7	1	72135933	72669876	259	-0.8637
779663ab-8330-4600-bebe-5477b5ce5fa7	1	72673241	76235100	2071	0.1014
779663ab-8330-4600-bebe-5477b5ce5fa7	1	76241288	76266679	17	0.6479
779663ab-8330-4600-bebe-5477b5ce5fa7	1	76269846	76404188	105	0.1568
779663ab-8330-4600-bebe-5477b5ce5fa7	1	76404311	76455842	31	0.4466
779663ab-8330-4600-bebe-5477b5ce5fa7	1	76458806	76614380	111	0.1412
779663ab-8330-4600-bebe-5477b5ce5fa7	1	76620424	76683522	53	0.4675
779663ab-8330-4600-bebe-5477b5ce5fa7	1	76687907	76784946	69	0.1804
779663ab-8330-4600-bebe-5477b5ce5fa7	1	76785091	76820302	24	0.0896
779663ab-8330-4600-bebe-5477b5ce5fa7	1	76820557	77317576	259	0.4357
779663ab-8330-4600-bebe-5477b5ce5fa7	1	77317592	77438541	97	0.1717
779663ab-8330-4600-bebe-5477b5ce5fa7	1	77443300	77513302	55	0.6656
779663ab-8330-4600-bebe-5477b5ce5fa7	1	77515539	77559999	37	0.184
779663ab-8330-4600-bebe-5477b5ce5fa7	1	77563680	77830651	92	0.5847
779663ab-8330-4600-bebe-5477b5ce5fa7	1	77831100	78157942	150	0.1558
779663ab-8330-4600-bebe-5477b5ce5fa7	1	78158318	78193561	21	0.3772
779663ab-8330-4600-bebe-5477b5ce5fa7	1	78193937	78366452	104	0.678
779663ab-8330-4600-bebe-5477b5ce5fa7	1	78368747	78381501	10	0.1256
779663ab-8330-4600-bebe-5477b5ce5fa7	1	78384455	78550259	95	0.6374
779663ab-8330-4600-bebe-5477b5ce5fa7	1	78550908	78668966	74	0.1146
779663ab-8330-4600-bebe-5477b5ce5fa7	1	78669521	78680872	6	0.6721
779663ab-8330-4600-bebe-5477b5ce5fa7	1	78689449	78730249	27	0.0933
779663ab-8330-4600-bebe-5477b5ce5fa7	1	78730586	79708779	471	0.6354
779663ab-8330-4600-bebe-5477b5ce5fa7	1	79712300	81905600	1373	0.8081
779663ab-8330-4600-bebe-5477b5ce5fa7	1	81906712	82476330	353	0.9855
779663ab-8330-4600-bebe-5477b5ce5fa7	1	82476955	82903475	307	0.6248
779663ab-8330-4600-bebe-5477b5ce5fa7	1	82904520	83166877	185	0.9946
779663ab-8330-4600-bebe-5477b5ce5fa7	1	83188288	84672645	909	0.8448
779663ab-8330-4600-bebe-5477b5ce5fa7	1	84673275	84721611	27	0.9973
779663ab-8330-4600-bebe-5477b5ce5fa7	1	84722139	84891342	151	0.4857
779663ab-8330-4600-bebe-5477b5ce5fa7	1	84892756	84994940	87	0.927
779663ab-8330-4600-bebe-5477b5ce5fa7	1	84998055	85068962	42	0.4404
779663ab-8330-4600-bebe-5477b5ce5fa7	1	85071429	85174084	70	0.6532
779663ab-8330-4600-bebe-5477b5ce5fa7	1	85174472	87853334	1734	0.4404
