Sample ID	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
TCGA-DX-AB2F-01A	3.6632	106.1421	7.7164	3.0498	4.0444	211.5036	4.6434	17.7324	5.096	4.1747	12.928	982.9552	10.9858	2.8645	7.7821	3.2946	0.0	10.275	8.7451	26.7892	1.1376	13.0483
TCGA-FX-A3NK-01A	3.7243	1.4272	11.6301	6.2137	0.5419	406.282	0.0	36.0185	1.2483	1.6672	12.5483	753.5864	29.2416	0.0	32.5549	0.0	0.0	1.21	83.4697	13.6061	0.0	3.1067
TCGA-3B-A9HO-01A	102.8314	0.0	2.9116	0.0	137.202	0.0	0.0	95.9329	2.7772	1.1721	0.0	1433.4799	0.0	0.0	7.3916	2.0818	0.2619	2.0048	27.6559	12.5189	150.6103	48.2816
TCGA-QQ-A5VA-01A	3.1322	2.1104	9.8775	22.9823	23.9321	5.0375	99.4959	64.4107	17.683	3.1309	43.8278	6.2495	2.0229	11.8036	28.0309	0.0	3.9271	9.1542	0.0	1.472	0.0	0.7982
TCGA-DX-A7ES-01A	4.9719	5.6168	0.0	8.9554	1.3423	59.0393	2.299	1.7246	46.313	2.0375	0.0	396.9723	0.0	0.0	1.193	0.0	1.4354	2.3108	26.5445	2.8733	0.0	14.9806
TCGA-DX-A7EI-01A	222.9275	14.2414	1.3386	30.1236	82.8561	73.2991	15.091	22.2444	14.426	1.7826	17.7214	832.0606	0.0	19.548	31.343	7.7486	7.2127	5.291	69.3838	40.5441	2.7849	1.6164
TCGA-SG-A6Z7-01A	133.8056	28.9425	8.6993	2.6049	9.21	93.4191	54.3407	118.0006	1.3385	10.6423	29.1499	610.3711	17.5142	1.7634	0.0	0.8592	16.8419	0.4728	11.5228	3.7809	35.718	3.8963
TCGA-DX-A3LW-01A	59.3514	2.4886	2.3954	301.1891	4.9187	3.7103	1.2927	1.0764	4.2014	1.764	10.2455	479.5901	3.2389	2.4634	1.3163	0.8729	5.3626	2.9812	13.2231	3.692	0.691	2.0045
TCGA-DX-A23V-01A	169.6767	11.1211	0.4771	2.766	4.2789	0.0	11.0696	0.0	6.5111	6.7342	0.291	442.5603	28.386	0.8496	0.0	0.6408	1.6023	0.0	0.0	0.0	0.0	1.8958
TCGA-DX-A3M2-01A	14.307	5.3143	1.9689	10.0172	93.923	10.0727	35.7319	12.2204	11.8895	1.8128	6.1147	6.6399	4.1659	4.4278	0.0	2.6647	19.6547	2.763	3.8156	0.9717	3.5553	0.0
TCGA-DX-A23Z-01A	11.2927	121.0138	0.0	4.2113	65.5584	292.9663	24.3466	38.8994	67.8808	184.0489	341.8066	461.5487	29.6706	3.1856	6.8595	0.0	0.3135	1.3732	5.2355	0.0	0.0	0.0
TCGA-DX-A23T-01A	11.3493	7.4312	1.4018	0.9028	82.8095	202.1359	41.1619	230.8594	2.7229	9.8597	266.0274	222.0521	16.2385	4.3367	0.0	1.4762	0.0	1.5912	0.0	2.6923	20.6532	0.0
TCGA-WK-A8XQ-01A	0.0	0.9461	0.0	0.0	0.0	1.8286	2.4104	3.2426	0.0	4.7566	1.117	0.0	0.0	0.0	1.1699	0.0	2.6159	0.0	1.1356	1.0572	0.0	2.4309
TCGA-DX-AB3A-01A	324.6795	54.8108	48.1403	19.0162	271.088	20.4565	17.2187	10.3109	13.1545	2.4012	24.1444	604.8322	3.6922	1.1379	0.0	14.2881	160.6908	23.3134	26.6249	37.2705	1.5661	11.6449
TCGA-DX-A23U-01A	788.2178	0.0	0.0	0.0	0.0	0.0	25.015	0.0	7.6838	7.508	1.5829	1.6999	0.0	0.0	28.1347	0.0	0.0	0.0	1.57	0.0	10.963	0.0
TCGA-DX-AB2H-01A	245.4235	59.7687	0.0	7.6013	0.0	2.5623	9.015	5.7511	1.9168	1.2958	32.7372	990.8054	0.0	1.9543	1.1765	52.0168	17.1122	0.0	0.0	0.0	4.6071	11.5903
TCGA-WK-A8XO-01A	149.6867	32.6148	0.6753	67.1485	2.1891	26.1145	12.0571	0.0	15.1273	12.2522	6.3635	1391.9755	3.1278	2.9036	1.0021	0.0	2.9114	6.595	10.7621	1.9912	1.5951	2.755
TCGA-DX-A6BE-01A	70.501	0.0	0.0	0.0	62.799	0.0	0.0	47.1844	214.4424	3.8341	2.5514	577.1819	0.0	33.1355	0.0	9.0047	11.7482	6.5777	8.3312	0.0	0.0	0.0
TCGA-DX-A48N-01A	161.9725	12.0416	16.632	30.7479	0.0	94.829	6.1597	45.8483	142.0793	0.7343	12.4381	679.8474	4.8712	13.0993	0.0	6.5942	10.2611	11.0214	68.2238	11.5564	0.4145	4.3458
TCGA-DX-A3LY-01B	99.7489	53.0598	54.9639	41.572	105.3305	7.445	47.3612	68.3223	29.6236	0.953	10.163	1097.3133	18.9942	0.0	25.8109	6.4614	4.8474	98.1393	0.0	34.0413	5.0765	1.504
TCGA-DX-AB2G-01A	1.5928	3.1798	48.5527	2.845	24.2241	129.0949	0.2685	0.0	0.0	0.0	12.241	751.6692	0.0	1.1748	0.0	3.301	0.0	30.2372	0.0	1.1867	0.0	0.0
TCGA-DX-A3U5-01A	10.0893	4.3174	7.8545	58.2192	23.412	157.3741	14.0011	12.0132	12.7907	7.606	20.8551	1003.4819	5.597	1.8591	0.0	14.6593	21.695	3.3233	4.8627	4.6982	2.365	0.0
TCGA-DX-AB37-01A	13.6487	18.8255	272.291	1.3502	3.9826	1.3169	20.6964	3.5471	10.7422	0.0	12.9129	453.1989	1.8004	9.5756	0.9001	10.3454	18.9094	0.0	6.2614	0.0	0.0	0.842
TCGA-DX-A1L2-01A	385.3976	7.0284	62.7923	6.0257	49.0218	3.9834	175.1473	18.6776	10.2885	0.7772	4.1891	5.412	0.7654	15.7181	0.7218	0.7761	14.9295	3.6669	8.2483	1.7158	0.3926	4.232
TCGA-FX-A2QS-01A	160.0605	77.9912	52.0092	69.9563	170.9474	125.5329	268.5396	25.829	84.8217	18.2688	86.4121	761.3252	4.1414	18.7355	9.3706	14.9373	103.9296	8.7491	94.1761	24.6033	8.8966	17.4146
TCGA-3B-A9HI-01A	28.2244	10.8938	2.1289	28.308	17.7076	4.6744	3.0602	14.7499	29.8773	25.3669	74.6487	8.2497	25.271	2.5691	3.5436	0.7671	13.0403	0.8734	3.5187	17.5397	12.7907	0.4656
TCGA-DX-A1L3-01A	165.0475	0.0	1.7972	1.5668	61.0758	28.7274	0.0	0.0	0.0	1.6242	5.7678	460.8579	0.6141	1.6682	29.8089	0.0	0.0	48.9828	37.0666	0.0	1.3465	0.0
TCGA-DX-A23Y-01A	7.6501	5.5342	32.1616	6.6707	10.6011	490.644	10.9893	38.9069	9.8013	3.6444	19.2627	867.3306	10.4528	21.2779	8.1954	30.4968	3.2568	1.3653	13.896	1.9501	0.0	1.8524
TCGA-DX-A3U6-01A	123.243	1.8353	35.1219	0.0	5.0191	27.5908	34.2148	0.0	15.617	2.752	1.3362	216.5388	1.4511	5.1732	0.0	2.2814	2.2436	0.0	0.0	27.8143	0.0	1.3734
TCGA-DX-AB35-01A	22.4439	26.2411	4.4856	11.2051	8.4858	14.4298	23.9016	26.0136	10.1338	29.9933	34.0919	396.9644	3.6715	1.9162	19.4479	0.0	64.718	34.7548	0.7605	1.6869	3.1434	0.0
TCGA-DX-A2J4-01A	8.3137	0.0	0.0	0.0	0.0	0.8472	0.0	1.4611	1.0542	0.0	0.0	722.0756	0.0	13.0616	14.428	2.0994	3.9843	19.8127	94.314	0.0	5.3265	2.9978
TCGA-Z4-A9VC-01A	0.0	0.0	0.0	0.0	0.0	0.9245	0.0	4.5157	0.0	1.6357	1.275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DX-A1KU-01A	290.7485	9.877	6.9453	0.7346	26.077	4.1026	1.9367	2.5081	11.6904	0.2751	238.8476	251.2243	1.0911	0.3559	2.973	1.6194	0.0	8.4621	10.4852	4.4335	0.6045	2.2479
TCGA-DX-A1KX-01A	22.8708	34.0976	26.1012	45.1704	44.511	64.8216	118.8755	8.7393	32.5323	16.7101	75.0383	26.3293	10.9697	7.8938	32.3974	11.6474	6.5862	13.9048	36.6198	72.8707	67.0418	9.9282
TCGA-DX-A6BF-01A	124.6749	18.637	4.136	12.2703	33.6495	0.5798	11.0989	5.5474	8.2993	20.7701	12.3701	616.2881	4.7341	0.5801	0.0	0.0	30.1862	2.5715	1.2956	0.0	5.489	1.7738
TCGA-DX-A3LS-01A	2.8653	0.0	83.4155	45.9756	62.1101	80.0332	41.9978	42.348	30.9468	0.0	1.7576	547.1272	0.3478	8.7638	0.2924	0.0	0.0	0.0	6.3273	48.7352	1.1874	12.4986
TCGA-DX-A1L4-01A	0.0	2.028	0.0	2.5508	0.0	78.5461	2.9048	0.8618	0.0	17.0208	0.0	489.5431	1.2181	0.0	10.7821	0.0	2.9482	0.0	2.9154	7.7886	21.578	0.0
TCGA-DX-A1KW-01A	0.0	6.6712	19.7829	5.415	162.4092	8.8616	6.6597	19.2235	5.6737	13.1178	5.432	1059.5937	11.5431	6.2331	14.4635	13.5936	3.9234	7.5518	12.9178	8.64	1.3971	1.3603
TCGA-DX-A3LT-01A	4.2996	3.9522	78.396	0.0	56.0426	32.9134	5.7821	28.6427	2.9314	17.5881	227.5611	1016.7272	0.0	2.9634	0.4365	0.8146	2.0217	1.3393	133.2812	5.6028	3.4593	37.7268
TCGA-MO-A47P-01A	0.591	0.0	2.7228	0.0	0.9792	0.0	1.605	0.0	0.0	1.2524	0.0	0.0	0.7684	0.0	0.0	0.0	4.1743	1.0095	0.0	0.0	1.3078	0.0
TCGA-DX-AB36-01A	159.089	0.0	13.344	13.5518	11.3223	0.0	1.5293	5.7636	29.2028	0.0	253.6431	731.2975	0.0	0.8014	0.8384	0.8113	0.0	95.7673	3.1805	0.0	0.0	0.9019
TCGA-DX-A3LU-01A	56.1113	1.3573	31.8536	5.6624	19.6315	327.3658	0.0	5.1919	31.4534	0.0	1.2365	373.2955	0.0	1.9464	0.0	0.0	0.0	0.5641	0.0	0.0	1.5791	0.0
TCGA-DX-A6BG-01A	238.9646	54.6848	27.2749	4.4657	216.294	0.0	0.0	0.0	0.0	20.0869	0.8751	737.6203	0.0	5.3094	25.1682	31.9784	3.6726	10.51	4.5214	122.5422	0.0	1.0484
TCGA-DX-A1KZ-01A	9.0681	95.8457	7.5088	1.5998	243.6334	179.8054	0.0	89.9565	120.2922	79.5241	4.2959	674.4113	1.9381	4.7756	1.8998	0.0	3.9071	0.0	34.8853	19.334	0.0	0.0
TCGA-DX-A6BH-01A	144.9155	1.54	2.7701	0.0	8.0273	360.269	578.0218	0.0	0.0	1.2864	0.8884	343.3627	0.0	0.0	0.0	12.4716	0.0	1.9783	1.2478	0.0	2.7497	0.0
TCGA-DX-A1KY-01A	108.5602	40.7968	158.1255	94.4687	4.2624	11.0081	50.639	60.6155	15.9506	3.9946	6.8677	83.5636	48.0056	3.0374	17.7439	3.2131	29.8628	58.3243	36.354	2.6376	3.7047	3.0752
TCGA-DX-A2IZ-01A	115.7156	3.4896	0.9144	14.5293	416.1926	1.1787	6.2208	3.3554	1.4499	2.8758	0.0	1061.2525	0.0	120.9519	18.6538	1.5405	0.0	1.6739	0.0	0.7783	4.4001	6.4036
