GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	3301765	25871351	12456	0.0015
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	25871779	28795199	1125	-0.0479
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	28797473	39358194	5823	0.018
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	39362277	39394228	14	-1.1063
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	39406225	39547811	72	0.0541
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	39550169	39731119	58	-1.03
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	39732915	47768079	4311	-0.3907
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	47768180	47769394	2	-2.1082
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	47771075	55300916	4023	-0.3678
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	55301540	71604235	11308	-0.327
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	71605084	72226947	353	-0.376
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	72227630	80684856	4795	-0.1626
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	80685122	80685164	2	-1.7289
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	80685440	101841626	13213	-0.1495
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	101842781	112071687	5652	-0.1807
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	112072082	119981332	4903	-0.1392
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	119984738	150601435	211	0.0627
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	150611627	150698008	69	0.3212
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	150698922	154641152	1954	0.1088
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	154642235	154713131	40	0.1798
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	154714693	154964227	167	0.4113
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	154968467	155368997	166	0.0622
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	155369927	155492508	51	0.4129
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	155493289	160698623	3123	0.1496
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	160698884	160698891	2	2.0094
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	160698899	220834301	38894	0.181
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	220834513	220835080	2	-2.9434
a82fdfae-7b34-48ca-b43d-ee816193dafc	1	220840585	247650984	16939	0.1649
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	480597	11914004	7210	-0.1674
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	11914257	23648703	7964	-0.1173
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	23649895	39608166	8195	-0.1579
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	39609326	42361487	1774	-0.109
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	42361716	65621002	13205	-0.1605
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	65621225	67386752	1302	-0.096
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	67388401	67394295	5	-0.8782
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	67397170	68191603	590	-0.1107
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	68197304	77071330	5050	-0.1632
a82fdfae-7b34-48ca-b43d-ee816193dafc	2	77072884	79758479	1096	-0.026
