GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	3301765	33047751	15809	0.1396
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	33047836	37383192	2540	-0.0353
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	37455082	43459749	3370	0.14
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	43460097	43460183	2	1.2891
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	43460420	47228495	1782	0.1405
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	47233031	49396045	1405	0.2862
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	49396151	50050652	199	0.1268
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	50051946	51268091	517	0.3005
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	51272930	53010517	776	0.1439
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	53011528	55101604	1370	0.2913
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	55101737	57261542	1724	0.3516
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	57261777	58055999	674	0.2946
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	58056748	60634564	1736	0.363
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	60634607	63130786	1783	0.2998
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	63131589	63799457	438	0.1889
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	63801935	68968895	3703	0.3161
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	68973439	71989215	1561	0.1879
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	71989353	73379280	725	0.3057
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	73381662	75124372	938	0.1652
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	75124765	75449430	187	0.3081
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	75450088	84965168	5875	0.1963
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	84968648	100178944	9357	0.2191
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	100179307	105855970	2885	0.1896
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	105856204	105870751	5	-0.7075
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	105871061	106365945	314	0.1938
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	106366430	119981279	8429	0.3319
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	119981332	152136658	919	0.0988
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	152137200	153343533	759	0.1734
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	1	153343624	156351363	1325	0.1135
