GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1ce1d7df-aaa2-4a36-97d4-4482a134389a	1	3301765	74803600	40893	0.0017
1ce1d7df-aaa2-4a36-97d4-4482a134389a	1	74805388	74847955	2	1.7721
1ce1d7df-aaa2-4a36-97d4-4482a134389a	1	74850804	247650984	88768	0.0034
1ce1d7df-aaa2-4a36-97d4-4482a134389a	2	480597	241537572	132139	0.002
1ce1d7df-aaa2-4a36-97d4-4482a134389a	3	2170634	197812401	107129	0.0048
1ce1d7df-aaa2-4a36-97d4-4482a134389a	4	1059384	91003964	50773	0.0029
1ce1d7df-aaa2-4a36-97d4-4482a134389a	4	91004633	91017501	6	-1.0359
1ce1d7df-aaa2-4a36-97d4-4482a134389a	4	91017586	94116052	1509	-0.0064
1ce1d7df-aaa2-4a36-97d4-4482a134389a	4	94118602	94118738	2	-1.5324
1ce1d7df-aaa2-4a36-97d4-4482a134389a	4	94118871	124720173	17342	0.0023
1ce1d7df-aaa2-4a36-97d4-4482a134389a	4	124723041	124724803	2	1.7848
1ce1d7df-aaa2-4a36-97d4-4482a134389a	4	124724814	147043949	11803	0.0021
1ce1d7df-aaa2-4a36-97d4-4482a134389a	4	147046954	147049595	5	-0.9029
1ce1d7df-aaa2-4a36-97d4-4482a134389a	4	147051184	187842528	21996	-0.0001
1ce1d7df-aaa2-4a36-97d4-4482a134389a	5	914118	180934240	101042	0.0024
1ce1d7df-aaa2-4a36-97d4-4482a134389a	6	1011760	22467372	15194	0.0062
1ce1d7df-aaa2-4a36-97d4-4482a134389a	6	22469054	22469730	2	-1.5382
1ce1d7df-aaa2-4a36-97d4-4482a134389a	6	22470022	170596889	81891	0.0044
1ce1d7df-aaa2-4a36-97d4-4482a134389a	7	664936	158592540	81876	-0.0013
1ce1d7df-aaa2-4a36-97d4-4482a134389a	8	667625	103833192	57789	-0.0009
1ce1d7df-aaa2-4a36-97d4-4482a134389a	8	103833981	103836965	2	-1.4542
