GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	3301765	28950044	13618	0.1181
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	28953753	29756846	470	-0.6737
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	29757932	55164294	13687	0.12
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	55169620	104318012	30806	0.1538
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	104319039	110321602	3278	0.1363
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	110328338	110343781	12	-0.7847
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	110352364	119981279	6153	0.1415
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	119981332	161968102	6384	0.1038
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	161970464	190225779	18598	0.1417
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	190225793	208079111	10812	0.1163
5c587667-20f8-4f13-90e3-03cdfcda3ab1	1	208083016	247650984	25760	0.1391
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	480597	48600358	29119	0.0666
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	48602812	50092466	917	-0.7839
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	50093883	51143808	438	0.0774
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	51148343	51193412	35	-0.6799
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	51197417	68808922	9955	0.0658
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	68812016	73009952	2514	0.0306
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	73015133	88831554	7736	0.0679
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	94675825	94774225	35	-0.5517
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	94785281	105654692	5520	0.0596
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	105658191	109704919	2385	-0.6431
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	110640222	111209370	365	0.0535
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	111209505	112652438	445	-0.6777
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	112662624	157188384	23838	0.0629
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	157202098	157592463	208	-0.6984
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	157593075	159352141	1099	0.0678
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	159353810	159357846	2	-1.2117
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	159362189	159770648	213	0.061
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	159774411	160403301	442	-0.659
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	160408588	160831284	225	0.0599
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	160833540	161066680	180	-0.6888
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	161067319	162540725	769	0.0401
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	162541011	164224974	925	0.0695
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	164228559	164229189	2	-1.3218
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	164229573	229536366	37816	0.0675
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	229537135	234527301	2668	0.0242
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	234527382	238645780	2676	0.0591
5c587667-20f8-4f13-90e3-03cdfcda3ab1	2	238645937	241537572	1537	0.0107
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	2170634	9920413	4509	0.1357
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	9921132	15665459	3755	0.1067
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	15665636	32544249	10065	0.1375
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	32547584	42501500	5914	-0.6622
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	42503585	46660272	2394	0.1096
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	46665706	46665832	2	-1.3445
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	46668608	50865149	1607	0.0825
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	50865219	90233924	22952	0.1429
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	90234801	107775498	7485	0.0796
5c587667-20f8-4f13-90e3-03cdfcda3ab1	3	107777091	197812401	48377	0.0541
5c587667-20f8-4f13-90e3-03cdfcda3ab1	4	1059384	4796914	1587	0.0597
5c587667-20f8-4f13-90e3-03cdfcda3ab1	4	4798122	34432388	19101	0.1079
5c587667-20f8-4f13-90e3-03cdfcda3ab1	4	34432734	54670603	9472	0.1333
5c587667-20f8-4f13-90e3-03cdfcda3ab1	4	54670617	54671699	14	-0.4736
5c587667-20f8-4f13-90e3-03cdfcda3ab1	4	54674075	187842528	73213	0.1367
5c587667-20f8-4f13-90e3-03cdfcda3ab1	5	914118	180934240	100795	-0.593
5c587667-20f8-4f13-90e3-03cdfcda3ab1	6	1011760	6883095	4337	-0.0828
5c587667-20f8-4f13-90e3-03cdfcda3ab1	6	6883385	6884623	3	-1.7124
5c587667-20f8-4f13-90e3-03cdfcda3ab1	6	6885849	24402661	12248	-0.0736
5c587667-20f8-4f13-90e3-03cdfcda3ab1	6	24402737	46166774	10732	-0.1009
5c587667-20f8-4f13-90e3-03cdfcda3ab1	6	46166904	148392567	56614	-0.0728
5c587667-20f8-4f13-90e3-03cdfcda3ab1	6	148393488	148401973	2	-1.6326
5c587667-20f8-4f13-90e3-03cdfcda3ab1	6	148402609	170596889	13119	-0.0778
5c587667-20f8-4f13-90e3-03cdfcda3ab1	7	664936	67111565	34429	0.142
5c587667-20f8-4f13-90e3-03cdfcda3ab1	7	67116045	69366037	1369	0.1941
5c587667-20f8-4f13-90e3-03cdfcda3ab1	7	69367938	95903007	13013	0.1453
5c587667-20f8-4f13-90e3-03cdfcda3ab1	7	95903072	95903656	2	-1.0506
