GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	1	3301765	247650984	129350	0.0028
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	2	480597	241537572	131822	0.0076
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	3	2170634	197812401	106907	0.0003
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	4	1059384	187842528	103284	-0.0001
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	5	914118	180934240	100892	-0.0008
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	6	1011760	114905963	63993	0.0028
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	6	114923004	114930564	2	-2.119
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	6	114936470	148180808	19688	0.0022
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	6	148185476	148185808	2	-2.4105
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	6	148186119	170596889	13248	-0.0019
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	7	664936	158592540	81750	0.0035
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	8	667625	144182542	82024	0.0028
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	9	789794	138044505	68274	-0.0005
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	10	366509	133411599	81089	0.0022
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	11	456012	134272740	77327	0.0034
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	12	780472	48513377	25053	0.0024
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	12	48516156	48517434	2	-2.3099
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	12	48523224	100403593	30868	0.0045
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	12	100408483	100409077	2	-2.2218
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	12	100409490	132605822	18159	0.0019
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	13	18874255	114226675	56836	0.0022
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	14	20033191	105533894	49629	-0.0019
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	15	23437561	101344124	44652	0.002
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	16	603333	10271015	5187	-0.005
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	16	10272419	10274030	3	-1.6555
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	16	10274036	89317317	35908	0.0011
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	17	1074619	82959812	37155	0.0019
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	18	326691	79349796	42834	-0.0027
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	19	283868	58370362	24073	0.0021
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	20	472817	63588502	37451	0.0013
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	21	13974127	46262057	20546	0.0044
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	22	16934932	17953028	615	0.0244
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	22	17954178	17955719	2	-2.1175
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	22	17955910	48940621	16427	0.0023
96a7cf8e-4109-4bb6-ab57-fe76fed9ffd2	X	3236359	155677414	63797	0.0023
