GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	3301765	102541205	57785	0.0017
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	102547165	102560362	7	-0.9445
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	102569065	150170954	10287	-0.0002
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	150173376	150176837	3	-1.1353
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	150177309	167648462	10685	0.0034
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	167648512	167650745	3	-1.2121
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	167652633	210593654	26883	0.0014
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	210593761	210598056	2	-1.9433
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	210599098	229887860	12082	0.002
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	229888265	229902153	10	-0.9438
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	229905145	233934663	2944	0.001
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	233937945	233938307	3	-1.0556
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	1	233939864	247650984	8706	0.005
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	2	480597	241537572	131927	0.0064
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	3	2170634	24945776	13362	0.0075
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	3	24947447	24949139	2	-2.4367
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	3	24950202	197812401	93565	0.0037
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	4	1059384	87704284	48706	0.0002
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	4	87704602	87706427	2	-2.0653
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	4	87708775	91017021	1985	0.0002
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	4	91017241	91017501	3	-0.9104
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	4	91017586	148450114	31462	0.0033
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	4	148452206	148452236	2	-1.3504
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	4	148454025	181821290	18369	-0.0003
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	4	181830044	181831386	3	-0.9937
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	4	181832074	187842528	2691	0.0008
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	5	913983	180934240	100882	0.0015
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	6	1011760	5459852	3171	0.0036
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	6	5460225	5460381	2	-1.1836
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	6	5460634	105771153	55207	0.0008
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	6	105771453	105773532	2	-2.2535
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	6	105774366	160834512	33747	-0.0004
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	6	160835590	160838771	2	-1.3114
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	6	160839255	170596889	4791	0.0039
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	7	664936	158592540	81729	0.0014
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	8	667625	144182542	82049	0.0003
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	9	789794	138044505	68324	-0.0009
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	10	366509	133411599	81109	0.0022
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	11	456012	105066115	57809	0.0021
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	11	105066644	105066732	2	-1.3155
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	11	105068780	127065382	14786	0.0037
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	11	127066539	127066661	3	-1.2094
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	11	127068441	134272740	4792	-0.0021
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	12	780472	47132947	24287	-0.0008
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	12	47133816	47134025	2	1.6409
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	12	47134590	58828435	6214	0.0012
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	12	58828437	58828512	2	1.3665
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	12	58828516	132605822	43694	-0.0007
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	13	18874255	95496003	44703	0.0003
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	13	95497606	95500055	3	-1.3293
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	13	95500374	114226675	12138	0.0007
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	14	20033191	105533894	49673	-0.0002
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	15	23437561	101344124	44642	0.0018
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	16	603333	89317317	41093	0
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	17	1074619	48320954	18810	0.0013
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	17	48320990	48324355	4	-0.8297
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	17	48326525	82959812	18391	0.0018
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	18	326691	45570054	23022	-0.0122
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	18	45570088	45570181	2	-1.8528
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	18	45570924	58145738	8290	-0.0102
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	18	58150892	58150929	2	-1.3356
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	18	58151434	75380967	8898	-0.0142
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	18	75381532	75382006	2	-1.272
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	18	75382132	79349796	2631	-0.0174
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	19	283868	45244986	18722	0.0021
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	19	45245096	45245997	2	-1.81
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	19	45253118	46372053	437	-0.006
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	19	46372960	46373684	2	-1.2264
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	19	46374645	58370362	4957	0.0047
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	20	472817	46558602	25894	0.0005
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	20	46558866	46560332	4	-1.2977
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	20	46560845	63588502	11576	-0.0022
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	21	13974127	46262057	20561	0.0023
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	22	16934932	48940621	17053	0.0009
ea29a460-c3c1-4714-8f6a-67fd0f26be5f	X	3236359	155677414	63862	0.0014
