GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	3301765	26039058	12544	0.425
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	26040675	58825916	18200	0.3989
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	58828608	108978695	30499	0.3598
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	108981372	150377292	7025	0.3927
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	150494291	156291463	2790	0.229
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	156292008	159147900	1785	0.0514
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	159153703	159154651	3	-1.0487
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	159159789	169898571	7754	0.036
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	169899899	169899910	2	-2.4644
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	169900203	185556769	9696	0.0283
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	185556824	199308377	8006	-0.0215
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	199308470	215097060	10574	0.0405
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	215099217	223003734	5235	0.0016
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	223004232	237625562	9383	0.0427
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	237626017	241167094	2711	-0.006
af4bdf35-149f-479e-9945-b99e7c10e0b2	1	241167142	247650984	3444	0.0399
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	480597	28683759	17453	-0.5267
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	28683778	28685094	2	-3.187
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	28685305	43025243	7973	-0.5195
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	43025552	43026103	3	-4.3531
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	43026420	222055562	94652	-0.5249
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	222057805	222293320	193	-1.6602
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	222296887	222297305	3	-7.0319
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	222301075	230836992	5152	-1.5653
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	230839392	231022112	108	-2.5672
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	231028020	231920645	330	-1.4542
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	231930544	231934013	6	-4.6837
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	231935874	232139725	113	-1.4504
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	232141633	232141640	2	-6.4381
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	232142392	232477036	93	-1.3965
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	232477908	236128696	2396	-1.8657
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	236129438	236191901	21	-1.0605
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	236192027	236192309	2	-6.8884
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	236193288	236657552	263	-1.4724
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	236658718	241237291	2665	-2.1661
af4bdf35-149f-479e-9945-b99e7c10e0b2	2	241237780	241537572	163	-1.6163
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	2170634	8159062	3361	0.3716
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	8159541	15079441	4551	0.4173
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	15081471	18142536	1865	0.3844
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	18143133	30560715	7148	0.3466
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	30561004	33429154	1887	0.387
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	33432321	36446204	1781	0.3435
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	36446324	44398077	4679	0.3841
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	44399449	55767060	5951	0.402
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	55767436	73950562	11872	0.3727
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	73950836	74110303	114	0.2834
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	74110336	74111275	3	-0.7611
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	74115187	106018024	14469	0.3276
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	106018761	109381909	1813	0.3688
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	109382072	111385782	1093	0.3198
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	111386062	116016969	2749	0.374
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	116019466	116019524	2	-0.9843
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	116021773	118152844	1594	0.3485
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	118153037	118153755	4	-0.4815
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	118158563	122588073	2284	0.368
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	122588704	130011876	4316	0.4105
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	130012910	134627376	2796	0.3617
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	134630088	134975581	291	0.472
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	134975594	144134375	4818	0.379
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	144135548	148601039	1983	0.319
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	148601446	162148453	7653	0.3491
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	162239158	169214522	3106	0.3164
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	169223912	174583964	2908	0.38
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	174584648	182121112	3845	0.3389
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	182129142	185874258	1521	0.3898
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	185877660	185880036	3	-0.7556
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	185880764	188179854	1732	0.394
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	188180923	189166432	662	0.3137
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	189166636	189372662	148	0.3825
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	189376519	189380938	5	-0.7022
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	189384112	193706740	2680	0.359
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	193706825	197552527	1377	0.4182
af4bdf35-149f-479e-9945-b99e7c10e0b2	3	197554467	197812401	52	0.3263
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	1059384	6190041	2697	0.4419
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	6190253	8220430	1387	0.4927
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	8220706	10343715	792	0.4269
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	10344621	23981035	9440	0.3613
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	23982840	26589553	1788	0.417
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	26594477	37262958	6341	0.3398
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	37263005	43330262	3514	0.3935
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	43330326	47193047	1893	0.3262
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	47193671	47193691	2	-1.0834
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	47227287	51837099	503	0.3645
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	51837853	53760834	1126	0.4369
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	53762982	57463217	2513	0.3661
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	57465467	63023450	3108	0.3194
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	63025095	65088393	991	0.3949
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	65094543	82303688	9521	0.4287
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	82308912	83365595	598	0.507
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	83366654	144563105	33922	0.4341
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	144563186	155228713	5906	0.4699
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	155236279	168213432	7194	0.4301
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	168218725	170045104	1151	0.4823
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	170049026	182002533	6501	0.4309
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	182003535	186793537	1967	0.5134
af4bdf35-149f-479e-9945-b99e7c10e0b2	4	186795278	187842528	592	0.4488
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	913983	3641907	1649	0.4543
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	3642737	14305126	7628	0.3995
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	14306105	14917915	468	0.4353
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	14921341	18168036	1402	0.3855
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	18168337	30913617	6683	0.332
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	30913690	131143088	52640	0.3761
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	131144498	143186093	6950	0.4319
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	143186261	145398167	1363	0.3707
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	145398692	161971954	10898	0.4061
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	161972859	167909822	3752	0.365
af4bdf35-149f-479e-9945-b99e7c10e0b2	5	167910128	180934240	7633	0.4495
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	1011760	5513963	3230	0.0255
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	5514011	28473370	15192	-0.0119
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	28473857	45811995	8680	0.0192
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	45812209	45812519	2	-1.5571
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	45814288	48035025	1470	0.004
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	48037140	48702932	322	-0.0353
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	48706685	48709977	5	-0.8459
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	48712123	55509380	4203	-0.0248
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	55511355	55511369	2	-2.0073
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	55511532	57156243	901	-0.0174
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	57156478	68819337	3972	-0.0733
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	68824147	77299271	4902	-0.0274
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	77301050	77301685	3	-1.7026
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	77304438	104223083	14622	-0.0475
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	104223372	119472702	8740	-0.0211
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	119473090	120315566	479	-0.0628
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	120317274	120317304	2	-1.7401
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	120317636	155612722	22237	-0.031
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	155612853	159783095	2585	0.0001
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	159783294	159783308	2	-1.363
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	159783324	161303550	1057	-0.0145
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	161306599	161365662	28	0.5146
af4bdf35-149f-479e-9945-b99e7c10e0b2	6	161368141	170596889	4418	-0.0151
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	664936	11862726	4776	-0.0674
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	11864512	12059070	170	-1.8581
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	12067340	16130033	2930	-0.0686
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	16131935	16132634	2	-1.713
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	16137216	16468032	197	-0.0761
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	16468522	43372773	16724	-0.0081
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	43373122	43384657	9	-1.5399
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	43386707	52187620	5880	-0.0134
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	52193884	76207529	7768	-0.0627
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	76209982	98486672	11771	-0.0972
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	98488308	98723362	136	0.0677
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	98728509	101518850	919	-0.0695
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	101519270	101520113	2	-1.774
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	101521752	119507968	9489	-0.0957
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	119508031	119509749	2	-2.0239
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	119509763	121288163	929	-0.1005
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	121288420	121288548	3	-2.6992
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	121290201	126961577	3133	-0.1154
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	126963144	141425076	8447	-0.0757
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	141428052	148713396	3615	-0.1188
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	148713619	157851813	4677	-0.0532
af4bdf35-149f-479e-9945-b99e7c10e0b2	7	157851842	158592540	260	-0.1295
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	667625	12870967	5393	0.4145
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	12871063	19646900	5168	0.364
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	19647607	29719632	6955	0.4127
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	29720767	38455399	4886	0.3616
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	38484098	43078229	2659	0.4055
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	43080575	50164673	1632	-0.6087
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	50167487	50902130	424	0.3206
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	50903953	54077184	1834	-0.6216
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	54081504	55137165	698	0.3919
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	55138296	75066247	11989	-0.6107
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	75140327	75773225	371	0.3377
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	75776736	75777387	3	-0.9274
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	75781033	75890908	57	0.3216
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	75895470	75902954	8	-0.6167
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	75906414	75932666	11	0.4136
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	75937799	75977332	26	-0.7645
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	75986367	75993577	6	0.3017
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	75997916	80690365	2546	-0.6302
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	80691559	94144248	7292	0.333
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	94144393	99208675	3089	0.3767
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	99208945	99746807	253	0.271
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	99754654	104927967	3067	0.3786
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	104931067	109625115	2459	0.3423
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	109626245	113027662	1737	0.308
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	113028312	113032421	3	-0.8514
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	113036167	115145398	1014	0.3142
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	115145555	121525692	4220	0.353
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	121526151	121526883	3	-0.724
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	121526899	121952660	276	0.3254
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	121953294	121953725	2	-0.8884
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	121953743	138362371	11763	0.3692
af4bdf35-149f-479e-9945-b99e7c10e0b2	8	138363430	144182542	2280	0.4315
af4bdf35-149f-479e-9945-b99e7c10e0b2	9	789794	7586590	4113	-0.5821
af4bdf35-149f-479e-9945-b99e7c10e0b2	9	7589065	7589134	2	-4.3226
af4bdf35-149f-479e-9945-b99e7c10e0b2	9	7591099	138044505	64018	-0.594
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	366509	12462070	8479	-0.012
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	12469909	12960465	471	0.4278
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	12962097	16480079	2798	0.0122
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	16480657	16480848	3	-1.0749
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	16485173	19958158	2462	-0.0242
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	19961181	19964458	3	-1.3629
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	19965901	24375222	2896	-0.0201
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	24375252	24378162	2	-1.5545
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	24378854	37293582	8448	-0.0078
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	37295625	37301714	2	-1.4102
af4bdf35-149f-479e-9945-b99e7c10e0b2	10	37301715	50875480	4190	-0.006
