GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	3301765	3816597	261	0.2708
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	3819020	37329439	18064	0.3213
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	37329771	64279312	16138	0.2961
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	64279314	118470780	32714	0.2693
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	118471479	149909846	925	0.3094
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	149910462	185873337	22413	0.1975
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	185878328	200202067	8394	0.1572
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	200203164	207803321	4783	0.1959
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	207803693	207803738	2	-1.2711
8f96eddc-fd74-4bca-9539-fdd866750bf4	1	207805124	247650984	25987	0.1939
8f96eddc-fd74-4bca-9539-fdd866750bf4	2	480597	135942758	71214	0.2469
8f96eddc-fd74-4bca-9539-fdd866750bf4	2	135943117	188225463	29996	0.2262
8f96eddc-fd74-4bca-9539-fdd866750bf4	2	188227958	188229539	3	-1.1806
8f96eddc-fd74-4bca-9539-fdd866750bf4	2	188229718	189455326	565	0.2152
8f96eddc-fd74-4bca-9539-fdd866750bf4	2	189455357	191440408	1231	0.2462
8f96eddc-fd74-4bca-9539-fdd866750bf4	2	191450655	220425506	16276	0.0518
8f96eddc-fd74-4bca-9539-fdd866750bf4	2	220425618	220426550	2	-1.8053
8f96eddc-fd74-4bca-9539-fdd866750bf4	2	220426774	230797579	6538	0.0557
8f96eddc-fd74-4bca-9539-fdd866750bf4	2	230798380	241537572	6309	0.0913
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	2170634	74422381	43408	0.2922
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	74424654	85908652	5686	0.2626
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	85909234	91462299	2162	0.2804
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	94015345	102445028	4341	-0.4462
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	102447020	103955388	809	-0.129
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	103958668	103997088	27	0.1726
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	104000409	104020778	13	-0.2097
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	104023996	114873074	6211	-0.4419
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	114875851	116146276	752	-0.0993
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	116147171	124189286	4774	-0.4263
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	124189436	124550576	285	-0.0885
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	124550685	140092834	8798	-0.4099
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	140099463	140142208	50	0.4757
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	140143478	140290897	120	0.1615
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	140292314	140426843	133	0.6459
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	140427622	140818843	302	0.1334
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	140844343	141019616	71	0.6736
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	141021550	141544853	305	0.8292
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	141553374	141650109	42	1.2005
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	141650201	141693033	37	0.807
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	141697997	141910114	140	1.146
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	141913617	141958418	23	0.7005
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	141967908	143212052	499	-0.0794
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	143469691	143888783	319	-0.4323
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	143889566	143898806	7	-0.1391
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	143904375	143938729	14	1.3772
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	143942143	144175808	117	-0.4756
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	144181181	144201190	15	1.306
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	144207580	144851817	334	-0.1609
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	144858229	145442781	362	2.2698
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	145445940	148892297	1491	-0.4633
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	148897908	148902974	7	1.4422
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	148904875	151659516	1632	-0.4332
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	151662894	151664040	3	1.4647
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	151665056	152169396	318	-0.4437
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	152175058	152203206	23	1.3459
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	152204483	157547319	2934	-0.4362
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	157558020	157574213	8	1.673
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	157574233	157589736	10	1.2513
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	157592260	165697251	3915	-0.4354
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	165698037	165795786	68	-0.0967
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	166162696	168263608	1037	-0.48
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	168263817	168440523	94	-0.1229
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	168440649	169428787	626	-0.4884
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	169430695	169820824	243	1.5209
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	169825896	169979888	116	1.0483
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	169980772	170052799	44	1.8246
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	170055177	170086301	22	-0.2454
8f96eddc-fd74-4bca-9539-fdd866750bf4	3	170087986	170108148	14	1.6423
