GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ae540a3c-8ae3-4251-aab4-4390e420af88	1	3301765	31244722	15007	0.0059
ae540a3c-8ae3-4251-aab4-4390e420af88	1	31249109	31249319	2	-2.6606
ae540a3c-8ae3-4251-aab4-4390e420af88	1	31249715	43011286	6361	0.007
ae540a3c-8ae3-4251-aab4-4390e420af88	1	43012125	43012935	2	-1.4077
ae540a3c-8ae3-4251-aab4-4390e420af88	1	43020953	62186114	11575	-0.0009
ae540a3c-8ae3-4251-aab4-4390e420af88	1	62190512	62190838	2	-2.2376
ae540a3c-8ae3-4251-aab4-4390e420af88	1	62196120	247650984	96282	0.0008
ae540a3c-8ae3-4251-aab4-4390e420af88	2	480597	168283294	89552	0.0024
ae540a3c-8ae3-4251-aab4-4390e420af88	2	168286525	168289357	3	-1.5906
ae540a3c-8ae3-4251-aab4-4390e420af88	2	168290041	241537572	42238	0.0035
ae540a3c-8ae3-4251-aab4-4390e420af88	3	2170634	46982681	26692	-0.0006
ae540a3c-8ae3-4251-aab4-4390e420af88	3	46984645	47002048	11	0.606
ae540a3c-8ae3-4251-aab4-4390e420af88	3	47008372	71175436	14237	-0.001
ae540a3c-8ae3-4251-aab4-4390e420af88	3	71175479	71178577	2	-1.3258
ae540a3c-8ae3-4251-aab4-4390e420af88	3	71180992	77775868	3936	0.0052
ae540a3c-8ae3-4251-aab4-4390e420af88	3	77778305	77792721	6	-0.8541
ae540a3c-8ae3-4251-aab4-4390e420af88	3	77801580	123114156	22516	0.0009
ae540a3c-8ae3-4251-aab4-4390e420af88	3	123115771	123116040	4	-0.8891
ae540a3c-8ae3-4251-aab4-4390e420af88	3	123116254	189372662	35326	0.0016
ae540a3c-8ae3-4251-aab4-4390e420af88	3	189376519	189380938	5	-1.0312
ae540a3c-8ae3-4251-aab4-4390e420af88	3	189384112	197812401	4101	0.0029
ae540a3c-8ae3-4251-aab4-4390e420af88	4	1059384	55893893	30974	0.0014
ae540a3c-8ae3-4251-aab4-4390e420af88	4	55901179	55904542	2	-2.7057
ae540a3c-8ae3-4251-aab4-4390e420af88	4	55904923	187842528	72156	-0.0013
ae540a3c-8ae3-4251-aab4-4390e420af88	5	913983	180934240	100785	-0.0002
ae540a3c-8ae3-4251-aab4-4390e420af88	6	1011760	22018093	14771	0.0003
ae540a3c-8ae3-4251-aab4-4390e420af88	6	22018598	22028788	11	-0.4696
ae540a3c-8ae3-4251-aab4-4390e420af88	6	22029357	33112035	4666	-0.0017
ae540a3c-8ae3-4251-aab4-4390e420af88	6	33114021	33114858	2	-2.0762
ae540a3c-8ae3-4251-aab4-4390e420af88	6	33115107	170596889	77380	0
ae540a3c-8ae3-4251-aab4-4390e420af88	7	664936	3044847	789	-0.0033
ae540a3c-8ae3-4251-aab4-4390e420af88	7	3046574	3047115	4	-1.2185
ae540a3c-8ae3-4251-aab4-4390e420af88	7	3047452	15980674	6958	0.0033
ae540a3c-8ae3-4251-aab4-4390e420af88	7	15983449	15983465	3	-1.3112
ae540a3c-8ae3-4251-aab4-4390e420af88	7	15983505	75687728	30420	0.0009
ae540a3c-8ae3-4251-aab4-4390e420af88	7	75687900	75687963	2	1.4602
ae540a3c-8ae3-4251-aab4-4390e420af88	7	75689662	93982598	9357	0.0016
ae540a3c-8ae3-4251-aab4-4390e420af88	7	93986526	93986781	2	-2.4367
ae540a3c-8ae3-4251-aab4-4390e420af88	7	93987342	158592540	34127	0.002
ae540a3c-8ae3-4251-aab4-4390e420af88	8	667625	144182542	81966	0.0002
ae540a3c-8ae3-4251-aab4-4390e420af88	9	789794	1591333	198	0.0044
ae540a3c-8ae3-4251-aab4-4390e420af88	9	1592138	1592353	2	1.352
ae540a3c-8ae3-4251-aab4-4390e420af88	9	1592554	116185515	55277	0.0006
