GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	3301765	29909160	14169	0.0049
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	29909710	29911764	2	-2.2473
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	29911805	114139310	49942	0.0029
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	114139406	114139458	2	-1.4931
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	114141797	150686697	3927	0.0027
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	150687555	150687778	2	-1.3654
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	150687834	193751095	26775	0.0007
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	193757206	193766389	3	-1.2742
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	193768328	234853181	26244	0.0031
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	234854757	234869375	2	-1.6865
5a9d8386-97b7-4a49-a80b-1241e59eab41	1	234869763	247650984	7984	-0.0037
5a9d8386-97b7-4a49-a80b-1241e59eab41	2	480597	233798090	126832	0.0042
5a9d8386-97b7-4a49-a80b-1241e59eab41	2	233798593	233808593	18	-1.1804
5a9d8386-97b7-4a49-a80b-1241e59eab41	2	233809023	241537572	4807	0.004
5a9d8386-97b7-4a49-a80b-1241e59eab41	3	2170634	197812401	106707	0.0014
5a9d8386-97b7-4a49-a80b-1241e59eab41	4	1059384	91017021	50626	-0.0022
5a9d8386-97b7-4a49-a80b-1241e59eab41	4	91017241	91017501	3	-1.572
5a9d8386-97b7-4a49-a80b-1241e59eab41	4	91017586	187842528	52470	0.0002
5a9d8386-97b7-4a49-a80b-1241e59eab41	5	913983	31276292	18067	-0.0033
5a9d8386-97b7-4a49-a80b-1241e59eab41	5	31278657	31279198	4	-1.375
5a9d8386-97b7-4a49-a80b-1241e59eab41	5	31279773	180934240	82601	-0.002
5a9d8386-97b7-4a49-a80b-1241e59eab41	6	1011760	69214390	38063	-0.0018
5a9d8386-97b7-4a49-a80b-1241e59eab41	6	69214912	69221931	7	-1.2532
5a9d8386-97b7-4a49-a80b-1241e59eab41	6	69227287	101718178	17949	-0.0009
5a9d8386-97b7-4a49-a80b-1241e59eab41	6	101718780	101721552	2	-1.5676
5a9d8386-97b7-4a49-a80b-1241e59eab41	6	101721732	170596889	40700	0.0013
5a9d8386-97b7-4a49-a80b-1241e59eab41	7	664936	1909042	296	-0.0032
5a9d8386-97b7-4a49-a80b-1241e59eab41	7	1914665	1915096	2	-1.4003
5a9d8386-97b7-4a49-a80b-1241e59eab41	7	1919794	17801277	8191	0.0005
5a9d8386-97b7-4a49-a80b-1241e59eab41	7	17805047	17805198	2	-2.4423
5a9d8386-97b7-4a49-a80b-1241e59eab41	7	17805641	158592540	73145	-0.0004
5a9d8386-97b7-4a49-a80b-1241e59eab41	8	667625	144182542	81854	-0.0004
5a9d8386-97b7-4a49-a80b-1241e59eab41	9	789794	138044505	68168	0.0006
5a9d8386-97b7-4a49-a80b-1241e59eab41	10	366509	116006037	69709	-0.002
5a9d8386-97b7-4a49-a80b-1241e59eab41	10	116007015	116007119	2	-1.8532
5a9d8386-97b7-4a49-a80b-1241e59eab41	10	116007526	133411599	11218	0.0026
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	456012	5468468	2263	0.0029
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	5468519	5468534	2	-1.3123
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	5468952	11569214	4152	-0.0066
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	11569230	11569409	3	-1.1674
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	11569466	20070592	6007	-0.0012
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	20070850	20071156	2	1.5255
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	20071579	24420628	3020	0.0015
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	24433630	24437167	3	-1.4253
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	24437364	107703131	43838	-0.0002
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	107708588	107712159	7	-1.0652
5a9d8386-97b7-4a49-a80b-1241e59eab41	11	107712361	134272740	17902	-0.0034
5a9d8386-97b7-4a49-a80b-1241e59eab41	12	780472	132605822	74013	0.0042
5a9d8386-97b7-4a49-a80b-1241e59eab41	13	18874255	60796986	24485	-0.0012
5a9d8386-97b7-4a49-a80b-1241e59eab41	13	60797389	60798984	2	-2.7745
5a9d8386-97b7-4a49-a80b-1241e59eab41	13	60806666	114226675	32274	-0.0014
5a9d8386-97b7-4a49-a80b-1241e59eab41	14	20033191	105533894	49541	0.0003
5a9d8386-97b7-4a49-a80b-1241e59eab41	15	23437561	101344124	44611	-0.0001
5a9d8386-97b7-4a49-a80b-1241e59eab41	16	603333	75680601	31458	-0.0001
5a9d8386-97b7-4a49-a80b-1241e59eab41	16	75684574	75685042	2	-1.6154
5a9d8386-97b7-4a49-a80b-1241e59eab41	16	75685245	76471700	560	-0.0049
5a9d8386-97b7-4a49-a80b-1241e59eab41	16	76471954	76472054	2	-1.4758
5a9d8386-97b7-4a49-a80b-1241e59eab41	16	76475526	89317317	8993	0.0008
5a9d8386-97b7-4a49-a80b-1241e59eab41	17	1074619	82959812	37113	0.0006
5a9d8386-97b7-4a49-a80b-1241e59eab41	18	326691	79349796	42783	-0.0049
5a9d8386-97b7-4a49-a80b-1241e59eab41	19	283868	58370362	24069	0.0035
5a9d8386-97b7-4a49-a80b-1241e59eab41	20	472817	63588502	37389	-0.0006
5a9d8386-97b7-4a49-a80b-1241e59eab41	21	13974127	46262057	20508	-0.0011
5a9d8386-97b7-4a49-a80b-1241e59eab41	22	16934932	47133815	15509	0
5a9d8386-97b7-4a49-a80b-1241e59eab41	22	47135302	47135338	2	1.8192
5a9d8386-97b7-4a49-a80b-1241e59eab41	22	47135677	48940621	1493	0.0001
5a9d8386-97b7-4a49-a80b-1241e59eab41	X	3236359	155677414	63170	0.0121
