GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e4969783-5243-4a76-b54b-c76e474df12a	1	3301765	5281404	1425	0.214
e4969783-5243-4a76-b54b-c76e474df12a	1	5283768	5611697	210	-0.7648
e4969783-5243-4a76-b54b-c76e474df12a	1	5613300	20683856	8247	0.224
e4969783-5243-4a76-b54b-c76e474df12a	1	20692667	20702840	10	-0.7179
e4969783-5243-4a76-b54b-c76e474df12a	1	20705490	47546876	13770	0.237
e4969783-5243-4a76-b54b-c76e474df12a	1	47548257	50988207	1810	0.3168
e4969783-5243-4a76-b54b-c76e474df12a	1	50991038	55354768	2419	0.2583
e4969783-5243-4a76-b54b-c76e474df12a	1	55354964	68954154	9855	0.33
e4969783-5243-4a76-b54b-c76e474df12a	1	68957527	88481098	11582	0.3574
e4969783-5243-4a76-b54b-c76e474df12a	1	88482420	108541678	11562	0.3313
e4969783-5243-4a76-b54b-c76e474df12a	1	108544068	153253557	8702	0.291
e4969783-5243-4a76-b54b-c76e474df12a	1	153254798	157391787	1942	0.2281
e4969783-5243-4a76-b54b-c76e474df12a	1	157392522	161856285	2748	0.2967
e4969783-5243-4a76-b54b-c76e474df12a	1	161861106	179219546	11738	0.3333
e4969783-5243-4a76-b54b-c76e474df12a	1	179228522	193181877	8622	-0.6088
e4969783-5243-4a76-b54b-c76e474df12a	1	193182037	193182180	2	2.0351
e4969783-5243-4a76-b54b-c76e474df12a	1	193182722	200995154	4521	-0.5953
e4969783-5243-4a76-b54b-c76e474df12a	1	200997894	210283179	6236	-0.6474
e4969783-5243-4a76-b54b-c76e474df12a	1	210285516	210285616	2	2.498
e4969783-5243-4a76-b54b-c76e474df12a	1	210287257	247650984	23978	-0.6223
e4969783-5243-4a76-b54b-c76e474df12a	2	480597	4192716	1730	0.0437
e4969783-5243-4a76-b54b-c76e474df12a	2	4194793	6475136	1802	0.089
e4969783-5243-4a76-b54b-c76e474df12a	2	6475211	23325785	11365	0.0256
e4969783-5243-4a76-b54b-c76e474df12a	2	23327373	29190445	2792	-0.0334
e4969783-5243-4a76-b54b-c76e474df12a	2	29190895	49596680	11996	0.0183
e4969783-5243-4a76-b54b-c76e474df12a	2	49596964	60410521	5997	0.0555
e4969783-5243-4a76-b54b-c76e474df12a	2	60412318	78442910	10274	0.0117
e4969783-5243-4a76-b54b-c76e474df12a	2	78446823	81708980	1612	1.1332
e4969783-5243-4a76-b54b-c76e474df12a	2	81717642	82855315	586	0.2216
e4969783-5243-4a76-b54b-c76e474df12a	2	82856721	83667253	429	1.6897
e4969783-5243-4a76-b54b-c76e474df12a	2	83669970	83838965	108	1.398
e4969783-5243-4a76-b54b-c76e474df12a	2	83839645	84067857	134	0.8334
e4969783-5243-4a76-b54b-c76e474df12a	2	84068587	84081985	3	2.4229
e4969783-5243-4a76-b54b-c76e474df12a	2	84082654	85082590	564	0.8238
e4969783-5243-4a76-b54b-c76e474df12a	2	85085052	86797509	839	1.0987
e4969783-5243-4a76-b54b-c76e474df12a	2	86798112	88265725	172	0.6593
e4969783-5243-4a76-b54b-c76e474df12a	2	88266616	88399848	73	0.9236
e4969783-5243-4a76-b54b-c76e474df12a	2	88400161	88831554	210	0.6897
e4969783-5243-4a76-b54b-c76e474df12a	2	94675825	136645225	20935	0.2726
e4969783-5243-4a76-b54b-c76e474df12a	2	136647845	215950785	44664	0.304
e4969783-5243-4a76-b54b-c76e474df12a	2	215955631	217834393	1363	0.2728
e4969783-5243-4a76-b54b-c76e474df12a	2	217838671	220101291	1198	-0.7362
e4969783-5243-4a76-b54b-c76e474df12a	2	220101576	221606293	1086	-0.6642
e4969783-5243-4a76-b54b-c76e474df12a	2	221606740	221606796	2	1.5426
e4969783-5243-4a76-b54b-c76e474df12a	2	221607842	230839392	5702	-0.6684
e4969783-5243-4a76-b54b-c76e474df12a	2	230841995	237664712	4155	-0.7152
e4969783-5243-4a76-b54b-c76e474df12a	2	237664758	237665428	2	-3.1722
e4969783-5243-4a76-b54b-c76e474df12a	2	237665783	241537572	2096	-0.7792
e4969783-5243-4a76-b54b-c76e474df12a	3	2170634	8830546	3805	0.331
e4969783-5243-4a76-b54b-c76e474df12a	3	8831712	17166775	5482	0.2609
e4969783-5243-4a76-b54b-c76e474df12a	3	17167206	31782855	8508	0.3301
e4969783-5243-4a76-b54b-c76e474df12a	3	31785823	42266417	6217	0.2972
e4969783-5243-4a76-b54b-c76e474df12a	3	42266903	53856760	5644	0.2365
e4969783-5243-4a76-b54b-c76e474df12a	3	53856833	110322927	30240	0.3282
e4969783-5243-4a76-b54b-c76e474df12a	3	110325396	110325534	2	-1.4797
e4969783-5243-4a76-b54b-c76e474df12a	3	110325754	112425228	1264	0.3325
e4969783-5243-4a76-b54b-c76e474df12a	3	112430300	112438930	9	-0.6024
e4969783-5243-4a76-b54b-c76e474df12a	3	112443096	112444977	4	0.4538
e4969783-5243-4a76-b54b-c76e474df12a	3	112445431	112453155	10	1.1205
e4969783-5243-4a76-b54b-c76e474df12a	3	112455301	118932685	4138	0.3207
e4969783-5243-4a76-b54b-c76e474df12a	3	118933409	127457787	4836	0.2968
e4969783-5243-4a76-b54b-c76e474df12a	3	127460304	130452212	1517	0.2436
e4969783-5243-4a76-b54b-c76e474df12a	3	130454825	139614671	5137	0.3042
e4969783-5243-4a76-b54b-c76e474df12a	3	139615646	182618634	22246	0.3325
e4969783-5243-4a76-b54b-c76e474df12a	3	182621595	188635217	3314	0.2882
e4969783-5243-4a76-b54b-c76e474df12a	3	188635409	193706109	3176	0.3365
e4969783-5243-4a76-b54b-c76e474df12a	3	193706618	197812401	1429	0.2546
e4969783-5243-4a76-b54b-c76e474df12a	4	1059384	4296872	1218	0.2296
e4969783-5243-4a76-b54b-c76e474df12a	4	4298263	9742967	3164	0.2917
e4969783-5243-4a76-b54b-c76e474df12a	4	9746405	37486839	18219	0.3456
e4969783-5243-4a76-b54b-c76e474df12a	4	37487633	40564857	1832	0.2909
e4969783-5243-4a76-b54b-c76e474df12a	4	40567950	40573234	3	-1.0395
e4969783-5243-4a76-b54b-c76e474df12a	4	40576995	41220435	402	0.2927
e4969783-5243-4a76-b54b-c76e474df12a	4	41225900	41229703	4	-1.0961
e4969783-5243-4a76-b54b-c76e474df12a	4	41230733	54709340	5461	0.3305
e4969783-5243-4a76-b54b-c76e474df12a	4	54716074	54716309	8	-0.6117
e4969783-5243-4a76-b54b-c76e474df12a	4	54717935	60461594	3417	0.3308
e4969783-5243-4a76-b54b-c76e474df12a	4	60464276	60465899	2	2.305
e4969783-5243-4a76-b54b-c76e474df12a	4	60469846	130084613	38639	0.3398
e4969783-5243-4a76-b54b-c76e474df12a	4	130089691	130093994	5	-1.0954
e4969783-5243-4a76-b54b-c76e474df12a	4	130095535	159837219	16291	0.3384
e4969783-5243-4a76-b54b-c76e474df12a	4	159837972	159846964	8	-0.5663
e4969783-5243-4a76-b54b-c76e474df12a	4	159851522	187842528	14659	0.3388
e4969783-5243-4a76-b54b-c76e474df12a	5	913983	29050693	16705	0.1787
e4969783-5243-4a76-b54b-c76e474df12a	5	29052575	82155709	27084	0.3354
e4969783-5243-4a76-b54b-c76e474df12a	5	82156418	112025568	15170	0.356
e4969783-5243-4a76-b54b-c76e474df12a	5	112026208	112035702	3	1.8612
e4969783-5243-4a76-b54b-c76e474df12a	5	112036262	131029141	11366	0.3476
