GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dced15f4-6936-4bd2-8c04-9919768b40ca	1	3301765	7874441	2970	0.0218
dced15f4-6936-4bd2-8c04-9919768b40ca	1	7875855	11474485	1728	-0.049
dced15f4-6936-4bd2-8c04-9919768b40ca	1	11483287	24340419	7049	0.0018
dced15f4-6936-4bd2-8c04-9919768b40ca	1	24340444	29198050	1983	-0.0646
dced15f4-6936-4bd2-8c04-9919768b40ca	1	29200258	55246685	14061	-0.0118
dced15f4-6936-4bd2-8c04-9919768b40ca	1	55248274	57032421	1462	0.0465
dced15f4-6936-4bd2-8c04-9919768b40ca	1	57032610	61044947	2923	-0.0094
dced15f4-6936-4bd2-8c04-9919768b40ca	1	61052767	98254714	22937	-0.0375
dced15f4-6936-4bd2-8c04-9919768b40ca	1	98254964	98255814	2	-1.6254
dced15f4-6936-4bd2-8c04-9919768b40ca	1	98257126	102018655	2489	-0.0521
dced15f4-6936-4bd2-8c04-9919768b40ca	1	102022894	106447918	2016	-0.0927
dced15f4-6936-4bd2-8c04-9919768b40ca	1	106448638	115095423	5240	-0.0306
dced15f4-6936-4bd2-8c04-9919768b40ca	1	115095793	119979978	3106	-0.0011
dced15f4-6936-4bd2-8c04-9919768b40ca	1	119981279	150147495	105	0.4736
dced15f4-6936-4bd2-8c04-9919768b40ca	1	150148513	150914966	255	0.2836
dced15f4-6936-4bd2-8c04-9919768b40ca	1	150925926	150941402	6	1.1591
dced15f4-6936-4bd2-8c04-9919768b40ca	1	150943117	151008076	35	0.6439
dced15f4-6936-4bd2-8c04-9919768b40ca	1	151009144	151070735	24	1.4113
dced15f4-6936-4bd2-8c04-9919768b40ca	1	151073507	151487113	139	0.7609
dced15f4-6936-4bd2-8c04-9919768b40ca	1	151498967	152413531	480	1.0564
dced15f4-6936-4bd2-8c04-9919768b40ca	1	152413713	152867032	259	0.662
dced15f4-6936-4bd2-8c04-9919768b40ca	1	152871451	153143621	197	0.8426
dced15f4-6936-4bd2-8c04-9919768b40ca	1	153143757	153305292	144	0.9408
dced15f4-6936-4bd2-8c04-9919768b40ca	1	153307680	153531301	124	1.1541
dced15f4-6936-4bd2-8c04-9919768b40ca	1	153558806	153820482	80	0.8068
dced15f4-6936-4bd2-8c04-9919768b40ca	1	153823260	154772376	459	1.0739
dced15f4-6936-4bd2-8c04-9919768b40ca	1	154772555	155184594	212	-0.7743
dced15f4-6936-4bd2-8c04-9919768b40ca	1	155205866	155210675	3	1.2225
dced15f4-6936-4bd2-8c04-9919768b40ca	1	155241876	155262283	11	-0.7333
dced15f4-6936-4bd2-8c04-9919768b40ca	1	155264807	155307639	40	1.0477
dced15f4-6936-4bd2-8c04-9919768b40ca	1	155311455	155317731	5	-0.6445
dced15f4-6936-4bd2-8c04-9919768b40ca	1	155330989	156552422	523	0.3044
dced15f4-6936-4bd2-8c04-9919768b40ca	1	156552747	158532077	1260	0.3935
dced15f4-6936-4bd2-8c04-9919768b40ca	1	158532341	158866716	230	0.3188
dced15f4-6936-4bd2-8c04-9919768b40ca	1	158871470	159387894	296	-0.0694
dced15f4-6936-4bd2-8c04-9919768b40ca	1	159391920	160264901	576	0.3891
dced15f4-6936-4bd2-8c04-9919768b40ca	1	160265750	160373154	56	-0.0878
dced15f4-6936-4bd2-8c04-9919768b40ca	1	160379411	160909123	390	0.3301
dced15f4-6936-4bd2-8c04-9919768b40ca	1	160909526	160979506	40	-0.2287
dced15f4-6936-4bd2-8c04-9919768b40ca	1	160986955	161009270	10	1.0262
dced15f4-6936-4bd2-8c04-9919768b40ca	1	161020103	169721608	6344	-0.7916
dced15f4-6936-4bd2-8c04-9919768b40ca	1	169722951	169722991	2	-0.2999
dced15f4-6936-4bd2-8c04-9919768b40ca	1	169725478	170418190	529	0.9093
dced15f4-6936-4bd2-8c04-9919768b40ca	1	170420374	170830780	226	1.6068
dced15f4-6936-4bd2-8c04-9919768b40ca	1	170832344	171179582	215	1.0474
dced15f4-6936-4bd2-8c04-9919768b40ca	1	171179766	171356936	123	1.4042
dced15f4-6936-4bd2-8c04-9919768b40ca	1	171358127	171419131	26	-0.9081
dced15f4-6936-4bd2-8c04-9919768b40ca	1	171423464	171591203	107	1.2988
dced15f4-6936-4bd2-8c04-9919768b40ca	1	171594722	171639418	38	0.7479
dced15f4-6936-4bd2-8c04-9919768b40ca	1	171640119	171744328	61	1.066
dced15f4-6936-4bd2-8c04-9919768b40ca	1	171744668	172055388	226	0.7514
dced15f4-6936-4bd2-8c04-9919768b40ca	1	172066357	172114663	23	1.3257
dced15f4-6936-4bd2-8c04-9919768b40ca	1	172114741	172412243	210	2.3439
dced15f4-6936-4bd2-8c04-9919768b40ca	1	172412640	172430743	19	1.2036
dced15f4-6936-4bd2-8c04-9919768b40ca	1	172439412	173379295	601	-0.7676
dced15f4-6936-4bd2-8c04-9919768b40ca	1	173383259	173680297	170	1.035
dced15f4-6936-4bd2-8c04-9919768b40ca	1	173680855	175460237	961	0.8631
dced15f4-6936-4bd2-8c04-9919768b40ca	1	175460288	178389942	1546	0.6823
dced15f4-6936-4bd2-8c04-9919768b40ca	1	178396524	178501730	61	1.0107
dced15f4-6936-4bd2-8c04-9919768b40ca	1	178502617	181140961	1731	0.6627
dced15f4-6936-4bd2-8c04-9919768b40ca	1	181144305	181312172	116	0.9319
dced15f4-6936-4bd2-8c04-9919768b40ca	1	181312566	181810334	399	0.6906
dced15f4-6936-4bd2-8c04-9919768b40ca	1	181810968	182357922	376	0.8665
dced15f4-6936-4bd2-8c04-9919768b40ca	1	182358684	182541766	133	0.6197
dced15f4-6936-4bd2-8c04-9919768b40ca	1	182544681	182683528	127	0.3746
dced15f4-6936-4bd2-8c04-9919768b40ca	1	182683714	182748181	29	0.6379
dced15f4-6936-4bd2-8c04-9919768b40ca	1	182748222	183308836	350	0.3479
dced15f4-6936-4bd2-8c04-9919768b40ca	1	183313440	183433625	82	2.0439
dced15f4-6936-4bd2-8c04-9919768b40ca	1	183433657	184078556	475	2.6517
dced15f4-6936-4bd2-8c04-9919768b40ca	1	184078977	184403069	226	2.3614
dced15f4-6936-4bd2-8c04-9919768b40ca	1	184403527	185024606	346	2.669
dced15f4-6936-4bd2-8c04-9919768b40ca	1	185032426	185032896	2	0.4146
dced15f4-6936-4bd2-8c04-9919768b40ca	1	185038831	185165763	42	2.6272
dced15f4-6936-4bd2-8c04-9919768b40ca	1	185166613	186477683	805	2.2391
dced15f4-6936-4bd2-8c04-9919768b40ca	1	186482719	187716563	817	2.0901
dced15f4-6936-4bd2-8c04-9919768b40ca	1	187716964	188253955	360	2.2278
dced15f4-6936-4bd2-8c04-9919768b40ca	1	188259845	190322436	1090	0.3174
dced15f4-6936-4bd2-8c04-9919768b40ca	1	190326509	191902086	884	0.6128
dced15f4-6936-4bd2-8c04-9919768b40ca	1	191907051	200991758	5333	-0.0938
dced15f4-6936-4bd2-8c04-9919768b40ca	1	200994038	202622249	1077	-0.0106
dced15f4-6936-4bd2-8c04-9919768b40ca	1	202624450	202644977	13	-0.2343
dced15f4-6936-4bd2-8c04-9919768b40ca	1	202645925	202672212	27	1.5684
dced15f4-6936-4bd2-8c04-9919768b40ca	1	202673550	225580331	15102	-0.0461
dced15f4-6936-4bd2-8c04-9919768b40ca	1	225580526	227406959	1032	-0.1243
dced15f4-6936-4bd2-8c04-9919768b40ca	1	227408534	234333133	4624	-0.0841
dced15f4-6936-4bd2-8c04-9919768b40ca	1	234335550	247650984	8377	-0.123
dced15f4-6936-4bd2-8c04-9919768b40ca	2	480597	3123598	1095	-0.1617
dced15f4-6936-4bd2-8c04-9919768b40ca	2	3123657	17950980	10210	-0.033
dced15f4-6936-4bd2-8c04-9919768b40ca	2	17951487	23710486	3876	0.0056
dced15f4-6936-4bd2-8c04-9919768b40ca	2	23710579	45069826	11573	-0.0354
dced15f4-6936-4bd2-8c04-9919768b40ca	2	45070437	45347971	178	0.1238
dced15f4-6936-4bd2-8c04-9919768b40ca	2	45348542	65188362	11078	-0.0421
dced15f4-6936-4bd2-8c04-9919768b40ca	2	65191075	65807876	407	-0.7721
dced15f4-6936-4bd2-8c04-9919768b40ca	2	65808981	65809431	3	0.4055
dced15f4-6936-4bd2-8c04-9919768b40ca	2	65812157	117775095	23537	-0.0391
dced15f4-6936-4bd2-8c04-9919768b40ca	2	117775879	123005637	3263	0.0027
dced15f4-6936-4bd2-8c04-9919768b40ca	2	123005650	123484614	261	-0.0651
dced15f4-6936-4bd2-8c04-9919768b40ca	2	123484634	123602963	2	1.9882
dced15f4-6936-4bd2-8c04-9919768b40ca	2	123602994	134781233	5090	-0.0237
dced15f4-6936-4bd2-8c04-9919768b40ca	2	134782397	147409918	6901	-0.0678
dced15f4-6936-4bd2-8c04-9919768b40ca	2	147415236	151354289	2390	-0.029
dced15f4-6936-4bd2-8c04-9919768b40ca	2	151360664	154071965	1685	0.0255
dced15f4-6936-4bd2-8c04-9919768b40ca	2	154072949	160339999	3598	-0.0536
dced15f4-6936-4bd2-8c04-9919768b40ca	2	160340357	160360210	2	1.5318
dced15f4-6936-4bd2-8c04-9919768b40ca	2	160361024	186032339	14880	-0.0518
dced15f4-6936-4bd2-8c04-9919768b40ca	2	186032596	207399266	11222	0.021
dced15f4-6936-4bd2-8c04-9919768b40ca	2	207400014	212657429	3084	-0.018
dced15f4-6936-4bd2-8c04-9919768b40ca	2	212657770	216786402	2584	0.023
dced15f4-6936-4bd2-8c04-9919768b40ca	2	216790146	218194696	958	0.1031
dced15f4-6936-4bd2-8c04-9919768b40ca	2	218195098	235508427	10532	0.0274
dced15f4-6936-4bd2-8c04-9919768b40ca	2	235513170	236080188	360	-0.7932
dced15f4-6936-4bd2-8c04-9919768b40ca	2	236082302	240451608	2669	0.0352
dced15f4-6936-4bd2-8c04-9919768b40ca	2	240470237	241537572	512	-0.1893
dced15f4-6936-4bd2-8c04-9919768b40ca	3	2170634	3494230	773	-0.6851
dced15f4-6936-4bd2-8c04-9919768b40ca	3	3495042	15359781	7295	-0.6375
dced15f4-6936-4bd2-8c04-9919768b40ca	3	15362696	28305168	7336	-0.7112
dced15f4-6936-4bd2-8c04-9919768b40ca	3	28309145	30006541	1104	0.6703
dced15f4-6936-4bd2-8c04-9919768b40ca	3	30008476	30954539	700	0.4208
dced15f4-6936-4bd2-8c04-9919768b40ca	3	30957000	53190213	11947	-0.715
dced15f4-6936-4bd2-8c04-9919768b40ca	3	53200041	53231941	14	0.2028
dced15f4-6936-4bd2-8c04-9919768b40ca	3	53232373	54466511	840	-0.7025
dced15f4-6936-4bd2-8c04-9919768b40ca	3	54467059	54712459	205	0.6877
dced15f4-6936-4bd2-8c04-9919768b40ca	3	54716221	55279396	501	0.2173
dced15f4-6936-4bd2-8c04-9919768b40ca	3	55280188	55408362	98	-0.2835
dced15f4-6936-4bd2-8c04-9919768b40ca	3	55411015	66833685	7098	-0.7215
dced15f4-6936-4bd2-8c04-9919768b40ca	3	66834676	68085321	758	0.3562
dced15f4-6936-4bd2-8c04-9919768b40ca	3	68085922	68930441	622	-0.0541
dced15f4-6936-4bd2-8c04-9919768b40ca	3	68934077	69117205	122	0.1859
