GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
08d96eb0-8653-4776-966e-d14e1956d4a7	1	3301765	3711713	190	1.0301
08d96eb0-8653-4776-966e-d14e1956d4a7	1	3711724	3711823	5	0.3389
08d96eb0-8653-4776-966e-d14e1956d4a7	1	3712113	4083450	229	0.9554
08d96eb0-8653-4776-966e-d14e1956d4a7	1	4084248	6631507	1729	0.8221
08d96eb0-8653-4776-966e-d14e1956d4a7	1	6636818	6639757	3	-0.7647
08d96eb0-8653-4776-966e-d14e1956d4a7	1	6645296	17743913	5625	0.8529
08d96eb0-8653-4776-966e-d14e1956d4a7	1	17746747	30796407	7023	0.4631
08d96eb0-8653-4776-966e-d14e1956d4a7	1	30802156	58610132	15754	0.2758
08d96eb0-8653-4776-966e-d14e1956d4a7	1	58612365	58613687	4	-1.4479
08d96eb0-8653-4776-966e-d14e1956d4a7	1	58618537	83092101	15249	0.2874
08d96eb0-8653-4776-966e-d14e1956d4a7	1	83092504	247650984	83608	-0.0438
08d96eb0-8653-4776-966e-d14e1956d4a7	2	480597	181545964	98002	-0.0301
08d96eb0-8653-4776-966e-d14e1956d4a7	2	181546719	181549622	2	1.5572
08d96eb0-8653-4776-966e-d14e1956d4a7	2	181549795	181640207	59	0.6546
08d96eb0-8653-4776-966e-d14e1956d4a7	2	181643337	182002729	202	1.1366
08d96eb0-8653-4776-966e-d14e1956d4a7	2	182004988	241537572	33608	-0.0265
08d96eb0-8653-4776-966e-d14e1956d4a7	3	2170634	107790577	58621	-0.0419
08d96eb0-8653-4776-966e-d14e1956d4a7	3	107791610	107794245	3	-1.7412
08d96eb0-8653-4776-966e-d14e1956d4a7	3	107795019	197812401	48325	-0.0445
08d96eb0-8653-4776-966e-d14e1956d4a7	4	1059384	35675901	21386	-0.0414
08d96eb0-8653-4776-966e-d14e1956d4a7	4	35715870	35755676	20	-0.8662
08d96eb0-8653-4776-966e-d14e1956d4a7	4	35755736	187842528	81905	-0.0447
08d96eb0-8653-4776-966e-d14e1956d4a7	5	913983	3505546	1512	-0.0467
08d96eb0-8653-4776-966e-d14e1956d4a7	5	3507218	5498222	1653	0.3008
