GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cf2a7d31-cd76-4530-83aa-3b00227b0015	1	3301765	189861119	92751	0.0043
cf2a7d31-cd76-4530-83aa-3b00227b0015	1	189866390	189911405	40	-1.0719
cf2a7d31-cd76-4530-83aa-3b00227b0015	1	189915202	247650984	36737	-0.0016
cf2a7d31-cd76-4530-83aa-3b00227b0015	2	480597	4605672	2052	0.0003
cf2a7d31-cd76-4530-83aa-3b00227b0015	2	4606898	4607297	2	-1.3343
cf2a7d31-cd76-4530-83aa-3b00227b0015	2	4615098	22375874	12166	0.0013
cf2a7d31-cd76-4530-83aa-3b00227b0015	2	22376054	22378060	3	-1.0184
cf2a7d31-cd76-4530-83aa-3b00227b0015	2	22378280	32300777	5570	0.002
cf2a7d31-cd76-4530-83aa-3b00227b0015	2	32300983	32306039	2	-1.5392
cf2a7d31-cd76-4530-83aa-3b00227b0015	2	32306873	70716286	21934	0.0046
cf2a7d31-cd76-4530-83aa-3b00227b0015	2	70716497	70716577	2	-2.4322
cf2a7d31-cd76-4530-83aa-3b00227b0015	2	70716884	241537572	90303	0.0006
cf2a7d31-cd76-4530-83aa-3b00227b0015	3	2170634	197812401	106999	0.0005
cf2a7d31-cd76-4530-83aa-3b00227b0015	4	1059384	187842528	103347	0.0021
cf2a7d31-cd76-4530-83aa-3b00227b0015	5	914118	145842404	78931	0.0011
cf2a7d31-cd76-4530-83aa-3b00227b0015	5	145844725	145844879	2	-1.8125
cf2a7d31-cd76-4530-83aa-3b00227b0015	5	145847427	180934240	22016	0.0008
cf2a7d31-cd76-4530-83aa-3b00227b0015	6	1011760	115789971	64440	0.0016
cf2a7d31-cd76-4530-83aa-3b00227b0015	6	115790477	115790564	2	1.8415
cf2a7d31-cd76-4530-83aa-3b00227b0015	6	115791133	134375877	10891	0.0032
cf2a7d31-cd76-4530-83aa-3b00227b0015	6	134376239	134376302	2	-1.3957
cf2a7d31-cd76-4530-83aa-3b00227b0015	6	134376858	170596889	21671	0.0024
cf2a7d31-cd76-4530-83aa-3b00227b0015	7	664936	151806215	78266	0.0016
cf2a7d31-cd76-4530-83aa-3b00227b0015	7	151806724	151811171	3	-1.6534
cf2a7d31-cd76-4530-83aa-3b00227b0015	7	151811758	158592540	3542	-0.004
cf2a7d31-cd76-4530-83aa-3b00227b0015	8	667625	70042441	38519	0.0025
cf2a7d31-cd76-4530-83aa-3b00227b0015	8	70042470	70042599	3	-1.4097
