GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
98c4be6d-efc5-4386-a19e-1967f146d688	1	3301765	51930640	25884	0.1346
98c4be6d-efc5-4386-a19e-1967f146d688	1	51932724	52030606	54	1.9257
98c4be6d-efc5-4386-a19e-1967f146d688	1	52033189	53230379	637	0.1096
98c4be6d-efc5-4386-a19e-1967f146d688	1	53230749	53381148	95	2.11
98c4be6d-efc5-4386-a19e-1967f146d688	1	53384853	55921082	1737	0.1507
98c4be6d-efc5-4386-a19e-1967f146d688	1	55926133	55926337	3	1.163
98c4be6d-efc5-4386-a19e-1967f146d688	1	55930964	56460770	410	0.171
98c4be6d-efc5-4386-a19e-1967f146d688	1	56464693	56766318	213	2.1391
98c4be6d-efc5-4386-a19e-1967f146d688	1	56771475	58644495	1598	0.1576
98c4be6d-efc5-4386-a19e-1967f146d688	1	58646385	58667132	19	2.0026
98c4be6d-efc5-4386-a19e-1967f146d688	1	58667352	58693390	18	0.1592
98c4be6d-efc5-4386-a19e-1967f146d688	1	58693917	60273629	1028	1.9273
98c4be6d-efc5-4386-a19e-1967f146d688	1	60280021	60576709	178	0.1635
98c4be6d-efc5-4386-a19e-1967f146d688	1	60587907	60955093	284	2.1698
98c4be6d-efc5-4386-a19e-1967f146d688	1	60962047	63552475	1775	0.142
98c4be6d-efc5-4386-a19e-1967f146d688	1	63552734	63557787	3	1.1818
98c4be6d-efc5-4386-a19e-1967f146d688	1	63560988	64513467	695	0.1566
98c4be6d-efc5-4386-a19e-1967f146d688	1	64514386	64514977	2	-1.1264
98c4be6d-efc5-4386-a19e-1967f146d688	1	64515373	65506407	742	0.1559
98c4be6d-efc5-4386-a19e-1967f146d688	1	65517475	65532057	16	0.9994
98c4be6d-efc5-4386-a19e-1967f146d688	1	65534850	65605393	39	0.1334
98c4be6d-efc5-4386-a19e-1967f146d688	1	65608068	65614381	6	1.4122
98c4be6d-efc5-4386-a19e-1967f146d688	1	65619750	67688403	1551	0.1441
98c4be6d-efc5-4386-a19e-1967f146d688	1	67690696	67697612	10	1.0787
98c4be6d-efc5-4386-a19e-1967f146d688	1	67697926	67773251	61	0.177
