GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d68017f0-68eb-47b6-8161-7a60d34bc30e	1	3301765	247650984	129418	0.0007
d68017f0-68eb-47b6-8161-7a60d34bc30e	2	480597	163446457	86791	0.0061
d68017f0-68eb-47b6-8161-7a60d34bc30e	2	163448520	163448833	2	-1.5528
d68017f0-68eb-47b6-8161-7a60d34bc30e	2	163448848	225831222	35927	0.0058
d68017f0-68eb-47b6-8161-7a60d34bc30e	2	225831250	225835478	4	-1.7605
d68017f0-68eb-47b6-8161-7a60d34bc30e	2	225835494	241537572	9218	0.0053
d68017f0-68eb-47b6-8161-7a60d34bc30e	3	2170634	197812401	106947	0.0014
d68017f0-68eb-47b6-8161-7a60d34bc30e	4	1059384	153896896	85078	-0.0005
d68017f0-68eb-47b6-8161-7a60d34bc30e	4	153897695	153898360	2	-1.7645
d68017f0-68eb-47b6-8161-7a60d34bc30e	4	153898450	187842528	18159	-0.0005
d68017f0-68eb-47b6-8161-7a60d34bc30e	5	913983	180934240	100874	0.0018
d68017f0-68eb-47b6-8161-7a60d34bc30e	6	1011760	170596889	96916	0.0006
d68017f0-68eb-47b6-8161-7a60d34bc30e	7	664936	78801143	39669	0.0006
d68017f0-68eb-47b6-8161-7a60d34bc30e	7	78807139	78808038	3	-1.3653
d68017f0-68eb-47b6-8161-7a60d34bc30e	7	78811455	156947685	41316	0.002
d68017f0-68eb-47b6-8161-7a60d34bc30e	7	156952786	156953466	2	-1.4654
d68017f0-68eb-47b6-8161-7a60d34bc30e	7	156955201	158592540	775	-0.0079
d68017f0-68eb-47b6-8161-7a60d34bc30e	8	667625	144182542	82035	0.0003
d68017f0-68eb-47b6-8161-7a60d34bc30e	9	789794	138044505	68326	0.0002
d68017f0-68eb-47b6-8161-7a60d34bc30e	10	366509	133411599	81112	0.0007
d68017f0-68eb-47b6-8161-7a60d34bc30e	11	456012	134272740	77386	0.002
d68017f0-68eb-47b6-8161-7a60d34bc30e	12	780472	132605822	74169	0.0015
d68017f0-68eb-47b6-8161-7a60d34bc30e	13	18874255	114226675	56863	0.0017
d68017f0-68eb-47b6-8161-7a60d34bc30e	14	20033191	105533894	49681	0.0028
d68017f0-68eb-47b6-8161-7a60d34bc30e	15	23437561	101344124	44682	-0.0003
d68017f0-68eb-47b6-8161-7a60d34bc30e	16	603333	89317317	41111	-0.0004
d68017f0-68eb-47b6-8161-7a60d34bc30e	17	1074619	82959812	37200	0.0022
d68017f0-68eb-47b6-8161-7a60d34bc30e	18	326691	79349796	42871	-0.0012
d68017f0-68eb-47b6-8161-7a60d34bc30e	19	283868	58370362	24109	0.001
d68017f0-68eb-47b6-8161-7a60d34bc30e	20	472817	59153554	34669	0.0027
d68017f0-68eb-47b6-8161-7a60d34bc30e	20	59154157	59154379	3	-1.3252
d68017f0-68eb-47b6-8161-7a60d34bc30e	20	59154800	63588502	2790	-0.0086
d68017f0-68eb-47b6-8161-7a60d34bc30e	21	13974127	46262057	20550	-0.0023
d68017f0-68eb-47b6-8161-7a60d34bc30e	22	16934932	48940621	17056	0.0008
d68017f0-68eb-47b6-8161-7a60d34bc30e	X	3236359	155677414	63759	0.0042
