GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	1	3301765	36391072	17689	-0.0014
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	1	36396653	36407717	6	-1.101
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	1	36408641	247650984	111996	-0.0011
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	2	480597	6382201	3441	-0.0051
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	2	6386073	6386191	2	-2.1546
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	2	6387682	241537572	128726	0.0026
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	3	2170634	197812401	107131	0.0027
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	4	1059384	187842528	103461	0.0016
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	5	913983	113225819	60064	0.0024
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	5	113226466	113283697	46	-0.988
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	5	113286377	180934240	40980	0.001
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	6	1011760	170596889	97128	-0.0004
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	7	664936	158592540	81918	0.0026
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	8	667625	15460281	7423	0.0105
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	8	15465904	15477834	11	0.5598
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	8	15477886	81775700	37948	-0.0007
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	8	81777840	81782161	5	-1.6112
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	8	81783508	144182542	36810	-0.0018
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	9	789794	138044505	68464	0.0031
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	10	366509	43029180	26560	-0.0004
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	10	43029253	43030294	2	-1.4871
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	10	43030575	118519432	45199	-0.0007
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	10	118527499	118527906	2	-1.7146
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	10	118528644	133411599	9492	0.0042
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	11	456012	62824968	34263	-0.0006
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	11	62828992	62847813	10	0.7179
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	11	62849839	82690779	9861	-0.0032
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	11	82693692	82693838	2	-1.7212
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	11	82695591	134272740	33398	0.0021
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	12	780472	132605822	74329	-0.0018
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	13	18874255	114226675	56991	0.0006
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	14	20033191	105533894	49761	0.0054
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	15	23437561	101344124	44768	0.0015
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	16	603333	26120957	11859	-0.0065
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	16	26121058	26121117	2	-1.6796
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	16	26121322	89317317	29335	0.0017
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	17	1074619	82959812	37267	0.0017
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	18	326691	79349796	42958	0.0052
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	19	283868	58370362	24143	-0.0001
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	20	472817	63588502	37537	-0.0026
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	21	13974127	46262057	20593	0.0061
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	22	16934932	48940621	17082	-0.0024
95da91e1-9624-46c5-8833-ad4b3d9d6ef2	X	3236359	155677414	63093	0.0008
