GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	3301765	4224599	510	0.3719
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	4224859	8315853	2685	0.4277
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	8316537	11539717	1522	0.3669
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	11540004	11548048	10	-0.5042
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	11554211	26021558	7795	0.3942
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	26024891	29048088	1147	0.321
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	29061137	30633820	1113	0.4438
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	30635520	33010691	985	0.3596
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	33012962	40790527	4276	0.4105
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	40798520	41356107	295	-0.4864
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	41356737	41694266	240	0.4459
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	41696581	46244715	2387	0.3931
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	46245116	55932364	5416	0.4354
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	55936263	56334240	307	-0.4452
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	56337940	61492911	3808	0.4712
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	61493614	62444867	688	0.4011
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	62446080	67555368	3638	0.4669
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	67555620	68771763	857	0.5332
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	68772408	77896243	5053	0.4668
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	77901621	78478820	300	-0.3971
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	78481140	78652028	102	0.5124
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	78654998	90524549	7423	-0.4326
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	90525920	95547517	3021	0.3171
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	95548177	96352900	495	-0.4211
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	96358945	98891402	1367	0.3357
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	98893612	98944647	44	-0.4337
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	98946325	100918136	1295	0.3122
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	100920623	102048404	819	-0.0063
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	102053165	102674483	231	0.3443
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	102675153	107297298	2316	-0.4049
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	107297631	117681362	6441	-0.4685
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	117681588	119984772	1326	-0.4071
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	146716041	151860320	761	0.1904
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	151860425	153495472	974	0.3028
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	153495630	157259487	1731	0.2091
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	157261279	157710422	332	-0.4834
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	157712693	158426740	499	0.2758
4fb4becf-3826-4639-96d5-4fb2fd0fb550	1	158426929	159789988	879	-0.4655
