GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8b9cc077-d704-4164-9a94-dc3dbafad8ca	1	3301765	210425397	105704	0.0021
8b9cc077-d704-4164-9a94-dc3dbafad8ca	1	210425493	210511111	66	-0.8535
8b9cc077-d704-4164-9a94-dc3dbafad8ca	1	210511184	247650984	23858	0.0006
8b9cc077-d704-4164-9a94-dc3dbafad8ca	2	480597	22376054	14231	0.0012
8b9cc077-d704-4164-9a94-dc3dbafad8ca	2	22378048	22378060	2	-1.5269
8b9cc077-d704-4164-9a94-dc3dbafad8ca	2	22378280	241537572	117872	0.001
8b9cc077-d704-4164-9a94-dc3dbafad8ca	3	2170634	82151318	47347	0.0011
8b9cc077-d704-4164-9a94-dc3dbafad8ca	3	82154394	82154869	2	-1.3846
8b9cc077-d704-4164-9a94-dc3dbafad8ca	3	82157386	197812401	59737	0.0027
8b9cc077-d704-4164-9a94-dc3dbafad8ca	4	1059384	2773225	628	-0.0049
8b9cc077-d704-4164-9a94-dc3dbafad8ca	4	2775679	2803475	6	-0.8573
8b9cc077-d704-4164-9a94-dc3dbafad8ca	4	2813529	15983430	8464	-0.003
8b9cc077-d704-4164-9a94-dc3dbafad8ca	4	15983831	15985025	2	-2.1051
8b9cc077-d704-4164-9a94-dc3dbafad8ca	4	15986874	187842528	94318	0.0011
8b9cc077-d704-4164-9a94-dc3dbafad8ca	5	913983	180934240	101028	0.0018
8b9cc077-d704-4164-9a94-dc3dbafad8ca	6	1011760	16196528	10837	0.0023
8b9cc077-d704-4164-9a94-dc3dbafad8ca	6	16200737	16203670	4	-1.0086
8b9cc077-d704-4164-9a94-dc3dbafad8ca	6	16204829	53641009	21028	-0.0016
8b9cc077-d704-4164-9a94-dc3dbafad8ca	6	53642568	53642829	2	-1.6636
8b9cc077-d704-4164-9a94-dc3dbafad8ca	6	53642976	170596889	65228	0.0008
8b9cc077-d704-4164-9a94-dc3dbafad8ca	7	664936	158592540	81897	0.0012
8b9cc077-d704-4164-9a94-dc3dbafad8ca	8	667625	144182542	82161	0.0005
8b9cc077-d704-4164-9a94-dc3dbafad8ca	9	789794	16069069	8995	-0.0079
8b9cc077-d704-4164-9a94-dc3dbafad8ca	9	16069120	16069318	3	-1.2086
8b9cc077-d704-4164-9a94-dc3dbafad8ca	9	16069631	138044505	59436	0.0019
8b9cc077-d704-4164-9a94-dc3dbafad8ca	10	366509	82299171	48906	-0.0005
8b9cc077-d704-4164-9a94-dc3dbafad8ca	10	82305310	82306804	3	-1.3042
8b9cc077-d704-4164-9a94-dc3dbafad8ca	10	82309211	133411599	32314	-0.0011
8b9cc077-d704-4164-9a94-dc3dbafad8ca	11	456012	134272740	77515	0.0008
8b9cc077-d704-4164-9a94-dc3dbafad8ca	12	780472	132605822	74303	-0.0003
8b9cc077-d704-4164-9a94-dc3dbafad8ca	13	18874255	114226675	56957	0.0005
8b9cc077-d704-4164-9a94-dc3dbafad8ca	14	20033191	105533894	49740	0.0022
8b9cc077-d704-4164-9a94-dc3dbafad8ca	15	23437561	101344124	44740	0.0022
8b9cc077-d704-4164-9a94-dc3dbafad8ca	16	603333	83850897	38588	0.0007
8b9cc077-d704-4164-9a94-dc3dbafad8ca	16	83851660	83852315	3	-1.4958
8b9cc077-d704-4164-9a94-dc3dbafad8ca	16	83852717	86412979	1196	0.0122
8b9cc077-d704-4164-9a94-dc3dbafad8ca	16	86413560	86413765	5	-0.9356
8b9cc077-d704-4164-9a94-dc3dbafad8ca	16	86414142	89317317	1388	-0.0212
8b9cc077-d704-4164-9a94-dc3dbafad8ca	17	1074619	72776654	33073	0.0038
8b9cc077-d704-4164-9a94-dc3dbafad8ca	17	72785766	72786024	2	-1.4565
8b9cc077-d704-4164-9a94-dc3dbafad8ca	17	72787179	82959812	4176	0.005
8b9cc077-d704-4164-9a94-dc3dbafad8ca	18	326691	79349796	42929	0.0017
8b9cc077-d704-4164-9a94-dc3dbafad8ca	19	283868	58370362	24132	-0.0025
8b9cc077-d704-4164-9a94-dc3dbafad8ca	20	472817	63588502	37524	-0.0035
8b9cc077-d704-4164-9a94-dc3dbafad8ca	21	13974127	46262057	20584	-0.0028
8b9cc077-d704-4164-9a94-dc3dbafad8ca	22	16934932	48940621	17071	-0.0031
8b9cc077-d704-4164-9a94-dc3dbafad8ca	X	3236359	155677414	62947	-0.002
