GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
343d640f-d21a-4f04-ad0b-4233a8aba26c	1	3301765	247650984	129703	0.0019
343d640f-d21a-4f04-ad0b-4233a8aba26c	2	480597	215613911	116263	-0.0031
343d640f-d21a-4f04-ad0b-4233a8aba26c	2	215620886	215625254	12	-1.1498
343d640f-d21a-4f04-ad0b-4233a8aba26c	2	215626985	241537572	15876	-0.0022
343d640f-d21a-4f04-ad0b-4233a8aba26c	3	2170634	197812401	107156	0.0032
343d640f-d21a-4f04-ad0b-4233a8aba26c	4	1059384	187842528	103453	0.0011
343d640f-d21a-4f04-ad0b-4233a8aba26c	5	913983	135486593	73069	0.0021
343d640f-d21a-4f04-ad0b-4233a8aba26c	5	135489795	135489993	2	-2.062
343d640f-d21a-4f04-ad0b-4233a8aba26c	5	135492523	180934240	28003	0.0035
343d640f-d21a-4f04-ad0b-4233a8aba26c	6	1011760	170596889	97125	0.0032
343d640f-d21a-4f04-ad0b-4233a8aba26c	7	664936	158592540	81912	0.002
343d640f-d21a-4f04-ad0b-4233a8aba26c	8	667625	113027662	62668	-0.0002
343d640f-d21a-4f04-ad0b-4233a8aba26c	8	113028312	113032421	3	-1.0895
343d640f-d21a-4f04-ad0b-4233a8aba26c	8	113036167	144182542	19553	-0.0016
343d640f-d21a-4f04-ad0b-4233a8aba26c	9	789794	89651981	38382	-0.003
343d640f-d21a-4f04-ad0b-4233a8aba26c	9	89655207	89662527	14	-0.871
343d640f-d21a-4f04-ad0b-4233a8aba26c	9	89669108	138044505	30069	0.0008
343d640f-d21a-4f04-ad0b-4233a8aba26c	10	366509	133411599	81259	0.0017
343d640f-d21a-4f04-ad0b-4233a8aba26c	11	456012	97380101	53012	0.0027
343d640f-d21a-4f04-ad0b-4233a8aba26c	11	97384074	97384149	2	-1.2662
343d640f-d21a-4f04-ad0b-4233a8aba26c	11	97384632	134272740	24535	0.0024
343d640f-d21a-4f04-ad0b-4233a8aba26c	12	780472	132605822	74322	-0.0007
343d640f-d21a-4f04-ad0b-4233a8aba26c	13	18874255	89611086	40862	0.0036
343d640f-d21a-4f04-ad0b-4233a8aba26c	13	89616485	89617070	4	-1.2384
343d640f-d21a-4f04-ad0b-4233a8aba26c	13	89617625	92438833	1800	-0.0054
343d640f-d21a-4f04-ad0b-4233a8aba26c	13	92441858	92441920	2	-1.2302
343d640f-d21a-4f04-ad0b-4233a8aba26c	13	92443627	114226675	14303	0.0034
343d640f-d21a-4f04-ad0b-4233a8aba26c	14	20033191	92081523	41684	0.001
343d640f-d21a-4f04-ad0b-4233a8aba26c	14	92084985	92090267	6	-0.9653
343d640f-d21a-4f04-ad0b-4233a8aba26c	14	92099099	105533894	8084	0.003
343d640f-d21a-4f04-ad0b-4233a8aba26c	15	23437561	101344124	44768	-0.0005
343d640f-d21a-4f04-ad0b-4233a8aba26c	16	603333	89317317	41189	0.0032
343d640f-d21a-4f04-ad0b-4233a8aba26c	17	1074619	82959812	37269	0.0018
343d640f-d21a-4f04-ad0b-4233a8aba26c	18	326691	79349796	42945	0.0023
343d640f-d21a-4f04-ad0b-4233a8aba26c	19	283868	28001908	9231	-0.0016
343d640f-d21a-4f04-ad0b-4233a8aba26c	19	28002055	28215779	181	-0.8902
343d640f-d21a-4f04-ad0b-4233a8aba26c	19	28217137	58370362	14742	0.0058
343d640f-d21a-4f04-ad0b-4233a8aba26c	20	472817	63588502	37549	0.0042
343d640f-d21a-4f04-ad0b-4233a8aba26c	21	13974127	46262057	20596	0.0022
343d640f-d21a-4f04-ad0b-4233a8aba26c	22	16934932	48940621	17091	0.0023
343d640f-d21a-4f04-ad0b-4233a8aba26c	X	3236359	155677414	63915	0.0016
