GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
63440469-e5b7-4fb5-948e-d94105fa1394	1	3301765	3335540	29	0.3128
63440469-e5b7-4fb5-948e-d94105fa1394	1	3336055	13526460	5387	0.1528
63440469-e5b7-4fb5-948e-d94105fa1394	1	13529113	13529263	3	-1.0481
63440469-e5b7-4fb5-948e-d94105fa1394	1	13529289	14947456	1118	0.1746
63440469-e5b7-4fb5-948e-d94105fa1394	1	14949734	14952800	7	-0.5873
63440469-e5b7-4fb5-948e-d94105fa1394	1	14953161	27480051	6534	0.1694
63440469-e5b7-4fb5-948e-d94105fa1394	1	27481107	28297089	352	0.2999
63440469-e5b7-4fb5-948e-d94105fa1394	1	28297970	35288036	3788	0.1834
63440469-e5b7-4fb5-948e-d94105fa1394	1	35288894	35981374	298	0.3011
63440469-e5b7-4fb5-948e-d94105fa1394	1	35983868	42499980	3635	0.3767
63440469-e5b7-4fb5-948e-d94105fa1394	1	42503385	42607833	55	0.2191
63440469-e5b7-4fb5-948e-d94105fa1394	1	42608304	42955853	201	0.371
63440469-e5b7-4fb5-948e-d94105fa1394	1	42956259	43247648	193	0.2827
63440469-e5b7-4fb5-948e-d94105fa1394	1	43249876	44844138	904	0.1985
63440469-e5b7-4fb5-948e-d94105fa1394	1	44847195	53002707	3899	0.3122
63440469-e5b7-4fb5-948e-d94105fa1394	1	53004044	60206871	5266	0.3489
63440469-e5b7-4fb5-948e-d94105fa1394	1	60212784	60215808	5	-0.8763
63440469-e5b7-4fb5-948e-d94105fa1394	1	60220308	65574175	3762	0.3318
63440469-e5b7-4fb5-948e-d94105fa1394	1	65577215	65577429	3	-0.78
63440469-e5b7-4fb5-948e-d94105fa1394	1	65580244	66307600	548	0.3461
63440469-e5b7-4fb5-948e-d94105fa1394	1	66307666	68385920	1533	0.3972
63440469-e5b7-4fb5-948e-d94105fa1394	1	68386302	70133158	984	0.3469
63440469-e5b7-4fb5-948e-d94105fa1394	1	70134053	78096929	4401	0.2839
63440469-e5b7-4fb5-948e-d94105fa1394	1	78097305	79553518	738	0.3463
63440469-e5b7-4fb5-948e-d94105fa1394	1	79554599	87176703	4823	0.2799
63440469-e5b7-4fb5-948e-d94105fa1394	1	87176721	87456742	236	0.3932
63440469-e5b7-4fb5-948e-d94105fa1394	1	87456938	87806449	250	0.5992
63440469-e5b7-4fb5-948e-d94105fa1394	1	87807289	88229214	328	0.4464
63440469-e5b7-4fb5-948e-d94105fa1394	1	88231628	90177992	1172	0.3241
63440469-e5b7-4fb5-948e-d94105fa1394	1	90178719	101906924	7168	0.263
63440469-e5b7-4fb5-948e-d94105fa1394	1	101907424	106083834	1865	0.2142
63440469-e5b7-4fb5-948e-d94105fa1394	1	106087328	116040311	6251	0.2674
63440469-e5b7-4fb5-948e-d94105fa1394	1	116041897	119432630	2021	0.4225
63440469-e5b7-4fb5-948e-d94105fa1394	1	119432911	119472944	54	0.5703
63440469-e5b7-4fb5-948e-d94105fa1394	1	119474109	119975323	305	0.4249
63440469-e5b7-4fb5-948e-d94105fa1394	1	119975336	151444045	548	0.5563
63440469-e5b7-4fb5-948e-d94105fa1394	1	151446843	152621893	610	0.6279
63440469-e5b7-4fb5-948e-d94105fa1394	1	152623938	161703985	5044	0.5933
63440469-e5b7-4fb5-948e-d94105fa1394	1	161706767	163510682	1501	0.6478
63440469-e5b7-4fb5-948e-d94105fa1394	1	163510761	166329901	2143	0.6046
63440469-e5b7-4fb5-948e-d94105fa1394	1	166332581	166333004	2	1.9071
63440469-e5b7-4fb5-948e-d94105fa1394	1	166333475	168358634	1446	0.6
63440469-e5b7-4fb5-948e-d94105fa1394	1	168362271	173672311	3677	0.6427
63440469-e5b7-4fb5-948e-d94105fa1394	1	173674962	179282538	3164	0.5019
63440469-e5b7-4fb5-948e-d94105fa1394	1	179282760	181894856	1711	0.3681
63440469-e5b7-4fb5-948e-d94105fa1394	1	181896300	181897342	2	-0.7863
63440469-e5b7-4fb5-948e-d94105fa1394	1	181898861	184968595	2061	0.3739
63440469-e5b7-4fb5-948e-d94105fa1394	1	184968897	185649752	407	0.2849
63440469-e5b7-4fb5-948e-d94105fa1394	1	185650460	186149668	295	0.3517
63440469-e5b7-4fb5-948e-d94105fa1394	1	186155262	195097044	5404	-0.2937
63440469-e5b7-4fb5-948e-d94105fa1394	1	195099326	211470432	10332	-0.2548
63440469-e5b7-4fb5-948e-d94105fa1394	1	211471233	211472922	2	-2.0281
63440469-e5b7-4fb5-948e-d94105fa1394	1	211473994	222032466	7173	-0.2543
63440469-e5b7-4fb5-948e-d94105fa1394	1	222033089	247650984	16052	-0.2831
63440469-e5b7-4fb5-948e-d94105fa1394	2	480597	522617	23	-0.3559
63440469-e5b7-4fb5-948e-d94105fa1394	2	522921	6127693	3203	-0.1768
63440469-e5b7-4fb5-948e-d94105fa1394	2	6127991	6128067	2	-1.459
63440469-e5b7-4fb5-948e-d94105fa1394	2	6128120	6157847	20	-3.2879
63440469-e5b7-4fb5-948e-d94105fa1394	2	6157890	10397190	2925	-0.1611
63440469-e5b7-4fb5-948e-d94105fa1394	2	10397221	14088035	2497	-0.2154
63440469-e5b7-4fb5-948e-d94105fa1394	2	14089326	14432382	194	0.0167
63440469-e5b7-4fb5-948e-d94105fa1394	2	14434898	22315453	5304	-0.1896
63440469-e5b7-4fb5-948e-d94105fa1394	2	22316305	33497177	5943	-0.2236
63440469-e5b7-4fb5-948e-d94105fa1394	2	33497427	33497498	2	-1.994
63440469-e5b7-4fb5-948e-d94105fa1394	2	33499862	47407308	8383	-0.2117
63440469-e5b7-4fb5-948e-d94105fa1394	2	47409197	60662467	7355	-0.2433
63440469-e5b7-4fb5-948e-d94105fa1394	2	60664241	68153052	4326	-0.2106
63440469-e5b7-4fb5-948e-d94105fa1394	2	68153089	68154720	3	-1.453
63440469-e5b7-4fb5-948e-d94105fa1394	2	68156790	70668930	1522	-0.2145
63440469-e5b7-4fb5-948e-d94105fa1394	2	70668968	76894312	3424	0.0365
63440469-e5b7-4fb5-948e-d94105fa1394	2	76894534	77370760	272	-0.0362
63440469-e5b7-4fb5-948e-d94105fa1394	2	77372223	77659381	179	-0.1349
63440469-e5b7-4fb5-948e-d94105fa1394	2	77659533	77738395	34	-0.4131
63440469-e5b7-4fb5-948e-d94105fa1394	2	77774293	80881204	1577	-0.0974
63440469-e5b7-4fb5-948e-d94105fa1394	2	80881236	84547504	1937	-0.0393
63440469-e5b7-4fb5-948e-d94105fa1394	2	84551020	85357577	475	-0.0028
63440469-e5b7-4fb5-948e-d94105fa1394	2	85360926	88831240	1110	-0.3122
63440469-e5b7-4fb5-948e-d94105fa1394	2	88831554	95316385	204	-0.0366
63440469-e5b7-4fb5-948e-d94105fa1394	2	95319273	98282209	835	0.0153
