GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	3301765	24694728	11961	0.0322
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	24694981	28616833	1571	-0.0113
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	28620941	40049747	6186	0.0309
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	40051266	40210290	93	-0.1471
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	40214177	55229608	8011	0.0292
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	55229862	64459577	6773	0.0542
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	64460208	168895926	45239	0.0242
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	168896238	170620296	1274	0.3784
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	170622259	175203803	2708	0.0207
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	175204480	184493847	5926	0.0433
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	184494728	188972946	2710	0.0036
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	188975655	189129685	119	0.8953
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	189129888	189162715	13	0.4979
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	189167111	189577840	59	0.3675
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	189577858	199168602	5597	-0.0131
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	199169845	234221956	22961	0.0365
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	1	234222470	247650984	8495	0.0138
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	2	480597	9699407	5707	0.0382
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	2	9704829	9709399	7	-0.7272
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	2	9710209	34214096	14951	0.0372
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	2	34215021	104097723	34590	0.0213
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	2	104098407	140182812	18187	0.0425
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	2	140183841	210729214	39853	0.0136
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	2	210769563	211049038	175	-0.5515
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	2	211052953	241537572	18679	0.0288
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	2170634	108877655	59378	-0.5289
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	108877854	109659526	166	0.0398
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	109660607	109909644	132	-0.5099
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	109921000	110391126	286	0.0039
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	110393946	119962834	5933	-0.5344
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	119973513	122462414	1194	0.0325
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	122467341	122474987	5	-0.4321
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	122479137	122481721	4	0.051
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	122485290	122515768	13	-0.5222
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	122522423	122769353	159	-0.0039
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	122770267	123597089	527	-0.4968
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	123597862	124165316	313	0.0003
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	124170602	125887674	1097	-0.5134
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	125888071	126014114	57	0.0019
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	126014238	126024269	6	-0.6561
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	126025133	126288215	200	0.0804
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	126288281	126363710	51	-0.418
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	126364191	129929748	1872	0.033
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	129931231	130312385	146	-0.5504
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	130314873	132842917	1595	0.037
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	132843611	132941805	70	-0.4911
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	132942446	132976346	39	-0.0364
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	132982618	133006095	9	-0.6041
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	133006519	133094253	77	-0.0391
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	133095293	133909663	539	-0.4976
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	133910268	134129167	144	0.0172
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	134131757	134154258	12	-0.6384
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	134163307	137527662	1807	0.0419
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	137531202	137543199	9	0.7031
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	137549385	143115888	2995	0.0462
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	143122223	145761336	1385	-0.5632
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	145767368	147341150	649	0.0202
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	147341547	147382011	13	0.3485
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	3	147384096	197812401	26125	-0.5337
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	4	1059384	2026183	309	0.3226
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	4	2026835	2244686	89	0.757
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	4	2246106	2466527	103	0.3493
3b2dc5c2-f7ae-461c-ac26-7a45de2258da	4	2467872	2697138	81	0.4813
