GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
12f54b8e-1d86-49b7-a93f-b44aabf782a3	1	3301765	247650984	129307	0.0216
12f54b8e-1d86-49b7-a93f-b44aabf782a3	2	480597	202225583	108179	0.0191
12f54b8e-1d86-49b7-a93f-b44aabf782a3	2	202225870	202231186	2	-2.0487
12f54b8e-1d86-49b7-a93f-b44aabf782a3	2	202232268	229024106	16429	0.0212
12f54b8e-1d86-49b7-a93f-b44aabf782a3	2	229028341	229029408	4	-1.081
12f54b8e-1d86-49b7-a93f-b44aabf782a3	2	229032316	241537572	7265	0.0269
12f54b8e-1d86-49b7-a93f-b44aabf782a3	3	2170634	197812401	106859	0.0147
12f54b8e-1d86-49b7-a93f-b44aabf782a3	4	1059384	55904542	30982	0.0228
12f54b8e-1d86-49b7-a93f-b44aabf782a3	4	55904923	55908999	4	-1.3239
12f54b8e-1d86-49b7-a93f-b44aabf782a3	4	55909104	187842528	72193	0.0175
12f54b8e-1d86-49b7-a93f-b44aabf782a3	5	913983	3702782	1695	0.0346
12f54b8e-1d86-49b7-a93f-b44aabf782a3	5	3702962	3703065	2	-2.0745
12f54b8e-1d86-49b7-a93f-b44aabf782a3	5	3703201	4012189	253	0.0218
12f54b8e-1d86-49b7-a93f-b44aabf782a3	5	4012580	4012586	2	-1.7203
12f54b8e-1d86-49b7-a93f-b44aabf782a3	5	4013527	180934240	98867	0.0216
12f54b8e-1d86-49b7-a93f-b44aabf782a3	6	1011760	138787091	78194	0.019
12f54b8e-1d86-49b7-a93f-b44aabf782a3	6	138801103	139371982	348	-0.5891
12f54b8e-1d86-49b7-a93f-b44aabf782a3	6	139376567	170596889	18315	0.0222
12f54b8e-1d86-49b7-a93f-b44aabf782a3	7	664936	32093978	17695	0.0213
12f54b8e-1d86-49b7-a93f-b44aabf782a3	7	32096179	32132716	9	-1.0507
12f54b8e-1d86-49b7-a93f-b44aabf782a3	7	32133477	158592540	64015	0.0213
12f54b8e-1d86-49b7-a93f-b44aabf782a3	8	667625	43080575	24920	-0.6106
12f54b8e-1d86-49b7-a93f-b44aabf782a3	8	46547532	126155732	45800	0.0212
12f54b8e-1d86-49b7-a93f-b44aabf782a3	8	126158625	126159057	2	-1.407
12f54b8e-1d86-49b7-a93f-b44aabf782a3	8	126161769	144182542	11184	0.0291
12f54b8e-1d86-49b7-a93f-b44aabf782a3	9	789794	138044505	68288	0.025
12f54b8e-1d86-49b7-a93f-b44aabf782a3	10	366509	809323	155	0.0251
12f54b8e-1d86-49b7-a93f-b44aabf782a3	10	811211	812082	2	-1.7269
12f54b8e-1d86-49b7-a93f-b44aabf782a3	10	812093	13057342	8869	0.0277
12f54b8e-1d86-49b7-a93f-b44aabf782a3	10	13058204	13065320	7	-1.1231
12f54b8e-1d86-49b7-a93f-b44aabf782a3	10	13071731	133411599	72032	0.0248
12f54b8e-1d86-49b7-a93f-b44aabf782a3	11	456012	20262712	12602	0.0236
12f54b8e-1d86-49b7-a93f-b44aabf782a3	11	20262874	20264242	3	-1.6907
12f54b8e-1d86-49b7-a93f-b44aabf782a3	11	20264979	134272740	64736	0.0252
