GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	3301765	69858863	38323	0.2065
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	69864693	70154974	174	-0.4431
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	70159920	88274240	10794	0.2002
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	88274883	88275182	4	-0.6061
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	88276233	95255462	4182	0.2102
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	95261062	95563954	222	-0.456
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	95567571	101891548	3885	0.2003
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	101891981	106178157	1964	0.165
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	106178376	149906351	8560	0.2026
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	149907993	168079991	11102	0.6059
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	168081767	178689682	6569	0.2073
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	178707731	187628675	5824	-0.4361
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	187629330	199012112	6554	-0.473
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	199013189	205911494	4520	-0.4406
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	205912696	205914263	3	-2.5912
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	1	205915146	247650984	26963	-0.4469
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	480597	548746	42	-0.2093
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	549551	8702619	5052	-0.1007
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	8704364	22598189	9278	-0.0667
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	22599243	22599287	2	-1.6111
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	22599424	38458671	8367	-0.0616
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	38459334	38517625	40	0.1101
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	38518482	38580299	49	0.4949
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	38580765	38853425	125	0.2045
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	38857615	38951352	49	0.4775
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	38954435	39011254	44	0.2155
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	39015010	40053642	557	0.4739
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	40056440	45518592	3489	0.2309
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	45519445	48769082	2157	-0.0519
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	48769178	50636524	1242	0.4116
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	50965967	52919878	934	-0.1029
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	52919941	76211904	13316	-0.064
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	76212248	83580246	3866	-0.108
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	83582066	83670433	44	0.3996
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	83678439	83691347	15	-0.0243
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	83696657	83730086	32	0.3844
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	83730724	84196137	263	-0.0847
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	84200034	84204865	7	0.5415
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	84205176	95197012	1951	-0.0616
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	95200978	95299538	25	0.3817
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	95300673	105589825	5309	-0.0829
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	105591778	130894942	12618	0.429
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	130896870	131601280	176	-0.0643
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	131605711	145083187	7392	0.4281
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	145083779	146296050	656	0.2197
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	146296344	147651743	683	0.1796
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	147654798	149077408	681	-0.4075
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	149077586	149077730	2	-1.8175
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	149077773	149601662	326	-0.4046
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	149606482	149638285	20	0.2665
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	149644345	232827932	47868	-0.4178
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	2	232830287	241537572	5420	-0.4523
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	2170634	36581058	20668	0.1903
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	36646112	38063780	901	0.6198
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	38066916	40228575	1385	0.1874
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	40229189	46529207	3609	-0.4608
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	46534506	46609503	47	0.2807
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	46614861	47008372	174	-0.4754
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	47013276	51163338	1620	-0.3988
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	51168618	64750901	8058	-0.4572
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	64751190	64753116	3	-1.9929
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	64753551	78048663	8631	-0.4584
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	78051228	78471696	216	0.1833
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	78471919	78656730	128	0.6073
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	78660224	79867312	644	0.8985
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	79869138	84037342	2135	0.1622
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	84038496	84041175	3	-0.7583
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	84043751	86212375	1020	0.1606
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	86216052	86216665	2	-2.2433
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	86221012	97103037	3534	0.1733
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	97107311	98688460	844	0.6296
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	98688470	98688542	2	-0.5639
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	98688556	101962201	1694	0.6213
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	101965507	105973151	2312	0.5731
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	105976009	110577884	2470	0.6182
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	110579064	116378604	3456	0.2057
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	116380194	116390357	23	-0.5084
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	116392988	162552895	25633	0.1895
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	162554871	167228332	1859	0.1454
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	3	167232833	197812401	16026	0.1862
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	1059384	37926634	22968	0.605
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	37927374	42808103	2902	0.222
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	42811081	46492510	1647	0.1625
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	46494557	46505528	4	0.9811
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	46507239	47286454	369	0.1776
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	47286568	47287037	2	-0.7486
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	47287213	47502529	137	0.163
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	47502809	48067890	329	0.2201
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	51832470	54631494	1793	-0.4334
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	54639766	57476429	1869	0.2263
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	57482317	67515716	5538	-0.479
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	67516012	67516667	2	-2.123
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	67519365	77570182	5245	-0.4495
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	77573074	77575725	2	-1.9911
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	77580005	80234676	1551	-0.4416
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	80237067	80237391	2	-2.3445
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	80237728	91190912	6534	-0.4353
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	91193130	102585287	6222	-0.4703
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	102585717	121648747	10836	-0.44
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	121648823	121648885	2	-2.8824
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	121651696	157697493	19588	-0.4382
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	157700362	157704692	4	-2.3292
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	157709972	159745744	1133	-0.428
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	159746254	163050205	1964	0.1742
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	163050279	170196032	3788	0.2253
ab0ceefd-4c0f-46a2-9f51-9dbf0aec6a2f	4	170199832	187842528	8974	0.1946
