GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	1	3301765	247650984	129685	0.0005
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	2	480597	241537572	132163	0.0044
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	3	2170634	197812401	107129	0.0016
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	4	1059384	187842528	103436	-0.0009
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	5	913983	180934240	101075	0.0021
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	6	1011760	71655623	39582	0.0005
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	6	71656828	71657148	2	1.6077
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	6	71657340	170596889	57523	0.0005
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	7	664936	90626817	45510	-0.0005
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	7	90631229	90632771	6	-1.013
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	7	90644288	158592540	36377	-0.0018
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	8	667625	52525281	28180	0.0003
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	8	52525866	52560130	20	0.4777
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	8	52567039	144182542	53978	-0.0001
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	9	789794	138044505	68455	0.0024
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	10	366509	379001	8	-0.4206
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	10	381671	133411599	81261	-0.0009
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	11	456012	134272740	77546	0.0008
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	12	780472	132605822	74298	-0.0023
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	13	18874255	114226675	56962	0.0017
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	14	20033191	105533894	49754	-0.0005
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	15	23437561	101344124	44769	0.0014
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	16	603333	89317317	41189	0.0023
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	17	1074619	82959812	37270	-0.0005
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	18	326691	79349796	42941	-0.0008
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	19	283868	22593588	8344	0.0072
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	19	22598739	22598752	2	-1.6613
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	19	22599274	58370362	15801	0.0027
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	20	472817	63588502	37538	0.0054
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	21	13974127	46262057	20590	-0.0002
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	22	16934932	48940621	17083	-0.0015
1f33c29d-fd2c-46a2-947f-b5cc89ebf6c8	X	3236359	155677414	63767	0.0039
