GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6a00864f-0896-4ab8-8680-8e81fc902a20	1	3301765	247650984	129694	-0.004
6a00864f-0896-4ab8-8680-8e81fc902a20	2	480597	158863180	84351	-0.0031
6a00864f-0896-4ab8-8680-8e81fc902a20	2	158864195	158874954	6	-1.3952
6a00864f-0896-4ab8-8680-8e81fc902a20	2	158877030	241537572	47806	-0.0031
6a00864f-0896-4ab8-8680-8e81fc902a20	3	2170634	165304048	90374	0.0008
6a00864f-0896-4ab8-8680-8e81fc902a20	3	165304486	165305126	2	-2.2502
6a00864f-0896-4ab8-8680-8e81fc902a20	3	165312891	197812401	16758	-0.0009
6a00864f-0896-4ab8-8680-8e81fc902a20	4	1059384	59860293	33413	-0.0017
6a00864f-0896-4ab8-8680-8e81fc902a20	4	59871665	59872520	3	-1.9936
6a00864f-0896-4ab8-8680-8e81fc902a20	4	59872745	187842528	70050	-0.0028
6a00864f-0896-4ab8-8680-8e81fc902a20	5	913983	180934240	101074	-0.0012
6a00864f-0896-4ab8-8680-8e81fc902a20	6	1011760	3701410	2001	0.0016
6a00864f-0896-4ab8-8680-8e81fc902a20	6	3702447	3723887	24	0.3725
6a00864f-0896-4ab8-8680-8e81fc902a20	6	3724727	3982404	208	0.1732
6a00864f-0896-4ab8-8680-8e81fc902a20	6	3984113	4110500	115	0.2982
6a00864f-0896-4ab8-8680-8e81fc902a20	6	4112813	10756075	4574	-0.0083
6a00864f-0896-4ab8-8680-8e81fc902a20	6	10761879	10878138	70	0.1478
6a00864f-0896-4ab8-8680-8e81fc902a20	6	10878654	10879939	3	0.9863
6a00864f-0896-4ab8-8680-8e81fc902a20	6	10880817	11905440	808	0.1689
6a00864f-0896-4ab8-8680-8e81fc902a20	6	11906331	15932661	2829	-0.0108
6a00864f-0896-4ab8-8680-8e81fc902a20	6	15935673	16454982	366	0.1452
6a00864f-0896-4ab8-8680-8e81fc902a20	6	16455134	24440123	5633	0.0002
6a00864f-0896-4ab8-8680-8e81fc902a20	6	24440614	24824689	252	0.1706
6a00864f-0896-4ab8-8680-8e81fc902a20	6	24827427	28632715	1636	-0.0149
6a00864f-0896-4ab8-8680-8e81fc902a20	6	28634157	28710361	41	0.4503
6a00864f-0896-4ab8-8680-8e81fc902a20	6	28717447	35266410	2007	0.0021
6a00864f-0896-4ab8-8680-8e81fc902a20	6	35267814	36022339	348	0.1542
6a00864f-0896-4ab8-8680-8e81fc902a20	6	36023697	76869410	21781	-0.0063
6a00864f-0896-4ab8-8680-8e81fc902a20	6	76870296	76937425	47	0.6849
6a00864f-0896-4ab8-8680-8e81fc902a20	6	76943775	141717702	37034	-0.0019
6a00864f-0896-4ab8-8680-8e81fc902a20	6	141717834	141724706	4	-1.2342
6a00864f-0896-4ab8-8680-8e81fc902a20	6	141730014	146491381	2915	0.0009
6a00864f-0896-4ab8-8680-8e81fc902a20	6	146494173	146494883	2	-1.4461
6a00864f-0896-4ab8-8680-8e81fc902a20	6	146502302	155861063	6531	-0.0028
6a00864f-0896-4ab8-8680-8e81fc902a20	6	155868261	155875471	3	-1.7495
6a00864f-0896-4ab8-8680-8e81fc902a20	6	155876368	170596889	7913	-0.0079
6a00864f-0896-4ab8-8680-8e81fc902a20	7	665647	3585233	1111	0.072
6a00864f-0896-4ab8-8680-8e81fc902a20	7	3585501	47703887	26441	-0.0056
6a00864f-0896-4ab8-8680-8e81fc902a20	7	47708849	50000953	1521	0.0762
6a00864f-0896-4ab8-8680-8e81fc902a20	7	50001194	112145938	27903	-0.0016
6a00864f-0896-4ab8-8680-8e81fc902a20	7	112146781	126079078	7471	-0.0379
6a00864f-0896-4ab8-8680-8e81fc902a20	7	126079396	126081764	3	-1.332
6a00864f-0896-4ab8-8680-8e81fc902a20	7	126082669	129129158	1563	-0.0513
6a00864f-0896-4ab8-8680-8e81fc902a20	7	129131203	158592540	15894	0.0021
6a00864f-0896-4ab8-8680-8e81fc902a20	8	667625	51125159	27285	-0.0046
6a00864f-0896-4ab8-8680-8e81fc902a20	8	51126202	51163823	21	-1.1859
6a00864f-0896-4ab8-8680-8e81fc902a20	8	51167106	53037337	1141	0.0105
6a00864f-0896-4ab8-8680-8e81fc902a20	8	53037416	53042655	4	-1.1527
6a00864f-0896-4ab8-8680-8e81fc902a20	8	53047084	144182542	53759	-0.003
6a00864f-0896-4ab8-8680-8e81fc902a20	9	789794	138044505	68450	-0.0042
6a00864f-0896-4ab8-8680-8e81fc902a20	10	366509	82738394	49184	-0.0031
6a00864f-0896-4ab8-8680-8e81fc902a20	10	82741335	82749070	14	-1.1494
6a00864f-0896-4ab8-8680-8e81fc902a20	10	82749539	133411599	32065	-0.0036
6a00864f-0896-4ab8-8680-8e81fc902a20	11	456012	61523605	33630	-0.007
6a00864f-0896-4ab8-8680-8e81fc902a20	11	61534251	61540392	5	-1.0661
6a00864f-0896-4ab8-8680-8e81fc902a20	11	61540785	68864236	2496	-0.0069
6a00864f-0896-4ab8-8680-8e81fc902a20	11	68865131	68866476	3	-1.2821
6a00864f-0896-4ab8-8680-8e81fc902a20	11	68869202	134272740	41393	-0.0046
6a00864f-0896-4ab8-8680-8e81fc902a20	12	780472	44083694	22569	0.0083
6a00864f-0896-4ab8-8680-8e81fc902a20	12	44085682	44127423	24	1.1538
6a00864f-0896-4ab8-8680-8e81fc902a20	12	44133067	54195499	5419	0.0067
6a00864f-0896-4ab8-8680-8e81fc902a20	12	54197359	54220790	15	1.1925
6a00864f-0896-4ab8-8680-8e81fc902a20	12	54229866	54467721	65	0.0344
6a00864f-0896-4ab8-8680-8e81fc902a20	12	54470258	54591588	80	0.3808
6a00864f-0896-4ab8-8680-8e81fc902a20	12	54593761	54810819	149	0.0144
6a00864f-0896-4ab8-8680-8e81fc902a20	12	54813687	54906076	49	0.4102
6a00864f-0896-4ab8-8680-8e81fc902a20	12	54920817	55079984	141	-0.0096
6a00864f-0896-4ab8-8680-8e81fc902a20	12	55104752	55255789	95	0.7045
6a00864f-0896-4ab8-8680-8e81fc902a20	12	55260047	55467993	128	0.4594
6a00864f-0896-4ab8-8680-8e81fc902a20	12	55468031	55468457	6	1.1348
6a00864f-0896-4ab8-8680-8e81fc902a20	12	55468781	55526489	27	0.5773
6a00864f-0896-4ab8-8680-8e81fc902a20	12	55526530	55554107	15	1.1371
6a00864f-0896-4ab8-8680-8e81fc902a20	12	55566573	56336558	386	0.0175
6a00864f-0896-4ab8-8680-8e81fc902a20	12	56339747	56447383	58	0.2733
6a00864f-0896-4ab8-8680-8e81fc902a20	12	56452706	56825278	150	-0.009
6a00864f-0896-4ab8-8680-8e81fc902a20	12	56828582	56833814	3	1.2346
6a00864f-0896-4ab8-8680-8e81fc902a20	12	56836685	57731655	408	-0.0248
6a00864f-0896-4ab8-8680-8e81fc902a20	12	57739473	57964216	123	0.8996
6a00864f-0896-4ab8-8680-8e81fc902a20	12	57971991	58537961	428	0.0101
6a00864f-0896-4ab8-8680-8e81fc902a20	12	58542167	58623180	76	0.9901
6a00864f-0896-4ab8-8680-8e81fc902a20	12	58637962	58648039	13	0.0654
6a00864f-0896-4ab8-8680-8e81fc902a20	12	58648213	58977948	250	0.2848
6a00864f-0896-4ab8-8680-8e81fc902a20	12	58978628	59243201	191	0.072
6a00864f-0896-4ab8-8680-8e81fc902a20	12	59247232	59322596	43	0.4687
6a00864f-0896-4ab8-8680-8e81fc902a20	12	59330185	59589814	133	0.0694
6a00864f-0896-4ab8-8680-8e81fc902a20	12	59592923	59646312	36	0.849
6a00864f-0896-4ab8-8680-8e81fc902a20	12	59647696	59658526	6	0.0542
6a00864f-0896-4ab8-8680-8e81fc902a20	12	59659034	59669470	6	0.5909
6a00864f-0896-4ab8-8680-8e81fc902a20	12	59673090	59687249	12	1.1272
6a00864f-0896-4ab8-8680-8e81fc902a20	12	59687550	59707041	15	-0.0855
6a00864f-0896-4ab8-8680-8e81fc902a20	12	59710135	60100462	255	0.7295
6a00864f-0896-4ab8-8680-8e81fc902a20	12	60101067	60636145	300	0.0143
6a00864f-0896-4ab8-8680-8e81fc902a20	12	60641205	60787230	77	0.58
6a00864f-0896-4ab8-8680-8e81fc902a20	12	60787969	60874018	48	-0.0385
6a00864f-0896-4ab8-8680-8e81fc902a20	12	60874990	60978335	42	0.5098
6a00864f-0896-4ab8-8680-8e81fc902a20	12	60978563	61204251	124	0.0667
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61208547	61220696	18	0.4699
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61224978	61366520	84	0.0428
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61367721	61377121	9	1.1059
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61378497	61468855	64	0.1382
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61468956	61505378	25	0.7109
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61509306	61589337	49	0.0052
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61589668	61766953	95	0.6023
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61775299	61860923	73	-0.0362
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61865291	61985767	70	0.5794
6a00864f-0896-4ab8-8680-8e81fc902a20	12	61987161	62149368	118	0.0321
6a00864f-0896-4ab8-8680-8e81fc902a20	12	62154275	62433334	135	0.2754
6a00864f-0896-4ab8-8680-8e81fc902a20	12	62439632	62614156	99	0.0676
6a00864f-0896-4ab8-8680-8e81fc902a20	12	62615185	62619761	4	0.8267
6a00864f-0896-4ab8-8680-8e81fc902a20	12	62619993	62808867	160	0.0977
6a00864f-0896-4ab8-8680-8e81fc902a20	12	62809405	62861608	54	0.5786
6a00864f-0896-4ab8-8680-8e81fc902a20	12	62865478	62900677	39	0.3358
6a00864f-0896-4ab8-8680-8e81fc902a20	12	62907063	62965306	48	0.2403
6a00864f-0896-4ab8-8680-8e81fc902a20	12	62967145	63027307	48	0.0136
6a00864f-0896-4ab8-8680-8e81fc902a20	12	63029116	63067055	33	0.3008
6a00864f-0896-4ab8-8680-8e81fc902a20	12	63067647	63071901	7	-0.1022
6a00864f-0896-4ab8-8680-8e81fc902a20	12	63074349	63251585	135	0.576
6a00864f-0896-4ab8-8680-8e81fc902a20	12	63252040	64381205	512	0.0458
6a00864f-0896-4ab8-8680-8e81fc902a20	12	64385236	64505252	43	0.4721
6a00864f-0896-4ab8-8680-8e81fc902a20	12	64516653	64747738	163	0.2084
6a00864f-0896-4ab8-8680-8e81fc902a20	12	64748034	64826587	34	-0.0445
6a00864f-0896-4ab8-8680-8e81fc902a20	12	64830931	64854821	12	0.4716
6a00864f-0896-4ab8-8680-8e81fc902a20	12	64856455	64938274	63	0.051
6a00864f-0896-4ab8-8680-8e81fc902a20	12	64938328	65039303	71	0.5797
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65041115	65252515	98	-0.0397
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65256958	65273286	6	1.2098
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65275254	65468037	98	0.0471
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65469804	65549403	58	0.4836
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65558011	65632267	43	0.018
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65636071	65677633	26	0.6527
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65678682	65682430	4	-0.1283
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65682664	65719075	26	0.5044
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65719156	65839030	82	0.9155
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65839286	65870932	18	0.5583
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65873530	65947079	29	-0.029
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65948337	65997969	38	0.4684
6a00864f-0896-4ab8-8680-8e81fc902a20	12	65998846	67428157	1022	0.0371
6a00864f-0896-4ab8-8680-8e81fc902a20	12	67428826	67428952	2	1.4741
6a00864f-0896-4ab8-8680-8e81fc902a20	12	67433157	67543054	89	0.0791
6a00864f-0896-4ab8-8680-8e81fc902a20	12	67545424	67568040	16	0.4302
6a00864f-0896-4ab8-8680-8e81fc902a20	12	67569459	67582749	9	0.0217
6a00864f-0896-4ab8-8680-8e81fc902a20	12	67582797	67586311	5	0.7406
6a00864f-0896-4ab8-8680-8e81fc902a20	12	67587112	67688281	83	1.1676
6a00864f-0896-4ab8-8680-8e81fc902a20	12	67689009	67874271	106	0.9732
6a00864f-0896-4ab8-8680-8e81fc902a20	12	67874559	68233362	314	0.0289
6a00864f-0896-4ab8-8680-8e81fc902a20	12	68233918	68418610	186	0.4907
6a00864f-0896-4ab8-8680-8e81fc902a20	12	68421573	68576816	79	0.1278
6a00864f-0896-4ab8-8680-8e81fc902a20	12	68577348	68659818	49	0.4228
6a00864f-0896-4ab8-8680-8e81fc902a20	12	68667398	68708289	16	1.3483
6a00864f-0896-4ab8-8680-8e81fc902a20	12	68708335	68734366	17	1.8073
6a00864f-0896-4ab8-8680-8e81fc902a20	12	68739109	68890568	124	1.2593
6a00864f-0896-4ab8-8680-8e81fc902a20	12	68893903	69212471	214	0.3061
6a00864f-0896-4ab8-8680-8e81fc902a20	12	69214596	69392690	102	0.4784
6a00864f-0896-4ab8-8680-8e81fc902a20	12	69392763	69456478	49	0.919
6a00864f-0896-4ab8-8680-8e81fc902a20	12	69456597	69834537	254	0.6122
6a00864f-0896-4ab8-8680-8e81fc902a20	12	69834878	69846078	16	0.1636
6a00864f-0896-4ab8-8680-8e81fc902a20	12	69851468	69883526	27	0.9234
6a00864f-0896-4ab8-8680-8e81fc902a20	12	69884103	70019992	108	0.2729
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70022042	70103499	61	0.0273
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70105195	70119963	11	0.6104
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70121013	70195951	43	0.1508
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70206762	70455469	145	0.4314
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70463687	70476293	10	1.3178
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70478078	70574116	72	0.0307
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70575801	70614797	31	0.544
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70615574	70688492	49	-0.0543
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70689727	70713555	16	0.5891
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70717827	70926994	155	0.0244
6a00864f-0896-4ab8-8680-8e81fc902a20	12	70931239	71046045	93	0.1959
6a00864f-0896-4ab8-8680-8e81fc902a20	12	71047199	71153950	67	-0.0081
6a00864f-0896-4ab8-8680-8e81fc902a20	12	71164586	71168489	7	0.6091
6a00864f-0896-4ab8-8680-8e81fc902a20	12	71171086	71262767	51	0.0366
6a00864f-0896-4ab8-8680-8e81fc902a20	12	71280849	71300730	14	0.5317
6a00864f-0896-4ab8-8680-8e81fc902a20	12	71305074	72382290	584	0.0135
6a00864f-0896-4ab8-8680-8e81fc902a20	12	72383914	72486025	56	0.4699
6a00864f-0896-4ab8-8680-8e81fc902a20	12	72486258	72714742	115	0.0663
6a00864f-0896-4ab8-8680-8e81fc902a20	12	72715039	72722009	7	0.9803
6a00864f-0896-4ab8-8680-8e81fc902a20	12	72729816	72793021	26	1.6399
6a00864f-0896-4ab8-8680-8e81fc902a20	12	72793520	72838560	13	0.9908
6a00864f-0896-4ab8-8680-8e81fc902a20	12	72977309	73076965	91	0.0597
6a00864f-0896-4ab8-8680-8e81fc902a20	12	73084188	73173669	57	0.38
6a00864f-0896-4ab8-8680-8e81fc902a20	12	73179465	73249973	40	-0.0011
6a00864f-0896-4ab8-8680-8e81fc902a20	12	73256820	73309491	33	0.8206
6a00864f-0896-4ab8-8680-8e81fc902a20	12	73311312	74301900	438	-0.0097
6a00864f-0896-4ab8-8680-8e81fc902a20	12	74302794	74338289	23	0.8981
6a00864f-0896-4ab8-8680-8e81fc902a20	12	74343215	74450916	91	0.4009
6a00864f-0896-4ab8-8680-8e81fc902a20	12	74454576	74481349	24	1.0364
6a00864f-0896-4ab8-8680-8e81fc902a20	12	74485630	74554477	40	0.5558
6a00864f-0896-4ab8-8680-8e81fc902a20	12	74560614	74582679	20	0.8691
6a00864f-0896-4ab8-8680-8e81fc902a20	12	74583005	74697978	68	0.4636
6a00864f-0896-4ab8-8680-8e81fc902a20	12	74701254	74931836	168	0.7805
6a00864f-0896-4ab8-8680-8e81fc902a20	12	74933720	75074010	85	0.3829
6a00864f-0896-4ab8-8680-8e81fc902a20	12	75074116	75123179	35	0.764
6a00864f-0896-4ab8-8680-8e81fc902a20	12	75123869	76148617	688	0.0012
6a00864f-0896-4ab8-8680-8e81fc902a20	12	76150788	76274584	84	0.5151
6a00864f-0896-4ab8-8680-8e81fc902a20	12	76275074	76309335	24	1.2878
6a00864f-0896-4ab8-8680-8e81fc902a20	12	76311206	76529412	109	0.0088
6a00864f-0896-4ab8-8680-8e81fc902a20	12	76535195	76633957	39	1.074
6a00864f-0896-4ab8-8680-8e81fc902a20	12	76634093	76975590	206	0.0713
6a00864f-0896-4ab8-8680-8e81fc902a20	12	76976123	77134348	121	0.6174
6a00864f-0896-4ab8-8680-8e81fc902a20	12	77142730	77397594	195	-0.0012
6a00864f-0896-4ab8-8680-8e81fc902a20	12	77397741	77558708	152	0.52
6a00864f-0896-4ab8-8680-8e81fc902a20	12	77558964	77606705	44	0.8105
6a00864f-0896-4ab8-8680-8e81fc902a20	12	77606949	77840745	186	0.0285
6a00864f-0896-4ab8-8680-8e81fc902a20	12	77845356	77906389	44	0.6997
6a00864f-0896-4ab8-8680-8e81fc902a20	12	77906908	78098849	147	0.0432
6a00864f-0896-4ab8-8680-8e81fc902a20	12	78100922	78196555	76	0.6109
6a00864f-0896-4ab8-8680-8e81fc902a20	12	78197361	78239105	27	0.015
6a00864f-0896-4ab8-8680-8e81fc902a20	12	78240869	78260531	17	0.5148
6a00864f-0896-4ab8-8680-8e81fc902a20	12	78264649	79090354	488	-0.0117
6a00864f-0896-4ab8-8680-8e81fc902a20	12	79090932	79105966	11	0.4139
6a00864f-0896-4ab8-8680-8e81fc902a20	12	79106971	79120636	9	-0.0372
6a00864f-0896-4ab8-8680-8e81fc902a20	12	79128578	79131524	7	0.8722
6a00864f-0896-4ab8-8680-8e81fc902a20	12	79133135	80460849	766	0.0154
6a00864f-0896-4ab8-8680-8e81fc902a20	12	80461327	80467889	2	-1.5213
6a00864f-0896-4ab8-8680-8e81fc902a20	12	80468307	81026913	361	0.021
6a00864f-0896-4ab8-8680-8e81fc902a20	12	81029973	81031607	4	-0.9202
6a00864f-0896-4ab8-8680-8e81fc902a20	12	81036185	81273902	177	0.0221
6a00864f-0896-4ab8-8680-8e81fc902a20	12	81278680	81284208	3	0.7811
6a00864f-0896-4ab8-8680-8e81fc902a20	12	81285646	81401154	71	0.0267
