GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
26242b39-ab25-46a4-80e8-ae195e80c824	1	3301765	183416309	88875	0.0042
26242b39-ab25-46a4-80e8-ae195e80c824	1	183425941	183426528	2	-1.8231
26242b39-ab25-46a4-80e8-ae195e80c824	1	183426931	247650984	40706	-0.0015
26242b39-ab25-46a4-80e8-ae195e80c824	2	480597	183732349	99398	0.0068
26242b39-ab25-46a4-80e8-ae195e80c824	2	183743192	183798376	37	-0.9618
26242b39-ab25-46a4-80e8-ae195e80c824	2	183836069	241537572	32652	0.0053
26242b39-ab25-46a4-80e8-ae195e80c824	3	2170634	197812401	107077	0.0025
26242b39-ab25-46a4-80e8-ae195e80c824	4	1059384	19985363	11756	0.0019
26242b39-ab25-46a4-80e8-ae195e80c824	4	19988969	19997847	6	-1.3014
26242b39-ab25-46a4-80e8-ae195e80c824	4	19998286	34709309	9099	-0.0024
26242b39-ab25-46a4-80e8-ae195e80c824	4	34711841	38701260	2644	0.0458
26242b39-ab25-46a4-80e8-ae195e80c824	4	38701308	96395896	30157	0.0011
26242b39-ab25-46a4-80e8-ae195e80c824	4	96399079	96401252	3	-1.3701
26242b39-ab25-46a4-80e8-ae195e80c824	4	96405817	187842528	49724	0.0003
26242b39-ab25-46a4-80e8-ae195e80c824	5	913983	119674484	63913	0.0035
26242b39-ab25-46a4-80e8-ae195e80c824	5	119675252	119693028	12	-1.0572
26242b39-ab25-46a4-80e8-ae195e80c824	5	119716607	180934240	37078	-0.0004
26242b39-ab25-46a4-80e8-ae195e80c824	6	1011760	170596889	97070	-0.0012
26242b39-ab25-46a4-80e8-ae195e80c824	7	664936	22430321	11268	0.0019
26242b39-ab25-46a4-80e8-ae195e80c824	7	22430415	22430706	2	-1.8093
26242b39-ab25-46a4-80e8-ae195e80c824	7	22431149	158592540	70589	0.0014
26242b39-ab25-46a4-80e8-ae195e80c824	8	667625	51546166	27528	0.0037
26242b39-ab25-46a4-80e8-ae195e80c824	8	51552153	51553795	4	-1.139
26242b39-ab25-46a4-80e8-ae195e80c824	8	51554153	76240315	14768	0.0036
26242b39-ab25-46a4-80e8-ae195e80c824	8	76241446	76241831	3	-1.5307
26242b39-ab25-46a4-80e8-ae195e80c824	8	76252386	121094550	25270	0.0031
26242b39-ab25-46a4-80e8-ae195e80c824	8	121094637	121095516	2	1.5984
26242b39-ab25-46a4-80e8-ae195e80c824	8	121098498	144182542	14574	0.0028
26242b39-ab25-46a4-80e8-ae195e80c824	9	789794	128235636	63606	-0.0004
26242b39-ab25-46a4-80e8-ae195e80c824	9	128236711	128236873	2	-1.549
26242b39-ab25-46a4-80e8-ae195e80c824	9	128237072	138044505	4806	0.0039
26242b39-ab25-46a4-80e8-ae195e80c824	10	366509	133411599	81207	0.0017
26242b39-ab25-46a4-80e8-ae195e80c824	11	456012	71245451	37428	0.0023
26242b39-ab25-46a4-80e8-ae195e80c824	11	71255817	71255951	2	-2.8776
26242b39-ab25-46a4-80e8-ae195e80c824	11	71258636	134272740	40070	0.0012
26242b39-ab25-46a4-80e8-ae195e80c824	12	780472	132605822	74267	0.0015
26242b39-ab25-46a4-80e8-ae195e80c824	13	18874255	100437050	47744	0.0042
