GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	1	3301765	247650984	129665	0.005
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	2	480597	241537572	132106	0.003
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	3	2170634	196209891	106753	0.0057
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	3	196210807	196211106	2	-1.9807
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	3	196211306	197812401	348	0.0102
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	4	1059384	187842528	103419	0.0015
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	5	913983	77280571	40986	0.0029
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	5	77281775	77282711	2	-2.3261
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	5	77282810	99167137	11804	-0.0005
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	5	100226861	100305931	44	-4.8938
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	5	100342956	169648637	41888	0.0023
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	5	169648990	169650494	2	-1.3471
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	5	169652532	180934240	6301	-0.0003
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	6	1011760	63705441	35099	0.0072
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	6	63706092	63753996	19	0.6691
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	6	63757426	170596889	61957	0.0043
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	7	664936	64885444	33961	0.0049
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	7	64886954	64887425	4	0.9665
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	7	64892547	100093067	16955	0.0088
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	7	100093384	100095929	2	-1.8437
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	7	100097508	152619551	27793	0.003
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	7	152622130	152640779	17	-1.158
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	7	152644074	158592540	3163	-0.0031
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	8	667625	8648861	3464	0.0008
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	8	8648894	8648991	2	-1.3406
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	8	8649704	18295631	5995	-0.0018
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	8	18296989	18307323	10	-1.1281
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	8	18311766	19513737	1007	-0.0006
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	8	19514163	19517499	2	-1.366
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	8	19518062	144182542	71683	0.0023
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	9	789794	5065954	3189	0.0023
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	9	5070831	5071049	2	-1.5109
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	9	5084352	18031976	7427	0.0044
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	9	18036894	18038015	5	-1.0785
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	9	18039884	138044505	57803	0.0034
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	10	366509	133411599	81228	0.006
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	456012	10852565	5713	-0.0019
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	10853188	10854199	3	-1.2481
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	10855574	13175662	2088	0.0024
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	13181352	13182118	3	-1.1787
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	13182610	16228614	1938	0.0043
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	16233274	16233335	2	-1.589
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	16233539	44593766	18458	-0.0051
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	44593977	44594050	2	-2.2442
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	44606929	47372087	1511	0.0102
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	47372754	47372766	2	-1.9809
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	11	47374671	134272740	47786	0.0027
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	12	780472	132605822	74300	0.0061
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	13	18874255	114226675	56944	0.0036
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	14	20033191	105533894	49734	0.006
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	15	23437561	47819263	12335	0.0046
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	15	47821105	47821383	2	-1.3608
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	15	47821746	72087106	15594	0.0102
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	15	72094579	72094884	2	1.3293
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	15	72097607	101344124	16818	0.0021
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	16	603333	954694	68	-0.0399
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	16	955360	955666	2	-1.3305
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	16	957268	12224199	6319	0.0036
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	16	12229420	12229452	2	-1.9692
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	16	12233489	83760390	32068	0.0049
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	16	83760392	83760401	2	-1.8838
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	16	83760419	89317317	2694	-0.0068
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	17	1074619	33041757	12496	0.0061
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	17	33042038	33042039	2	-1.5333
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	17	33042911	82959812	24748	0.0035
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	18	326691	45570054	23067	0.0012
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	18	45570088	45570181	2	-2.699
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	18	45570924	79349796	19873	0.0013
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	19	283868	23205038	8641	-0.0043
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	19	23210484	23211075	2	-2.8315
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	19	23211534	30793899	2686	0.0095
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	19	30797211	30797633	2	-1.1691
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	19	30799692	37677005	4096	0.0105
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	19	37677804	37679734	5	-1.1288
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	19	37685941	58370362	8684	-0.0008
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	20	472817	63588502	37521	0.0022
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	21	13974127	46262057	20575	0.0006
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	22	16934932	48940621	17069	-0.0008
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	X	3236359	46883141	19733	0.0124
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	X	46883294	46901190	9	-1.4833
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	X	46901762	90017210	15114	0.0048
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	X	90021220	90021250	2	-4.4993
dc5a7fcb-ae16-4fff-b3ef-cc8c3411ea70	X	90021564	155677414	28998	0.0073
