GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
304740e1-40b7-42df-a7c2-e2c8f2bff20d	1	3301765	168367385	79304	0.0659
304740e1-40b7-42df-a7c2-e2c8f2bff20d	1	168369504	168369887	2	-1.8739
304740e1-40b7-42df-a7c2-e2c8f2bff20d	1	168372597	247650984	50272	0.0643
304740e1-40b7-42df-a7c2-e2c8f2bff20d	2	480597	241537572	132083	0.0597
304740e1-40b7-42df-a7c2-e2c8f2bff20d	3	2170634	197812401	106890	-0.577
304740e1-40b7-42df-a7c2-e2c8f2bff20d	4	1059384	116703724	65065	0.0705
304740e1-40b7-42df-a7c2-e2c8f2bff20d	4	116704069	116721203	10	-0.498
304740e1-40b7-42df-a7c2-e2c8f2bff20d	4	116722870	187842528	38309	0.0766
304740e1-40b7-42df-a7c2-e2c8f2bff20d	5	914118	165839814	91936	0.0659
304740e1-40b7-42df-a7c2-e2c8f2bff20d	5	165850177	166698605	601	-0.0575
304740e1-40b7-42df-a7c2-e2c8f2bff20d	5	166698755	180934240	8475	0.0675
304740e1-40b7-42df-a7c2-e2c8f2bff20d	6	1011760	8921825	5842	0.0708
304740e1-40b7-42df-a7c2-e2c8f2bff20d	6	8934759	8936418	4	-1.4748
304740e1-40b7-42df-a7c2-e2c8f2bff20d	6	8937890	170596889	91224	0.0682
304740e1-40b7-42df-a7c2-e2c8f2bff20d	7	664936	158592540	81860	0.0675
304740e1-40b7-42df-a7c2-e2c8f2bff20d	8	667625	3624354	1502	0.0247
304740e1-40b7-42df-a7c2-e2c8f2bff20d	8	3630124	3630522	3	-0.886
304740e1-40b7-42df-a7c2-e2c8f2bff20d	8	3630780	3806418	61	-0.0433
304740e1-40b7-42df-a7c2-e2c8f2bff20d	8	3806449	135765972	76453	0.0626
304740e1-40b7-42df-a7c2-e2c8f2bff20d	8	135767191	144182542	4129	0.0417
304740e1-40b7-42df-a7c2-e2c8f2bff20d	9	789794	88314304	37476	0.0634
304740e1-40b7-42df-a7c2-e2c8f2bff20d	9	88320072	88321310	3	-1.2789
304740e1-40b7-42df-a7c2-e2c8f2bff20d	9	88321998	94950249	4078	0.0605
304740e1-40b7-42df-a7c2-e2c8f2bff20d	9	94950605	101284051	4054	-0.5846
304740e1-40b7-42df-a7c2-e2c8f2bff20d	9	101285187	138044505	22784	0.0618
304740e1-40b7-42df-a7c2-e2c8f2bff20d	10	366509	133411599	81195	0.0663
304740e1-40b7-42df-a7c2-e2c8f2bff20d	11	456012	4208752	1382	0.0365
304740e1-40b7-42df-a7c2-e2c8f2bff20d	11	4370299	4468974	95	0.3924
304740e1-40b7-42df-a7c2-e2c8f2bff20d	11	4470078	134272740	76023	0.0586
304740e1-40b7-42df-a7c2-e2c8f2bff20d	12	780472	40422548	20559	0.0665
304740e1-40b7-42df-a7c2-e2c8f2bff20d	12	40422658	40422710	3	-1.5145
304740e1-40b7-42df-a7c2-e2c8f2bff20d	12	40436781	132605822	53702	0.0652
304740e1-40b7-42df-a7c2-e2c8f2bff20d	13	18874255	114226675	56919	0.0647
304740e1-40b7-42df-a7c2-e2c8f2bff20d	14	20033191	105533894	49724	0.063
304740e1-40b7-42df-a7c2-e2c8f2bff20d	15	23437561	101344124	44735	0.0621
304740e1-40b7-42df-a7c2-e2c8f2bff20d	16	603333	46470502	14022	0.0539
304740e1-40b7-42df-a7c2-e2c8f2bff20d	16	46473753	77280440	18648	-0.5909
304740e1-40b7-42df-a7c2-e2c8f2bff20d	16	77280777	89317317	8442	-0.6253
304740e1-40b7-42df-a7c2-e2c8f2bff20d	17	1074619	8717132	3704	-0.5915
304740e1-40b7-42df-a7c2-e2c8f2bff20d	17	8717311	8717330	2	-2.5375
304740e1-40b7-42df-a7c2-e2c8f2bff20d	17	8718872	16006972	3939	-0.5921
304740e1-40b7-42df-a7c2-e2c8f2bff20d	17	16008090	16473875	203	0.0317
304740e1-40b7-42df-a7c2-e2c8f2bff20d	17	16475125	16478687	2	-1.1633
304740e1-40b7-42df-a7c2-e2c8f2bff20d	17	16478950	16923551	132	0.0741
304740e1-40b7-42df-a7c2-e2c8f2bff20d	17	16924480	21774057	1739	-0.0139
304740e1-40b7-42df-a7c2-e2c8f2bff20d	17	26943491	82959812	27516	0.0566
304740e1-40b7-42df-a7c2-e2c8f2bff20d	18	326691	79349796	42909	0.0685
304740e1-40b7-42df-a7c2-e2c8f2bff20d	19	283868	58370362	24123	0.0532
304740e1-40b7-42df-a7c2-e2c8f2bff20d	20	472817	63588502	37536	0.0532
304740e1-40b7-42df-a7c2-e2c8f2bff20d	21	13974127	46262057	20573	0.056
304740e1-40b7-42df-a7c2-e2c8f2bff20d	22	16934932	25731085	1785	0.052
304740e1-40b7-42df-a7c2-e2c8f2bff20d	22	25738059	25740026	5	-0.813
304740e1-40b7-42df-a7c2-e2c8f2bff20d	22	25743126	48940621	15289	0.0561
304740e1-40b7-42df-a7c2-e2c8f2bff20d	X	3236359	32242320	13287	0.018
304740e1-40b7-42df-a7c2-e2c8f2bff20d	X	32243460	32880410	431	-0.1599
304740e1-40b7-42df-a7c2-e2c8f2bff20d	X	32883943	155677414	49731	0.0066
