GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	1	3301765	247650984	129558	0.0013
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	2	480597	241537572	132068	0.0058
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	3	2170634	197812401	107055	0.0001
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	4	1059384	187842528	103379	0.002
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	5	913983	2370222	508	0.0333
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	5	2370874	2371246	2	-1.7503
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	5	2371759	180934240	100488	0.0009
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	6	1011760	8921825	5844	0.0077
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	6	8934759	8936418	4	-1.0447
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	6	8937890	78661494	37793	0.0003
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	6	78664338	78665008	2	-2.3864
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	6	78665459	170596889	53414	-0.0001
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	7	664936	151118994	77913	-0.0003
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	7	151124920	151125239	2	-2.3253
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	7	151128228	158592540	3934	-0.0009
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	8	667625	3624233	1500	-0.0154
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	8	3624354	3630522	4	-1.1233
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	8	3630780	25968133	13385	0.0048
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	8	25970261	25970801	3	-1.3745
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	8	25976237	37388429	7048	0.0015
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	8	37388598	37389403	3	-1.5201
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	8	37391868	59317134	10350	0.0049
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	8	59322615	59322719	2	-1.4506
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	8	59326335	144182542	49829	-0.0008
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	9	789794	138044505	68397	-0.0005
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	10	366509	133411599	81190	0.001
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	11	456012	4208752	1382	0.0036
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	11	4370299	4446408	81	0.5612
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	11	4450234	134272740	76028	0.0023
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	12	780472	40422548	20562	-0.0018
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	12	40422658	40422710	3	-1.8758
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	12	40436781	132605822	53699	0.001
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	13	18874255	114226675	56904	-0.0008
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	14	20033191	105533894	49717	0.0024
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	15	23437561	101344124	44740	0.0023
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	16	603333	78149847	33482	-0.0004
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	16	78152370	78154841	4	-1.8825
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	16	78154903	89317317	7684	-0.0017
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	17	1074619	20878762	9537	0.0032
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	17	20879044	20879173	2	-2.2687
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	17	20882601	49040685	9611	0.0017
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	17	49041773	49045580	2	2.0512
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	17	49048620	82959812	18094	0.0021
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	18	326691	79349796	42901	0.0037
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	19	283868	58370362	24124	0.0041
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	20	472817	63588502	37529	0.0038
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	21	13974127	46262057	20572	0.0028
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	22	16934932	25731085	1784	0.0034
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	22	25738059	25740026	5	-1.6619
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	22	25743126	48940621	15289	0.006
1fc84e1f-cce3-4d7b-b46a-fb6d695301e6	X	3236359	155677414	63453	0.0075
