GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8e442e14-271d-4290-825c-f6bcd65ef424	1	3301765	34169491	16403	0.0195
8e442e14-271d-4290-825c-f6bcd65ef424	1	34169998	54830577	10870	0.0584
8e442e14-271d-4290-825c-f6bcd65ef424	1	54830591	55181599	259	0.1317
8e442e14-271d-4290-825c-f6bcd65ef424	1	55181955	96740919	26319	0.0768
8e442e14-271d-4290-825c-f6bcd65ef424	1	96741866	104552879	4302	0.1101
8e442e14-271d-4290-825c-f6bcd65ef424	1	104553208	105975015	624	0.0626
8e442e14-271d-4290-825c-f6bcd65ef424	1	105975621	114712742	5293	0.0295
8e442e14-271d-4290-825c-f6bcd65ef424	1	114712827	178058018	20428	0.0651
8e442e14-271d-4290-825c-f6bcd65ef424	1	178058919	181158766	1931	-0.1263
8e442e14-271d-4290-825c-f6bcd65ef424	1	181165814	217333773	22855	-0.0796
8e442e14-271d-4290-825c-f6bcd65ef424	1	217333916	247650984	19014	-0.1352
8e442e14-271d-4290-825c-f6bcd65ef424	2	480597	94867529	50265	-0.0734
8e442e14-271d-4290-825c-f6bcd65ef424	2	94885213	132931805	18452	0.0769
8e442e14-271d-4290-825c-f6bcd65ef424	2	132931890	156338915	13366	0.04
8e442e14-271d-4290-825c-f6bcd65ef424	2	156341071	178920806	13476	-0.0098
8e442e14-271d-4290-825c-f6bcd65ef424	2	178922335	183924733	2951	-0.0879
8e442e14-271d-4290-825c-f6bcd65ef424	2	183925748	241537572	32287	-0.0125
8e442e14-271d-4290-825c-f6bcd65ef424	3	2170634	59081241	32717	-0.0828
8e442e14-271d-4290-825c-f6bcd65ef424	3	59082233	85285734	15589	-0.0641
8e442e14-271d-4290-825c-f6bcd65ef424	3	85288131	94018736	2388	-0.0114
8e442e14-271d-4290-825c-f6bcd65ef424	3	94021848	189221420	51083	-0.0563
8e442e14-271d-4290-825c-f6bcd65ef424	3	189221554	192653613	2185	-0.0012
8e442e14-271d-4290-825c-f6bcd65ef424	3	192656696	197812401	1993	-0.0581
8e442e14-271d-4290-825c-f6bcd65ef424	4	1059384	2389662	460	0.0031
8e442e14-271d-4290-825c-f6bcd65ef424	4	2389691	4850627	1158	0.0965
