GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	3301765	12603299	5190	-0.7015
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	12608255	15595876	1716	0.2968
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	15596141	17564079	708	0.234
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	17566321	18795262	961	0.3208
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	18795360	26534615	4109	0.2609
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	26546754	29160558	953	0.1926
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	29163965	31952494	1672	0.2768
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	31954383	32728037	289	0.1599
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	32729071	34910189	1364	0.3037
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	34910474	36471813	665	0.2123
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	36471895	38833751	1420	0.2848
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	38833939	40129681	616	0.1998
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	40130066	47506477	3882	0.2711
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	47506985	49032693	1082	0.3347
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	49035594	53052377	1696	0.244
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	53052598	61623589	6200	0.3076
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	61624749	63633593	1316	0.2578
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	63636443	91870244	17486	0.3142
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	91870284	93572554	776	0.2442
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	93572574	97291999	2429	0.3229
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	97292255	97577139	174	-0.6933
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	97583803	119981279	13148	0.3081
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	119981332	151695242	668	0.2043
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	151697079	152436726	389	0.3027
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	152437590	152440790	3	-0.8969
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	152440885	153645794	738	0.2868
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	153646290	153686632	23	0.9206
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	153687256	161755660	4420	0.2756
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	161757028	222130296	39222	0.3072
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	222130535	227955185	3284	0.2848
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	227955701	238341892	7032	-0.6504
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	238351120	241708134	2521	-0.5882
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	241710196	241710387	2	-2.3966
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	241710557	243851911	1280	-0.5855
26afa6a3-e618-488c-a7b6-b09ea190a6e3	1	243852452	247650984	1718	-0.6433
26afa6a3-e618-488c-a7b6-b09ea190a6e3	2	480597	85590091	49230	-0.605
26afa6a3-e618-488c-a7b6-b09ea190a6e3	2	85591150	85594081	4	-3.9029
26afa6a3-e618-488c-a7b6-b09ea190a6e3	2	85595695	88831554	989	-0.6224
26afa6a3-e618-488c-a7b6-b09ea190a6e3	2	94675825	119113190	12181	0.3161
26afa6a3-e618-488c-a7b6-b09ea190a6e3	2	119113635	119115225	2	-1.7481
26afa6a3-e618-488c-a7b6-b09ea190a6e3	2	119115600	230443145	62513	0.3269
26afa6a3-e618-488c-a7b6-b09ea190a6e3	2	230444502	232999917	1193	0.259
26afa6a3-e618-488c-a7b6-b09ea190a6e3	2	233001693	241537572	5313	0.3344
26afa6a3-e618-488c-a7b6-b09ea190a6e3	3	2170634	2187556	16	0.366
26afa6a3-e618-488c-a7b6-b09ea190a6e3	3	2187761	2192774	2	1.715
26afa6a3-e618-488c-a7b6-b09ea190a6e3	3	2194010	9137406	4073	0.3454
26afa6a3-e618-488c-a7b6-b09ea190a6e3	3	9137980	20848498	7128	0.2998
26afa6a3-e618-488c-a7b6-b09ea190a6e3	3	20857014	31765000	6544	0.3236
26afa6a3-e618-488c-a7b6-b09ea190a6e3	3	31768376	47022946	8944	0.2942
26afa6a3-e618-488c-a7b6-b09ea190a6e3	3	47024000	52693489	2191	0.226
26afa6a3-e618-488c-a7b6-b09ea190a6e3	3	52693495	195428692	77496	0.31
26afa6a3-e618-488c-a7b6-b09ea190a6e3	3	196017117	197812401	443	-0.6451
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	1059384	3676621	1039	0.295
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	3681542	4275591	141	-0.5941
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	4281845	8609449	3056	-0.6908
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	8614369	29704082	13659	-0.6024
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	29710724	32295978	1575	1.255
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	32296368	32301089	13	0.6846
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	32305815	33046343	302	1.2262
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	33048971	33195196	85	0.8807
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	33196631	48067890	8220	-0.6075
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	51832470	167264573	64338	0.3167
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	167288746	167842741	287	-0.5657
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	167843328	176762073	4932	0.3229
26afa6a3-e618-488c-a7b6-b09ea190a6e3	4	176763831	187842528	5306	-0.6024
26afa6a3-e618-488c-a7b6-b09ea190a6e3	5	914118	16684000	10423	0.3485
