GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
413cb162-556c-45d3-a6b5-a8c2462d18be	1	3301765	5716400	1740	0.0621
413cb162-556c-45d3-a6b5-a8c2462d18be	1	5718176	5732493	15	-0.4335
413cb162-556c-45d3-a6b5-a8c2462d18be	1	5735567	54873006	25858	0.083
413cb162-556c-45d3-a6b5-a8c2462d18be	1	54873230	100963997	29360	0.121
413cb162-556c-45d3-a6b5-a8c2462d18be	1	100964168	118009774	10014	0.098
413cb162-556c-45d3-a6b5-a8c2462d18be	1	118010303	119984772	1167	0.124
413cb162-556c-45d3-a6b5-a8c2462d18be	1	146716041	150114693	93	0.4088
413cb162-556c-45d3-a6b5-a8c2462d18be	1	150115231	154852794	2289	0.4765
413cb162-556c-45d3-a6b5-a8c2462d18be	1	154852832	164965919	6328	0.7754
413cb162-556c-45d3-a6b5-a8c2462d18be	1	164966827	165365371	366	1.1887
413cb162-556c-45d3-a6b5-a8c2462d18be	1	165366171	167883894	1951	0.7653
413cb162-556c-45d3-a6b5-a8c2462d18be	1	167884165	167953322	35	0.0957
413cb162-556c-45d3-a6b5-a8c2462d18be	1	167959799	167984633	16	1.1497
413cb162-556c-45d3-a6b5-a8c2462d18be	1	167988457	167993307	4	0.1538
413cb162-556c-45d3-a6b5-a8c2462d18be	1	167999787	168069236	34	0.9394
413cb162-556c-45d3-a6b5-a8c2462d18be	1	168075072	168113769	26	0.0859
413cb162-556c-45d3-a6b5-a8c2462d18be	1	168119873	170327769	1714	0.7823
413cb162-556c-45d3-a6b5-a8c2462d18be	1	170328019	170887299	314	1.2262
413cb162-556c-45d3-a6b5-a8c2462d18be	1	170889393	171079718	107	0.8188
413cb162-556c-45d3-a6b5-a8c2462d18be	1	171081448	171917512	585	1.2025
413cb162-556c-45d3-a6b5-a8c2462d18be	1	171919514	171958496	28	0.8091
413cb162-556c-45d3-a6b5-a8c2462d18be	1	171964376	172531284	392	1.1934
413cb162-556c-45d3-a6b5-a8c2462d18be	1	172532131	172591373	29	0.7359
413cb162-556c-45d3-a6b5-a8c2462d18be	1	172595858	172933226	208	1.196
413cb162-556c-45d3-a6b5-a8c2462d18be	1	172935996	172946563	11	0.7014
413cb162-556c-45d3-a6b5-a8c2462d18be	1	172952732	173133600	118	1.1899
413cb162-556c-45d3-a6b5-a8c2462d18be	1	173134086	174431399	685	0.4862
413cb162-556c-45d3-a6b5-a8c2462d18be	1	174432269	174479005	23	-0.0126
413cb162-556c-45d3-a6b5-a8c2462d18be	1	174479068	176136553	771	0.4814
413cb162-556c-45d3-a6b5-a8c2462d18be	1	176139849	179527929	2136	0.112
413cb162-556c-45d3-a6b5-a8c2462d18be	1	179540073	179640923	75	0.4664
413cb162-556c-45d3-a6b5-a8c2462d18be	1	179652797	179652946	2	-0.7478
413cb162-556c-45d3-a6b5-a8c2462d18be	1	179654109	181515407	1217	0.4921
413cb162-556c-45d3-a6b5-a8c2462d18be	1	181519736	183362725	1294	0.1
413cb162-556c-45d3-a6b5-a8c2462d18be	1	183367124	183774464	286	-0.4649
413cb162-556c-45d3-a6b5-a8c2462d18be	1	183774985	189024815	3270	0.1211
413cb162-556c-45d3-a6b5-a8c2462d18be	1	189025396	189053842	25	0.4811
413cb162-556c-45d3-a6b5-a8c2462d18be	1	189063349	189289682	134	0.0893
413cb162-556c-45d3-a6b5-a8c2462d18be	1	189577840	196444440	4180	-0.4867
413cb162-556c-45d3-a6b5-a8c2462d18be	1	196445328	196579878	69	0.1497
413cb162-556c-45d3-a6b5-a8c2462d18be	1	196582088	215013947	11948	-0.5164
413cb162-556c-45d3-a6b5-a8c2462d18be	1	215014013	218647817	2465	-0.4702
413cb162-556c-45d3-a6b5-a8c2462d18be	1	218658915	218659872	2	-2.1712
413cb162-556c-45d3-a6b5-a8c2462d18be	1	218662638	221231430	1705	-0.4725
413cb162-556c-45d3-a6b5-a8c2462d18be	1	221233091	230623950	5569	-0.5227
413cb162-556c-45d3-a6b5-a8c2462d18be	1	230624397	230624567	2	-2.4745
413cb162-556c-45d3-a6b5-a8c2462d18be	1	230627713	247650984	11098	-0.5108
413cb162-556c-45d3-a6b5-a8c2462d18be	2	480597	88686730	50725	0.0903
413cb162-556c-45d3-a6b5-a8c2462d18be	2	88686854	100175785	2096	0.0518
413cb162-556c-45d3-a6b5-a8c2462d18be	2	100178604	127737745	14555	0.0972
413cb162-556c-45d3-a6b5-a8c2462d18be	2	127738071	127893345	65	0.4741
413cb162-556c-45d3-a6b5-a8c2462d18be	2	127897139	131679471	1705	0.0806
413cb162-556c-45d3-a6b5-a8c2462d18be	2	131685501	164981910	18729	0.1049
413cb162-556c-45d3-a6b5-a8c2462d18be	2	164987109	165007539	7	-0.7165
413cb162-556c-45d3-a6b5-a8c2462d18be	2	165008929	229508100	37463	0.1005
413cb162-556c-45d3-a6b5-a8c2462d18be	2	229508307	241537572	6909	0.0751
413cb162-556c-45d3-a6b5-a8c2462d18be	3	2170634	6265210	2014	0.122
413cb162-556c-45d3-a6b5-a8c2462d18be	3	6267027	6315829	31	0.5696
413cb162-556c-45d3-a6b5-a8c2462d18be	3	6316919	18452125	7923	0.1029
413cb162-556c-45d3-a6b5-a8c2462d18be	3	18454789	24138277	2803	-0.487
413cb162-556c-45d3-a6b5-a8c2462d18be	3	24148693	24308424	163	0.126
413cb162-556c-45d3-a6b5-a8c2462d18be	3	24308731	25014435	535	-0.4907
413cb162-556c-45d3-a6b5-a8c2462d18be	3	25016038	27799877	1616	0.1097
413cb162-556c-45d3-a6b5-a8c2462d18be	3	27801877	27802142	2	1.0245
413cb162-556c-45d3-a6b5-a8c2462d18be	3	27802842	34341476	4197	-0.4838
413cb162-556c-45d3-a6b5-a8c2462d18be	3	34345571	34646837	194	0.1063
413cb162-556c-45d3-a6b5-a8c2462d18be	3	34652706	79268110	26304	-0.5022
413cb162-556c-45d3-a6b5-a8c2462d18be	3	79275029	79511454	112	0.5018
413cb162-556c-45d3-a6b5-a8c2462d18be	3	79514955	82404781	1610	-0.493
413cb162-556c-45d3-a6b5-a8c2462d18be	3	82410274	85103836	1301	0.5231
413cb162-556c-45d3-a6b5-a8c2462d18be	3	85105845	91462299	2466	0.126
413cb162-556c-45d3-a6b5-a8c2462d18be	3	94015345	94181251	62	1.1626
413cb162-556c-45d3-a6b5-a8c2462d18be	3	94185780	94378842	115	1.5297
413cb162-556c-45d3-a6b5-a8c2462d18be	3	94386699	94580668	79	1.2344
413cb162-556c-45d3-a6b5-a8c2462d18be	3	94596235	94685615	43	0.5711
413cb162-556c-45d3-a6b5-a8c2462d18be	3	94694455	94715970	12	0.0755
413cb162-556c-45d3-a6b5-a8c2462d18be	3	94726136	95717807	574	0.5463
413cb162-556c-45d3-a6b5-a8c2462d18be	3	95725251	95787369	25	-0.4127
413cb162-556c-45d3-a6b5-a8c2462d18be	3	95787783	96585044	377	0.5362
413cb162-556c-45d3-a6b5-a8c2462d18be	3	96608620	96747066	81	0.7662
413cb162-556c-45d3-a6b5-a8c2462d18be	3	96749226	96810590	37	0.5461
413cb162-556c-45d3-a6b5-a8c2462d18be	3	96811038	96843104	19	0.1185
413cb162-556c-45d3-a6b5-a8c2462d18be	3	96845045	97173330	159	0.5548
413cb162-556c-45d3-a6b5-a8c2462d18be	3	97173477	99505253	1238	0.1301
413cb162-556c-45d3-a6b5-a8c2462d18be	3	99520771	99708930	132	0.5253
413cb162-556c-45d3-a6b5-a8c2462d18be	3	99709312	103794840	2118	0.1201
413cb162-556c-45d3-a6b5-a8c2462d18be	3	103797487	105339504	1022	0.5152
413cb162-556c-45d3-a6b5-a8c2462d18be	3	105339893	105835754	253	0.8091
413cb162-556c-45d3-a6b5-a8c2462d18be	3	105840556	109352293	1888	0.5212
413cb162-556c-45d3-a6b5-a8c2462d18be	3	109356090	109659526	136	0.7925
413cb162-556c-45d3-a6b5-a8c2462d18be	3	109660607	111568042	1066	0.5091
413cb162-556c-45d3-a6b5-a8c2462d18be	3	111568425	111971304	288	1.0552
413cb162-556c-45d3-a6b5-a8c2462d18be	3	111977471	112507087	340	0.1107
413cb162-556c-45d3-a6b5-a8c2462d18be	3	112515947	115340694	1592	1.0426
413cb162-556c-45d3-a6b5-a8c2462d18be	3	115350302	116035259	458	0.4995
413cb162-556c-45d3-a6b5-a8c2462d18be	3	116036018	117572392	1181	0.8116
413cb162-556c-45d3-a6b5-a8c2462d18be	3	117573901	117995596	295	0.0764
413cb162-556c-45d3-a6b5-a8c2462d18be	3	118000188	118073629	49	-0.5005
413cb162-556c-45d3-a6b5-a8c2462d18be	3	118080907	118087356	10	0.1156
413cb162-556c-45d3-a6b5-a8c2462d18be	3	118090714	118749865	408	-0.5068
413cb162-556c-45d3-a6b5-a8c2462d18be	3	118752365	118815914	40	0.0355
413cb162-556c-45d3-a6b5-a8c2462d18be	3	118816198	118868874	37	-0.5768
413cb162-556c-45d3-a6b5-a8c2462d18be	3	118873347	118970237	63	0.0872
413cb162-556c-45d3-a6b5-a8c2462d18be	3	118971866	119309384	127	-0.4988
413cb162-556c-45d3-a6b5-a8c2462d18be	3	119313513	119427401	82	0.1004
413cb162-556c-45d3-a6b5-a8c2462d18be	3	119431644	119767102	220	0.7813
413cb162-556c-45d3-a6b5-a8c2462d18be	3	119771331	120567727	462	0.5237
413cb162-556c-45d3-a6b5-a8c2462d18be	3	120568836	121137169	250	0.7598
