GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bb99880e-f3c4-4340-a410-41acbb603b39	1	3301765	4022667	379	-0.1152
bb99880e-f3c4-4340-a410-41acbb603b39	1	4022971	8104440	2700	-0.0671
bb99880e-f3c4-4340-a410-41acbb603b39	1	8105340	11631382	1687	-0.1147
bb99880e-f3c4-4340-a410-41acbb603b39	1	11636779	11637041	2	-1.7562
bb99880e-f3c4-4340-a410-41acbb603b39	1	11638845	37350483	13544	-0.0956
bb99880e-f3c4-4340-a410-41acbb603b39	1	37352476	37352604	2	-1.4048
bb99880e-f3c4-4340-a410-41acbb603b39	1	37355570	45663380	4526	-0.0789
bb99880e-f3c4-4340-a410-41acbb603b39	1	45666099	83302991	23094	-0.0235
bb99880e-f3c4-4340-a410-41acbb603b39	1	83316750	150028207	22153	-0.006
bb99880e-f3c4-4340-a410-41acbb603b39	1	150029763	156511317	3017	-0.0493
bb99880e-f3c4-4340-a410-41acbb603b39	1	156513264	181408393	16348	-0.0084
bb99880e-f3c4-4340-a410-41acbb603b39	1	181408668	181409198	3	-1.3199
bb99880e-f3c4-4340-a410-41acbb603b39	1	181410376	183416309	1424	-0.0094
bb99880e-f3c4-4340-a410-41acbb603b39	1	183425941	183426528	2	-2.48
bb99880e-f3c4-4340-a410-41acbb603b39	1	183426931	201244899	10610	0.0016
bb99880e-f3c4-4340-a410-41acbb603b39	1	201245448	244374381	28729	-0.0224
bb99880e-f3c4-4340-a410-41acbb603b39	1	244383616	247650984	1365	-0.0072
bb99880e-f3c4-4340-a410-41acbb603b39	2	480597	668685	174	0.1034
bb99880e-f3c4-4340-a410-41acbb603b39	2	668773	6254454	3176	-0.0325
bb99880e-f3c4-4340-a410-41acbb603b39	2	6254573	36485762	18439	-0.0062
bb99880e-f3c4-4340-a410-41acbb603b39	2	36485992	48694236	7388	0.017
bb99880e-f3c4-4340-a410-41acbb603b39	2	48694299	57934220	4881	-0.0129
bb99880e-f3c4-4340-a410-41acbb603b39	2	57934262	65909525	4520	0.019
bb99880e-f3c4-4340-a410-41acbb603b39	2	65911721	182794966	60336	-0.0075
