GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	3301765	7095755	2457	0.4768
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	7096022	7406118	213	0.2368
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	7407908	7556680	103	0.5584
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	7556758	9137402	843	0.4994
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	9140655	11471071	1081	0.4484
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	11471861	19595253	4453	0.498
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	19599867	22944939	1924	0.5635
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	22945011	23071719	60	0.1116
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	23075189	26598354	1676	0.5411
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	26598390	29108851	906	0.4778
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	29110594	47553550	10003	0.5299
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	47554216	48949530	998	0.5831
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	48953643	54987420	2972	0.5263
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	54987718	56499329	1176	0.6119
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	56500721	58085319	1355	0.5556
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	58087249	58381264	204	0.596
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	58381398	58942104	434	0.6566
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	58942125	64619891	3874	0.5769
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	64620259	65192108	534	0.5093
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	65192729	91236028	15873	0.5776
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	91237177	91352585	72	0.3519
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	91359019	107693184	9438	0.5624
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	107693582	112778972	3032	0.3867
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	112780249	115058564	1288	0.3373
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	115059313	149907993	3171	0.3985
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	149909846	161811189	6286	0.3545
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	161811380	178717112	11415	0.3865
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	178717162	179470495	548	0.2611
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	179527644	183678181	2815	0.3902
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	183679541	189722880	3587	-0.4124
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	189726696	189745259	17	0.3029
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	189749745	195851760	3715	-0.3917
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	195906930	199146204	1749	0.3488
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	199146749	200701644	1034	-0.4268
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	200702278	202088366	915	0.3574
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	202092584	208299167	3932	-0.4129
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	208299326	208305934	5	-3.0335
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	208305951	235929546	18070	-0.3991
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	235930787	242194069	4773	-0.4368
3f50fa02-5bd6-44e2-86db-fec0ea239f53	1	242196839	247650984	2735	-0.3946
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	480597	687775	186	-1.9213
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	1912858	14667502	8846	-0.4442
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	14669153	14687820	16	-5.9351
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	14688557	14708864	7	-2.559
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	14710888	14712369	4	-7.5503
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	14713007	14717073	4	-2.4984
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	14720648	16182896	971	-0.4317
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	16184862	16449624	204	-4.2801
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	16450021	66492371	28771	-0.4417
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	66496567	66499436	5	-5.9773
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	66499560	76665855	5986	-0.4278
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	76667254	83316874	3439	-0.4804
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	83317232	86878321	1851	-0.4361
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	86878530	87992262	11	-0.0997
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	87995713	94774225	452	-0.3674
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	94785281	94867529	25	-0.1749
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	94885213	96215650	291	-0.4286
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	96216240	103751556	3926	-0.5432
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	103754157	103795898	22	0.1779
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	103801690	103805968	4	0.8599
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	103807373	103846054	29	0.1525
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	103855268	104034459	120	-0.5253
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	104040125	104059509	12	0.3578
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	104060594	104952590	557	-0.5301
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	104957708	104965547	3	0.2907
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	104965885	104986494	11	-0.3331
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	104988277	105006285	13	0.2542
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105020100	105063084	21	-0.5671
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105063220	105123966	34	0.306
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105126943	105135523	14	-0.5204
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105145105	105206132	54	0.1704
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105217790	105290023	55	-0.5414
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105292979	105337452	31	0.2373
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105340262	105509456	140	-0.4852
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105509567	105613729	111	0.2179
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105614006	105864989	199	-0.5397
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105867134	105879877	16	0.2124
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	105882203	106709828	490	-0.5309
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	106712571	113283164	3044	0.2068
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	113287135	113922657	223	-0.4894
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	113925559	113938338	8	0.2062
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	113947752	113956156	9	-0.5172
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	113963821	113988157	23	0.3286
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	113994813	114105161	80	-0.5028
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	114108163	114129906	21	0.2452
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	114130641	114144283	12	-0.5003
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	114144707	114324111	109	0.2125
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	114324624	114443954	62	-0.4914
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	114452981	114478712	20	0.1635
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	114483875	114629270	101	-0.5521
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	114645637	114658503	13	0.2227
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	114658627	114678097	16	-0.6612
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	114685498	117812921	1365	0.1635
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	117817639	120338675	1546	0.1899
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	120340183	121243743	614	0.2498
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	121245081	122598839	784	0.1899
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	122598909	126549257	1572	0.1496
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	126556923	136550328	5043	0.2015
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	136550940	161454090	14335	0.1587
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	161456101	161508893	19	0.5699
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	161509242	161566131	19	0.2993
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	161569368	161571600	2	0.8754
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	161574295	165322847	1970	0.1667
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	165325292	172156988	4218	0.3101
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	172163928	174224325	1505	0.3552
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	174225537	174255803	14	-0.0434
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	174256431	180213888	3661	0.3672
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	180218157	226170290	25735	-0.5014
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	226183055	226431356	126	-1.0231
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	226435248	226508315	43	-0.4838
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	226508767	227435030	589	-1.0088
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	227435536	227568973	67	-0.4748
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	227569201	236320175	5106	-1.0218
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	236321341	237662388	940	-0.4954
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	237662431	237930332	176	-0.2153
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	237932307	238831833	528	-0.5281
3f50fa02-5bd6-44e2-86db-fec0ea239f53	2	238832942	241537572	1390	-1.0599
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	2170634	11243858	5372	0.3356
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	11244534	15674955	2903	0.2997
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	15676107	18277484	1588	0.3544
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	18280234	18344306	35	-0.4903
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	18345258	20728244	1283	-0.2125
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	20729843	20735868	2	-1.9134
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	20739051	42833652	13244	-0.1881
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	42833776	42835583	2	-1.438
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	42836504	44956290	1082	-0.1962
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	44958528	44963071	3	-1.2312
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	44963258	70099039	14851	-0.1891
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	70099760	76142860	3683	-0.2237
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	76143004	76994799	497	0.0329
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	76999257	80707616	2069	-0.0775
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	80711496	81047851	151	0.2083
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	81048389	81349379	192	0.3818
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	81356044	83751647	1202	0.1539
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	83755290	83999151	93	0.2453
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	84000156	84237431	90	0.3828
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	84239730	84537021	132	0.2595
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	84539215	84865216	169	0.1718
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	84865308	85171909	193	0.0647
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	85224056	86221012	456	0.2393
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	86222430	86295296	36	0.2796
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	86295990	87124903	419	0.3841
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	87126148	88148602	440	0.2642
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	88153460	88948929	428	0.5007
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	88949421	89126420	89	0.3015
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	89137139	90064852	490	0.4733
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	90065865	162360005	37993	0.3133
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	162361271	162528496	85	0.0599
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	162528557	167113455	1824	0.2965
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	167126414	167244161	67	-0.5646
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	167248038	169601048	1372	0.307
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	169601612	169810735	113	0.8137
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	169813299	175360729	3072	0.3209
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	176041258	176228330	76	0.8084
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	176231864	179030970	1453	0.3413
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	179037128	187524740	4525	0.2918
3f50fa02-5bd6-44e2-86db-fec0ea239f53	3	187524819	197812401	5402	0.3244
3f50fa02-5bd6-44e2-86db-fec0ea239f53	4	1059384	2666004	556	-0.0099
3f50fa02-5bd6-44e2-86db-fec0ea239f53	4	2669288	3548890	442	0.2485
3f50fa02-5bd6-44e2-86db-fec0ea239f53	4	3550042	3711279	70	0.0003
3f50fa02-5bd6-44e2-86db-fec0ea239f53	4	3713876	3747009	16	0.2612
