GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
026035e0-8d0d-489d-993a-470999d6a522	1	3301765	98064031	55051	0.5011
026035e0-8d0d-489d-993a-470999d6a522	1	98064640	104260498	3464	0.3082
026035e0-8d0d-489d-993a-470999d6a522	1	104260532	146716041	9469	0.1292
026035e0-8d0d-489d-993a-470999d6a522	1	149906351	189020102	24335	0.0805
026035e0-8d0d-489d-993a-470999d6a522	1	189020945	189065645	32	-0.7963
026035e0-8d0d-489d-993a-470999d6a522	1	189068745	215790032	16729	0.0674
026035e0-8d0d-489d-993a-470999d6a522	1	215794723	215794736	2	-1.9426
026035e0-8d0d-489d-993a-470999d6a522	1	215795121	247650984	20370	0.0762
026035e0-8d0d-489d-993a-470999d6a522	2	480597	28439397	17307	-0.4937
026035e0-8d0d-489d-993a-470999d6a522	2	28446882	53763870	14568	0.1408
026035e0-8d0d-489d-993a-470999d6a522	2	53764177	74585439	11766	-0.4728
026035e0-8d0d-489d-993a-470999d6a522	2	74585496	74854980	166	0.1431
026035e0-8d0d-489d-993a-470999d6a522	2	74858303	80832161	3261	-0.4807
026035e0-8d0d-489d-993a-470999d6a522	2	80833289	82509981	841	0.1042
026035e0-8d0d-489d-993a-470999d6a522	2	82510332	82566012	35	1.4837
026035e0-8d0d-489d-993a-470999d6a522	2	82566834	82620319	20	1.8895
026035e0-8d0d-489d-993a-470999d6a522	2	82626801	82910383	145	1.4894
026035e0-8d0d-489d-993a-470999d6a522	2	82919311	83362762	244	0.1834
026035e0-8d0d-489d-993a-470999d6a522	2	83363107	83640892	147	0.5971
026035e0-8d0d-489d-993a-470999d6a522	2	83641256	83724775	58	0.1719
026035e0-8d0d-489d-993a-470999d6a522	2	83725405	83928958	112	0.6583
026035e0-8d0d-489d-993a-470999d6a522	2	83932070	84413176	302	-0.4678
026035e0-8d0d-489d-993a-470999d6a522	2	84416486	86051882	934	0.6625
026035e0-8d0d-489d-993a-470999d6a522	2	86054844	86872797	276	0.3443
026035e0-8d0d-489d-993a-470999d6a522	2	86877979	88831554	431	-0.5069
026035e0-8d0d-489d-993a-470999d6a522	2	94675825	97669772	667	0.3209
026035e0-8d0d-489d-993a-470999d6a522	2	97669831	99481434	912	0.1167
026035e0-8d0d-489d-993a-470999d6a522	2	99488850	100364061	577	0.3136
026035e0-8d0d-489d-993a-470999d6a522	2	100370925	101260877	625	0.1467
026035e0-8d0d-489d-993a-470999d6a522	2	101260947	102038882	443	0.3452
026035e0-8d0d-489d-993a-470999d6a522	2	102057314	241537572	78015	0.1294
026035e0-8d0d-489d-993a-470999d6a522	3	2170634	91390926	51109	-0.3188
026035e0-8d0d-489d-993a-470999d6a522	3	91462299	197812401	55753	0.1734
026035e0-8d0d-489d-993a-470999d6a522	4	1059384	48067890	28282	-0.1568
026035e0-8d0d-489d-993a-470999d6a522	4	51832470	58335527	4174	0.1131
