GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
387fc536-d68b-4130-a53b-dcfa7329356a	1	3301765	109796542	61554	-0.4472
387fc536-d68b-4130-a53b-dcfa7329356a	1	109796662	116721539	4553	0.0353
387fc536-d68b-4130-a53b-dcfa7329356a	1	116724057	149913375	1968	-0.4481
387fc536-d68b-4130-a53b-dcfa7329356a	1	149914031	194886270	27861	0.049
387fc536-d68b-4130-a53b-dcfa7329356a	1	194890653	194900332	9	-0.9073
387fc536-d68b-4130-a53b-dcfa7329356a	1	194908758	247650984	33699	0.0494
387fc536-d68b-4130-a53b-dcfa7329356a	2	480597	12837788	8016	0.3501
387fc536-d68b-4130-a53b-dcfa7329356a	2	12838772	22802457	6496	0.3701
387fc536-d68b-4130-a53b-dcfa7329356a	2	22802582	76795648	30589	0.3414
387fc536-d68b-4130-a53b-dcfa7329356a	2	76804049	76816955	10	-0.2696
387fc536-d68b-4130-a53b-dcfa7329356a	2	76819198	77423583	335	0.3348
387fc536-d68b-4130-a53b-dcfa7329356a	2	77423686	77427374	3	-1.2465
387fc536-d68b-4130-a53b-dcfa7329356a	2	77427742	136971209	26533	0.3506
387fc536-d68b-4130-a53b-dcfa7329356a	2	136971444	137010093	20	-0.2814
387fc536-d68b-4130-a53b-dcfa7329356a	2	137012952	203236134	36713	0.3513
387fc536-d68b-4130-a53b-dcfa7329356a	2	203245979	203246413	2	-1.7251
387fc536-d68b-4130-a53b-dcfa7329356a	2	203246497	209128361	3665	0.3386
387fc536-d68b-4130-a53b-dcfa7329356a	2	209134632	209161564	27	-0.323
387fc536-d68b-4130-a53b-dcfa7329356a	2	209161747	241537572	19714	0.3346
387fc536-d68b-4130-a53b-dcfa7329356a	3	2170634	12888427	6466	-0.4534
387fc536-d68b-4130-a53b-dcfa7329356a	3	12888993	24185179	6337	0.0453
387fc536-d68b-4130-a53b-dcfa7329356a	3	24187084	56250277	18767	-0.449
387fc536-d68b-4130-a53b-dcfa7329356a	3	56251679	56252018	2	-2.3711
387fc536-d68b-4130-a53b-dcfa7329356a	3	56253163	69263373	8086	-0.4475
387fc536-d68b-4130-a53b-dcfa7329356a	3	69267231	76534477	4556	0.0632
387fc536-d68b-4130-a53b-dcfa7329356a	3	76537820	177300682	51975	-0.4507
387fc536-d68b-4130-a53b-dcfa7329356a	3	177302301	177363731	22	0.4102
387fc536-d68b-4130-a53b-dcfa7329356a	3	177367935	184677822	3611	-0.4558
387fc536-d68b-4130-a53b-dcfa7329356a	3	184680152	187499486	1835	0.0312
387fc536-d68b-4130-a53b-dcfa7329356a	3	187500168	187500711	4	-0.9915
387fc536-d68b-4130-a53b-dcfa7329356a	3	187500875	197812401	5418	0.0397
387fc536-d68b-4130-a53b-dcfa7329356a	4	1059384	4760491	1559	-0.4732
387fc536-d68b-4130-a53b-dcfa7329356a	4	4763498	34568772	19234	-0.4395
387fc536-d68b-4130-a53b-dcfa7329356a	4	34573104	48067890	7541	-0.4693
387fc536-d68b-4130-a53b-dcfa7329356a	4	51832470	55835937	2672	0.3825
387fc536-d68b-4130-a53b-dcfa7329356a	4	55836133	134290051	43100	-0.4502
387fc536-d68b-4130-a53b-dcfa7329356a	4	134290872	138211730	2159	0.0779
387fc536-d68b-4130-a53b-dcfa7329356a	4	138226508	138226578	2	-1.5088
387fc536-d68b-4130-a53b-dcfa7329356a	4	138227032	156788012	10745	0.0522
387fc536-d68b-4130-a53b-dcfa7329356a	4	156790445	156791072	2	-2.0267
387fc536-d68b-4130-a53b-dcfa7329356a	4	156791325	166375557	5328	0.0617
387fc536-d68b-4130-a53b-dcfa7329356a	4	166393881	187842528	11051	-0.4494
387fc536-d68b-4130-a53b-dcfa7329356a	5	913983	180934240	101029	0.3896
387fc536-d68b-4130-a53b-dcfa7329356a	6	1011760	2620722	1213	0.0427
387fc536-d68b-4130-a53b-dcfa7329356a	6	2623819	37823749	20871	0.0225
387fc536-d68b-4130-a53b-dcfa7329356a	6	37824120	170596889	75014	0.0407
387fc536-d68b-4130-a53b-dcfa7329356a	7	664936	158592540	81873	0.3867
387fc536-d68b-4130-a53b-dcfa7329356a	8	667625	104730724	58302	0.3859
387fc536-d68b-4130-a53b-dcfa7329356a	8	104735867	116099477	5897	0.4205
387fc536-d68b-4130-a53b-dcfa7329356a	8	116100141	144182542	17969	0.3959
387fc536-d68b-4130-a53b-dcfa7329356a	9	789794	2243374	869	-1.3694
387fc536-d68b-4130-a53b-dcfa7329356a	9	2243814	2477649	212	0.027
387fc536-d68b-4130-a53b-dcfa7329356a	9	2477857	2481683	6	-1.7395
387fc536-d68b-4130-a53b-dcfa7329356a	9	2483527	11236474	5229	0.0314
387fc536-d68b-4130-a53b-dcfa7329356a	9	11237164	11245830	7	-1.3844
387fc536-d68b-4130-a53b-dcfa7329356a	9	11246946	20110135	6004	0.0318
387fc536-d68b-4130-a53b-dcfa7329356a	9	20110167	20264866	123	-0.4855
387fc536-d68b-4130-a53b-dcfa7329356a	9	20265906	21427675	869	0.0091
387fc536-d68b-4130-a53b-dcfa7329356a	9	21432492	21721940	172	-0.4608
387fc536-d68b-4130-a53b-dcfa7329356a	9	21727209	21787263	61	-1.2953
387fc536-d68b-4130-a53b-dcfa7329356a	9	21787849	21944288	77	0.037
387fc536-d68b-4130-a53b-dcfa7329356a	9	21947958	21952149	6	-0.6845
387fc536-d68b-4130-a53b-dcfa7329356a	9	21956079	22118103	126	-3.4508
387fc536-d68b-4130-a53b-dcfa7329356a	9	22118750	23483406	841	-1.2406
387fc536-d68b-4130-a53b-dcfa7329356a	9	23485160	23485953	3	-5.1728
387fc536-d68b-4130-a53b-dcfa7329356a	9	23486117	23872552	328	-1.3
387fc536-d68b-4130-a53b-dcfa7329356a	9	23874049	23881169	7	-0.5388
387fc536-d68b-4130-a53b-dcfa7329356a	9	23896058	23954351	24	0.106
387fc536-d68b-4130-a53b-dcfa7329356a	9	23970393	23984547	15	-1.3275
387fc536-d68b-4130-a53b-dcfa7329356a	9	23988397	24224755	150	-0.0043
387fc536-d68b-4130-a53b-dcfa7329356a	9	24231227	24278839	34	-1.1953
387fc536-d68b-4130-a53b-dcfa7329356a	9	24279361	24318435	22	-0.0395
387fc536-d68b-4130-a53b-dcfa7329356a	9	24319610	24324585	8	-1.1965
387fc536-d68b-4130-a53b-dcfa7329356a	9	24326492	25623556	733	0.0641
387fc536-d68b-4130-a53b-dcfa7329356a	9	25623740	28586158	1811	-0.4432
387fc536-d68b-4130-a53b-dcfa7329356a	9	28981483	30001540	498	0.0388
387fc536-d68b-4130-a53b-dcfa7329356a	9	30008345	30801797	346	-0.4026
387fc536-d68b-4130-a53b-dcfa7329356a	9	30804874	30825692	18	-1.4875
387fc536-d68b-4130-a53b-dcfa7329356a	9	30828941	30897634	45	0.1351
387fc536-d68b-4130-a53b-dcfa7329356a	9	30898975	30930785	25	-1.2575
387fc536-d68b-4130-a53b-dcfa7329356a	9	30931847	31287566	262	0.0411
387fc536-d68b-4130-a53b-dcfa7329356a	9	31289986	31293894	5	-1.2896
387fc536-d68b-4130-a53b-dcfa7329356a	9	31301937	31307080	6	0.1224
387fc536-d68b-4130-a53b-dcfa7329356a	9	31310033	31329528	8	-1.1443
387fc536-d68b-4130-a53b-dcfa7329356a	9	31335890	38752071	4605	0.0029
387fc536-d68b-4130-a53b-dcfa7329356a	9	68423153	71031775	1976	-0.4569
387fc536-d68b-4130-a53b-dcfa7329356a	9	71036045	71036139	2	-2.6047
387fc536-d68b-4130-a53b-dcfa7329356a	9	71036621	119412525	32511	-0.4496
387fc536-d68b-4130-a53b-dcfa7329356a	9	119413308	119413322	2	-2.6408
387fc536-d68b-4130-a53b-dcfa7329356a	9	119415648	130554754	6584	-0.4583
387fc536-d68b-4130-a53b-dcfa7329356a	9	130555012	130555641	3	-2.1014
387fc536-d68b-4130-a53b-dcfa7329356a	9	130555705	138044505	3753	-0.4678
387fc536-d68b-4130-a53b-dcfa7329356a	10	366509	133411599	81231	-0.4625
387fc536-d68b-4130-a53b-dcfa7329356a	11	456012	17717334	10712	0.0309
387fc536-d68b-4130-a53b-dcfa7329356a	11	17723362	61508078	22885	-0.4567
387fc536-d68b-4130-a53b-dcfa7329356a	11	61519028	79183811	8131	0.0155
387fc536-d68b-4130-a53b-dcfa7329356a	11	79184794	81115031	1458	-0.4466
387fc536-d68b-4130-a53b-dcfa7329356a	11	81115382	87595834	3881	0.0295
387fc536-d68b-4130-a53b-dcfa7329356a	11	87600176	90772592	1720	-0.4482
387fc536-d68b-4130-a53b-dcfa7329356a	11	90773987	98534629	4775	0.04
387fc536-d68b-4130-a53b-dcfa7329356a	11	98535794	105686206	4667	-0.4526
387fc536-d68b-4130-a53b-dcfa7329356a	11	105687235	105697685	11	-1.4976
387fc536-d68b-4130-a53b-dcfa7329356a	11	105698507	134272740	19252	-0.4629
387fc536-d68b-4130-a53b-dcfa7329356a	12	780472	44588573	22855	0.3709
387fc536-d68b-4130-a53b-dcfa7329356a	12	44588881	44588981	2	-1.4404
387fc536-d68b-4130-a53b-dcfa7329356a	12	44589669	58173367	7184	0.3481
