GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	3301765	5938438	1887	0.0587
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	5940249	12436500	3295	-0.0056
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	12443092	15401793	1711	0.0527
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	15402200	17545472	791	-0.0295
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	17545533	18984775	1075	0.0681
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	18985317	22226985	1844	0.0028
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	22227038	23545302	798	0.0587
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	23547245	28956884	2246	-0.0211
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	28957052	30864570	1232	0.0732
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	30867589	33134622	967	-0.0043
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	33135589	34922101	1215	0.1155
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	34923909	36464387	655	0.0104
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	36464792	37317301	595	0.1203
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	37322132	41365165	2057	0.0457
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	41369389	41834238	353	0.1668
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	41835156	45893907	2229	0.0478
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	45894382	47466148	677	0.1018
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	47467422	48816318	956	0.1561
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	48816385	52127877	1397	0.0579
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	52130746	52390237	103	0.5799
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	52393328	55292269	1793	0.863
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	55292767	56662166	1078	0.723
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	56663700	66248901	6967	0.9013
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	66256419	71864222	3411	0.4275
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	71864741	72162664	170	0.0407
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	72166591	89869248	10748	0.4284
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	89873488	106513505	9502	-0.401
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	106514225	112341514	3637	-0.3009
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	112341631	113542523	666	0.0532
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	113546694	157460352	7627	-0.2941
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	157466808	157487136	13	0.2225
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	157491916	157538490	37	0.6574
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	157539011	157542309	9	0.0733
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	157543434	157558645	11	0.5794
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	157559800	157922275	270	-0.3085
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	157927112	157974363	34	0.4567
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	157975155	158932952	639	-0.3193
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	158934866	158986311	36	0.1403
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	158986622	159134070	91	-0.326
9ee1c4e2-3601-4d1f-8fa3-f671c016c4d7	1	159134295	160644104	980	1.2584
