GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	3301765	21332392	10203	0.409
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	21333982	47560152	13513	0.0904
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	47561395	70653540	15025	0.141
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	70653945	75602594	2599	0.0783
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	75603276	109320757	20070	-0.0424
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	109325569	110711922	857	0.836
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	110712446	111146020	233	0.6893
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	111148426	111162301	13	-0.0737
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	111163746	111354713	175	0.3278
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	111355606	111624633	184	0.4786
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	111625180	111663769	13	0.3103
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	111664534	112772778	799	0.1715
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	112775675	114142990	764	0.0676
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	114145431	119962897	3680	0.1939
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	119963409	119984738	16	0.2613
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	119984772	150940120	363	0.4789
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	150941402	152000034	496	0.208
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	152001324	152726279	352	1.1513
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	152728542	153336832	456	0.2365
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	153342142	153350098	20	1.7433
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	153393072	153516807	71	0.2603
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	153519074	153699771	73	1.1353
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	153762893	154107965	136	0.4235
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	154108481	154723202	311	0.833
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	154728742	155853180	513	2.0057
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	155856064	161688868	3390	-0.169
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	161688990	161954959	188	0.2162
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	161956036	161980084	29	0.4676
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	161980661	162073920	96	0.1688
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	162077763	162134161	44	0.7388
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	162134738	162142860	11	0.1827
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	162143397	162160691	25	0.7408
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	162164667	162299035	138	0.2267
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	162302979	162310935	6	0.9517
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	162314121	163288635	782	0.2346
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	163291054	163321317	17	0.419
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	163322250	163333572	14	0.9187
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	163333717	163907665	375	0.5046
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	163911244	164866001	703	0.2418
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	164866103	165292576	383	-0.1418
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	165294147	165733303	444	0.2236
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	165738812	166263116	352	-0.1619
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	166263621	166352801	69	0.6828
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	166353178	167864885	1144	-0.1573
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	167868226	168050738	101	2.2134
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	168054687	168348776	178	-0.1597
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	168358085	168465376	86	0.2473
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	168467103	168470227	5	2.1143
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	168474407	171516796	2191	-0.136
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	171519496	172230182	483	1.6576
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	172236122	172708034	323	-0.133
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	172709714	173004505	188	0.2504
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	173008634	173504574	315	-0.1388
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	173504943	173923522	253	0.1809
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	173923880	174342055	165	-0.1148
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	174355231	174401615	20	0.8222
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	174404133	174430415	12	-0.4255
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	174431399	174576689	85	0.7716
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	174580539	174657083	20	-0.1152
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	174664167	174734492	31	0.8456
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	174742253	176088008	628	-0.1259
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	176088681	176139849	32	0.962
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	176147992	176175109	18	-0.0783
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	176181016	176226670	25	0.5695
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	176231958	176245434	6	-0.2553
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	176251077	176506044	103	0.6977
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	176506782	177424705	623	-0.1432
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	177424802	177425051	2	-1.1425
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	177426080	177510740	46	-0.1485
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	177512957	177541804	24	1.1821
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	177542331	179798482	1477	-0.1492
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	179800501	179858549	47	0.8062
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	179860877	179866742	7	-0.2
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	179872352	179886454	8	1.689
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	179891060	179956403	39	-0.1703
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	179956720	180003202	22	1.2711
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	180003292	181061697	638	-0.1473
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	181062647	181068676	10	1.3438
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	181069903	181188723	82	0.6668
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	181189949	184677059	2470	-0.1545
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	184680669	184751581	35	0.2211
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	184759440	185355201	285	-0.1271
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	185356255	185369418	19	2.1807
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	185372002	185740011	241	-0.1288
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	185746262	186084959	208	1.9768
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	186088249	188118001	1300	-0.1462
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	188118961	188123049	5	0.8255
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	188127562	188287077	124	-0.1706
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	188288004	188327577	13	0.7529
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	188329154	217490221	18491	-0.1476
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	217558206	217626818	41	1.0666
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	217631613	224827313	4624	-0.1398
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	224830399	224935707	64	0.7538
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	224938890	225323764	175	-0.1099
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225330688	225671439	178	0.6281
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225680185	225727533	33	-0.1386
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225728223	225749916	15	0.6746
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225757349	225801413	24	-0.1462
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225827940	225917414	23	0.6049
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225925904	225937212	8	-0.2336
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225942304	225946771	5	0.7008
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225948890	225961638	14	1.2823
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225966968	225978326	3	-0.0673
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225978517	225988262	8	-0.2656
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	225992208	226000948	5	0.0093
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	226002381	226116307	64	0.5892
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	226117366	226351645	92	-0.1306
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	226352049	226428251	65	0.6725
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	226430498	226492221	45	-0.1571
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	226494347	226517671	17	0.6903
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	226519915	229016652	1308	-0.1678
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	229019964	229081609	56	1.2877
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	229087468	229519414	297	-0.2225
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	229524044	229673660	100	0.1505
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	229684738	229686151	7	-0.2687
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	229686304	229696525	19	0.1424
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	229697474	232014745	1520	-0.1711
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232016783	232056709	36	0.3007
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232057874	232484557	403	-0.1212
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232484718	232493729	15	0.3962
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232501862	232581696	52	-0.1154
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232582076	232606441	21	0.9315
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232607587	232709495	67	-0.2104
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232712112	232752579	17	0.8946
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232753275	232842276	54	-0.1108
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232852696	232866526	16	1.2102
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	232868177	233805386	789	-0.133
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	233805749	234077850	220	0.4481
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	234081196	234101644	16	0.7482
7fc7841f-2ccc-4dde-9e6d-312594747fc0	1	234104719	234169430	69	1.0871
