GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	3301765	18789996	8585	-0.7881
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	18790806	18793416	3	-3.6459
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	18794403	50487948	16603	-0.7624
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	50488426	51003082	157	-3.2257
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	51009929	104851593	33228	-0.8087
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	104852795	104877409	16	0.1186
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	104879296	117559438	7733	-0.8106
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	117560495	149910462	1444	0.1502
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	149913375	167856480	10980	0.6776
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	167856543	172771894	3418	0.6353
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	172771971	187385755	8927	0.6651
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	187386038	192576132	2971	0.6278
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	192577012	192577171	2	-0.6847
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	192581536	200994038	4958	0.6418
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	200994697	205953423	3359	0.7079
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	206011429	206019282	3	-0.6779
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	206028050	227246675	13831	0.6693
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	227248602	227251027	2	-0.7356
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	227257028	238691981	7835	0.679
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	238692338	238692794	3	-0.863
ca032186-cf0a-47c8-a29d-ea5fd60eae92	1	238699149	247650984	5288	0.6606
ca032186-cf0a-47c8-a29d-ea5fd60eae92	2	480597	17114673	10753	0.1338
ca032186-cf0a-47c8-a29d-ea5fd60eae92	2	17115181	17160707	23	-0.2417
ca032186-cf0a-47c8-a29d-ea5fd60eae92	2	17160997	36456854	10997	0.1338
ca032186-cf0a-47c8-a29d-ea5fd60eae92	2	36458766	36886448	384	0.6522
ca032186-cf0a-47c8-a29d-ea5fd60eae92	2	36892208	49126855	7251	0.1324
ca032186-cf0a-47c8-a29d-ea5fd60eae92	2	49126869	64302743	8065	0.1001
ca032186-cf0a-47c8-a29d-ea5fd60eae92	2	64303260	66688325	1652	0.1406
ca032186-cf0a-47c8-a29d-ea5fd60eae92	2	66692572	66893593	146	0.426
ca032186-cf0a-47c8-a29d-ea5fd60eae92	2	66894497	75779971	5194	0.1421
