GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	1	3301765	50767700	25400	0.0019
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	1	50772510	50915188	2	-2.0385
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	1	50918024	72152861	13968	0.0012
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	1	72153085	72192531	25	-0.9261
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	1	72194197	247650984	89892	-0.0004
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	2	480597	241537572	131768	0.008
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	3	2170634	197812401	106874	0.0024
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	4	1059384	187842528	103240	0.0001
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	5	913983	36402692	21082	-0.0038
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	5	36402803	36404072	4	-1.8417
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	5	36405360	180934240	79740	0.0043
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	6	1011760	54837845	32633	0.0006
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	6	54838057	54843011	3	-2.2268
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	6	54844566	170596889	64275	-0.0007
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	7	664936	66451931	34198	0.0024
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	7	66454661	66455211	2	-2.3631
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	7	66455440	99695852	16423	0.0011
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	7	99700951	99750957	30	0.5273
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	7	99753295	158592540	31092	0.0018
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	8	667625	144182542	82005	0.0015
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	9	789794	7970004	4416	0.0054
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	9	7970367	7981631	10	-1.0881
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	9	7981913	29277194	13485	0.0007
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	9	29281636	29283815	2	-2.1855
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	9	29283981	38648778	5480	-0.0087
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	9	38650648	38650702	2	-2.8796
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	9	38651606	138044505	44855	0.0009
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	10	366509	64638921	38338	0.0088
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	10	64639652	64640112	2	-2.2904
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	10	64643074	126223489	38771	0.0026
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	10	126225673	126227322	2	-2.2382
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	10	126227419	133411599	3929	0.0097
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	11	456012	126121498	71747	0.0009
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	11	126122644	126122665	2	-2.1723
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	11	126129310	130151305	2994	-0.0005
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	11	130152767	130156520	2	-1.8405
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	11	130156752	134272740	2557	-0.0045
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	12	780472	59774054	31061	0.0027
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	12	59774103	59780047	6	-1.4343
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	12	59780097	132605822	42991	0.0038
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	13	18874255	114226675	56811	-0.0029
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	14	20033191	105533894	49615	-0.0006
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	15	23437561	101344124	44640	0.0029
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	16	603333	89317317	41082	0.0016
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	17	1074619	82959812	37143	0.0021
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	18	326691	79349796	42828	0.0026
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	19	283868	54166546	22032	0.0026
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	19	54177068	54177886	2	-2.3354
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	19	54178560	58370362	2022	0.0081
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	20	472817	63588502	37426	0.0007
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	21	13974127	46262057	20543	0.001
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	22	16934932	48940621	17036	0.0037
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	X	3236359	6353593	645	0.0044
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	X	6356185	6356602	2	-2.2428
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	X	6357144	87164342	32799	0.0013
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	X	87165176	87165401	2	-2.1848
3e1e2918-2429-4c2b-a9ed-31bd9bf23263	X	87165775	155677414	30336	0.0037
