GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6993c78e-a08a-4d22-ad84-91bbde01db72	1	3301765	247650984	129798	0.002
6993c78e-a08a-4d22-ad84-91bbde01db72	2	480597	241537572	132247	0.0048
6993c78e-a08a-4d22-ad84-91bbde01db72	3	2170634	35295621	19843	0.0077
6993c78e-a08a-4d22-ad84-91bbde01db72	3	35295791	35296556	2	-1.2227
6993c78e-a08a-4d22-ad84-91bbde01db72	3	35304319	63276048	15429	0.0055
6993c78e-a08a-4d22-ad84-91bbde01db72	3	63276689	63277838	2	-1.2818
6993c78e-a08a-4d22-ad84-91bbde01db72	3	63279232	197812401	71933	0.0046
6993c78e-a08a-4d22-ad84-91bbde01db72	4	1059384	187842528	103539	0.0023
6993c78e-a08a-4d22-ad84-91bbde01db72	5	914118	113492532	60271	0.0014
6993c78e-a08a-4d22-ad84-91bbde01db72	5	113503970	113506500	2	-1.5394
6993c78e-a08a-4d22-ad84-91bbde01db72	5	113507295	180934240	40879	0.0069
6993c78e-a08a-4d22-ad84-91bbde01db72	6	1011760	76373533	42449	0.0018
6993c78e-a08a-4d22-ad84-91bbde01db72	6	76379270	76382892	2	-2.568
6993c78e-a08a-4d22-ad84-91bbde01db72	6	76382970	161860365	50768	0.004
6993c78e-a08a-4d22-ad84-91bbde01db72	6	161860380	161861167	3	-1.0581
6993c78e-a08a-4d22-ad84-91bbde01db72	6	161861892	170596889	3978	0.0048
6993c78e-a08a-4d22-ad84-91bbde01db72	7	664936	23995508	12317	0.0012
6993c78e-a08a-4d22-ad84-91bbde01db72	7	24000259	24000764	2	-1.3561
6993c78e-a08a-4d22-ad84-91bbde01db72	7	24001198	156884573	68833	0.0012
6993c78e-a08a-4d22-ad84-91bbde01db72	7	156889199	156891551	2	-1.7537
6993c78e-a08a-4d22-ad84-91bbde01db72	7	156894844	158592540	806	0.0028
6993c78e-a08a-4d22-ad84-91bbde01db72	8	667625	130089397	73759	0.0009
6993c78e-a08a-4d22-ad84-91bbde01db72	8	130091180	130091498	2	-1.7938
6993c78e-a08a-4d22-ad84-91bbde01db72	8	130096752	144182542	8495	0.0117
6993c78e-a08a-4d22-ad84-91bbde01db72	9	789794	7208236	3847	0.0085
6993c78e-a08a-4d22-ad84-91bbde01db72	9	7208342	7209215	3	-1.2248
6993c78e-a08a-4d22-ad84-91bbde01db72	9	7209284	138044505	64664	0.0011
6993c78e-a08a-4d22-ad84-91bbde01db72	10	366509	14242446	10096	0.0015
6993c78e-a08a-4d22-ad84-91bbde01db72	10	14242475	14242594	3	0.9593
6993c78e-a08a-4d22-ad84-91bbde01db72	10	14242607	17967945	2661	-0.0013
6993c78e-a08a-4d22-ad84-91bbde01db72	10	17968241	17969364	3	-1.2966
6993c78e-a08a-4d22-ad84-91bbde01db72	10	17975696	29284700	7606	-0.0053
6993c78e-a08a-4d22-ad84-91bbde01db72	10	29284988	29302772	20	-1.2968
6993c78e-a08a-4d22-ad84-91bbde01db72	10	29305190	36893311	5013	0.0028
6993c78e-a08a-4d22-ad84-91bbde01db72	10	36900232	36911587	5	0.7682
6993c78e-a08a-4d22-ad84-91bbde01db72	10	36919480	43095405	1239	0.0034
6993c78e-a08a-4d22-ad84-91bbde01db72	10	43095433	43095437	2	-1.047
6993c78e-a08a-4d22-ad84-91bbde01db72	10	43095609	44351003	880	0.0056
6993c78e-a08a-4d22-ad84-91bbde01db72	10	44351010	44353473	2	-1.3453
