GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	1	3301765	11261096	4495	-0.5236
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	1	11263560	48090658	19462	0.0061
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	1	48091022	168626999	55197	-0.0322
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	1	168627231	168629978	2	-2.6843
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	1	168631989	245162764	48816	-0.0359
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	1	245163703	247650984	1070	-0.0052
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	2	480597	1912858	186	-0.0843
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	2	1913832	100909202	52978	0.3182
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	2	100909777	241537572	78472	-0.055
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	2170634	25218532	13548	-0.1631
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	25219756	26424646	669	-0.0197
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	26425031	88304481	35731	-0.1621
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	88305082	150886126	32426	-0.051
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	150891857	150891907	2	-2.517
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	150892079	156797958	3357	-0.0524
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	156798017	176972093	9994	-0.1098
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	177177049	177370368	78	-0.5912
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	177370941	178147381	506	-0.094
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	178147814	184190091	2903	-0.0537
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	3	184194551	197812401	7367	-0.562
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	4	1059384	2921743	686	0.2818
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	4	2924650	10113441	3964	0.2548
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	4	10113497	43339273	21249	0.1967
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	4	43347881	187842528	77305	0.3136
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	5	913983	109698476	57420	-0.0535
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	5	109700365	109700533	2	-2.9981
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	5	109703479	180934240	43221	-0.044
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	6	1011760	44831920	26355	-0.554
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	6	44832278	44832651	2	-3.5271
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	6	44835173	45715069	398	-0.5892
a25f21a5-c22a-429e-b0d1-a7c35339c5f7	6	45715232	45715961	3	-3.6313
