GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ada7e84c-0635-4383-9aad-ea4777268daf	1	3301765	45169109	22624	0.0031
ada7e84c-0635-4383-9aad-ea4777268daf	1	45169625	45176116	6	-1.1077
ada7e84c-0635-4383-9aad-ea4777268daf	1	45186569	247650984	106820	-0.0002
ada7e84c-0635-4383-9aad-ea4777268daf	2	480597	35293280	21194	0.0119
ada7e84c-0635-4383-9aad-ea4777268daf	2	35293543	35411117	43	-1.0176
ada7e84c-0635-4383-9aad-ea4777268daf	2	35420049	44130570	4927	0.0008
ada7e84c-0635-4383-9aad-ea4777268daf	2	44132689	44132935	3	-1.4205
ada7e84c-0635-4383-9aad-ea4777268daf	2	44133962	131550645	42752	0.0064
ada7e84c-0635-4383-9aad-ea4777268daf	2	131554752	131578090	9	-0.9156
ada7e84c-0635-4383-9aad-ea4777268daf	2	131578249	241537572	62984	0.0055
ada7e84c-0635-4383-9aad-ea4777268daf	3	2170634	197812401	106979	0.0021
ada7e84c-0635-4383-9aad-ea4777268daf	4	1059384	165154892	91559	0.0017
ada7e84c-0635-4383-9aad-ea4777268daf	4	165157354	165167959	7	-1.2721
ada7e84c-0635-4383-9aad-ea4777268daf	4	165174403	187842528	11768	0.0025
ada7e84c-0635-4383-9aad-ea4777268daf	5	914118	180934240	100967	0.0019
ada7e84c-0635-4383-9aad-ea4777268daf	6	1011760	170596889	96998	0.0012
ada7e84c-0635-4383-9aad-ea4777268daf	7	664936	13937291	6275	0.0046
ada7e84c-0635-4383-9aad-ea4777268daf	7	13937330	13937817	2	-1.7904
ada7e84c-0635-4383-9aad-ea4777268daf	7	13937846	13959997	50	-0.045
ada7e84c-0635-4383-9aad-ea4777268daf	7	13960038	13960131	2	-2.2297
ada7e84c-0635-4383-9aad-ea4777268daf	7	13960195	49121079	22121	0.0041
ada7e84c-0635-4383-9aad-ea4777268daf	7	49121270	49121473	2	-2.1254
ada7e84c-0635-4383-9aad-ea4777268daf	7	49123871	127135811	36482	0.0037
ada7e84c-0635-4383-9aad-ea4777268daf	7	127135944	127136408	2	-1.7507
ada7e84c-0635-4383-9aad-ea4777268daf	7	127136421	158592540	16877	0.005
ada7e84c-0635-4383-9aad-ea4777268daf	8	667625	144182542	82089	0.0002
ada7e84c-0635-4383-9aad-ea4777268daf	9	789794	138044505	68321	-0.0019
ada7e84c-0635-4383-9aad-ea4777268daf	10	366509	133411599	81148	0.0031
ada7e84c-0635-4383-9aad-ea4777268daf	11	456012	134272740	77392	0.0016
ada7e84c-0635-4383-9aad-ea4777268daf	12	780472	132605822	74140	-0.0005
ada7e84c-0635-4383-9aad-ea4777268daf	13	18874255	114226675	56872	0.0026
ada7e84c-0635-4383-9aad-ea4777268daf	14	20033191	105533894	49666	0.0019
ada7e84c-0635-4383-9aad-ea4777268daf	15	23437561	101344124	44687	0.0007
ada7e84c-0635-4383-9aad-ea4777268daf	16	603333	89317317	41134	-0.0002
ada7e84c-0635-4383-9aad-ea4777268daf	17	1074619	70044239	30850	0.0002
ada7e84c-0635-4383-9aad-ea4777268daf	17	70044817	70044889	2	-2.8506
ada7e84c-0635-4383-9aad-ea4777268daf	17	70049030	82876571	6281	0.0065
ada7e84c-0635-4383-9aad-ea4777268daf	17	82879867	82959812	56	0.6221
ada7e84c-0635-4383-9aad-ea4777268daf	18	326691	79349796	42865	0.0007
ada7e84c-0635-4383-9aad-ea4777268daf	19	283868	45244986	18702	0.002
ada7e84c-0635-4383-9aad-ea4777268daf	19	45245096	45245997	2	-1.9904
ada7e84c-0635-4383-9aad-ea4777268daf	19	45253118	58370362	5386	0.0137
ada7e84c-0635-4383-9aad-ea4777268daf	20	472817	63588502	37494	0.0047
ada7e84c-0635-4383-9aad-ea4777268daf	21	13974127	46262057	20560	0.0002
ada7e84c-0635-4383-9aad-ea4777268daf	22	16934932	48940621	17062	0.0021
ada7e84c-0635-4383-9aad-ea4777268daf	X	3236359	32139493	13277	0.0043
ada7e84c-0635-4383-9aad-ea4777268daf	X	32142652	32142715	2	-2.9907
ada7e84c-0635-4383-9aad-ea4777268daf	X	32144578	47774371	6878	0.0042
ada7e84c-0635-4383-9aad-ea4777268daf	X	47774448	47776292	2	-4.7702
ada7e84c-0635-4383-9aad-ea4777268daf	X	47776352	99886338	18057	0.0008
ada7e84c-0635-4383-9aad-ea4777268daf	X	99893505	99893520	2	-2.9913
ada7e84c-0635-4383-9aad-ea4777268daf	X	99897896	131030290	14786	0.0031
ada7e84c-0635-4383-9aad-ea4777268daf	X	131032939	131034076	2	-4.0184
ada7e84c-0635-4383-9aad-ea4777268daf	X	131035760	155677414	10729	0.0092
