GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
325289cc-4283-4b48-ae26-83c8cf5c475a	1	3301765	7901234	2977	-0.3212
325289cc-4283-4b48-ae26-83c8cf5c475a	1	7913248	9595737	808	0.2103
325289cc-4283-4b48-ae26-83c8cf5c475a	1	9596389	9885968	115	-0.3396
325289cc-4283-4b48-ae26-83c8cf5c475a	1	9889505	17112700	3499	0.2242
325289cc-4283-4b48-ae26-83c8cf5c475a	1	17114359	17176477	43	0.6569
325289cc-4283-4b48-ae26-83c8cf5c475a	1	17180976	17188269	8	0.3563
325289cc-4283-4b48-ae26-83c8cf5c475a	1	17192378	17193513	6	0.1712
325289cc-4283-4b48-ae26-83c8cf5c475a	1	17197103	17340770	97	-0.3508
325289cc-4283-4b48-ae26-83c8cf5c475a	1	17343416	20568124	2229	0.2497
325289cc-4283-4b48-ae26-83c8cf5c475a	1	20568125	64623638	24856	0.2128
325289cc-4283-4b48-ae26-83c8cf5c475a	1	64625677	65505104	661	0.1441
325289cc-4283-4b48-ae26-83c8cf5c475a	1	65505117	102434228	22423	0.1834
325289cc-4283-4b48-ae26-83c8cf5c475a	1	102434852	107286810	2429	0.1425
325289cc-4283-4b48-ae26-83c8cf5c475a	1	107287056	185344080	29806	0.2031
325289cc-4283-4b48-ae26-83c8cf5c475a	1	185344104	196704501	6789	0.1491
325289cc-4283-4b48-ae26-83c8cf5c475a	1	196704529	215048510	11873	0.2064
325289cc-4283-4b48-ae26-83c8cf5c475a	1	215049112	217397145	1639	0.1546
325289cc-4283-4b48-ae26-83c8cf5c475a	1	217398239	237965333	13260	0.2016
325289cc-4283-4b48-ae26-83c8cf5c475a	1	237965338	241896967	3023	0.1461
325289cc-4283-4b48-ae26-83c8cf5c475a	1	241899543	247644025	2848	0.1954
325289cc-4283-4b48-ae26-83c8cf5c475a	1	247646986	247650984	4	-0.2878
325289cc-4283-4b48-ae26-83c8cf5c475a	2	480597	88826790	50520	-0.5967
325289cc-4283-4b48-ae26-83c8cf5c475a	2	88828606	142651787	24256	-0.3122
325289cc-4283-4b48-ae26-83c8cf5c475a	2	142652586	173717563	18272	-0.2895
325289cc-4283-4b48-ae26-83c8cf5c475a	2	173718653	228716022	31217	-0.3186
