GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	1	3301765	247650984	129592	0.0019
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	2	480597	241537572	132092	0.0072
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	3	2170634	2187556	16	-0.0542
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	3	2187761	2192774	2	-1.9601
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	3	2194010	197812401	107057	0.0027
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	4	1059384	157061100	87157	0.0015
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	4	157065172	157066207	2	-1.5651
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	4	157066228	187842528	16244	0.0042
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	5	913983	94703273	50260	0.0024
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	5	94703289	94710492	3	-1.5366
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	5	94710500	109948892	7518	-0.0002
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	5	109951818	109957728	5	-0.926
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	5	109959435	180934240	43222	0.001
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	6	1011760	170596889	97082	0.0018
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	7	664936	158592540	81864	0.0008
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	8	667625	144182542	82147	0.0002
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	9	789794	9769633	5583	0.0063
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	9	9822053	9824140	7	-0.861
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	9	9824156	75967467	23187	0.0012
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	9	75968271	75968306	2	-1.9085
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	9	75969082	104878505	18896	-0.0034
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	9	104881664	104881969	5	-1.0483
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	9	104882006	138044505	20732	0.0013
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	10	366509	133411599	81202	0.001
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	11	456012	134272740	77513	0.0008
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	12	780472	51007674	26255	-0.0001
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	12	51014313	51015589	2	-1.7731
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	12	51017194	132605822	48020	-0.0016
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	13	18874255	114226675	56928	0.0004
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	14	20033191	104907726	49544	0.0018
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	14	104911026	105010396	37	0.5409
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	14	105011170	105057326	21	-0.0003
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	14	105057480	105120724	20	0.4601
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	14	105121307	105533894	112	0.0031
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	15	23437561	101344124	44744	0.0023
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	16	603333	83760390	38489	-0.0019
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	16	83760392	83760401	2	-1.8489
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	16	83760419	89317317	2694	-0.0014
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	17	1074619	82959812	37252	0.002
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	18	326691	79349796	42915	0.0037
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	19	283868	58370362	24131	-0.003
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	20	472817	63588502	37537	0.0016
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	21	13974127	46262057	20575	0.0002
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	22	16934932	48940621	17078	0.0021
6d686ec2-b09b-4b9d-868a-2bfa288e38ce	X	3236359	155677414	63457	0.0075
