GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	1	3301765	247650984	129435	-0.0004
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	2	480597	19715136	12634	0.0103
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	2	19715677	19720727	9	-0.8152
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	2	19720934	58116031	21491	0.0103
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	2	58119583	58120006	4	-1.0194
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	2	58122125	241537572	97828	0.0075
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	3	2170634	191562314	104345	0.0004
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	3	191566836	191566890	2	-2.0069
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	3	191566911	197812401	2610	0.0093
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	4	1059384	163460830	90720	0.0004
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	4	163463057	163549149	44	0.5227
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	4	163552276	170399613	3647	0.0043
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	4	170413148	170467929	24	0.4261
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	4	170468970	186124059	7817	-0.0041
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	4	186172834	186176244	2	-1.1839
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	4	186185716	187842528	986	0.0089
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	5	913983	158102219	87018	0.001
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	5	158102356	158106946	4	1.1081
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	5	158111986	180934240	13879	0.0009
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	6	1011760	30726039	19127	0.0009
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	6	30729670	30780025	20	0.4694
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	6	30795855	163355768	74470	0.0007
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	6	163356183	163356325	2	-1.6559
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	6	163365664	170596889	3332	0.0017
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	7	664936	158592540	81740	0.0015
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	8	667625	144182542	82068	0.0004
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	9	789794	138044505	68341	0.0014
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	10	366509	133411599	81138	0.0001
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	11	456012	120086807	67582	0.0007
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	11	120086909	120087196	2	-1.4609
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	11	120089551	134272740	9820	-0.002
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	12	780472	59779242	31133	-0.0012
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	12	59779575	59779625	2	-2.3543
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	12	59780047	60445583	388	0.0079
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	12	60446010	60446618	2	-1.2921
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	12	60446762	132605822	42681	-0.0044
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	13	18874255	114226675	56858	0.002
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	14	20033191	26294421	2983	0.0025
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	14	26300516	26300517	2	-2.0446
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	14	26300519	105533894	46702	0.0003
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	15	23437561	101344124	44657	-0.0006
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	16	603333	89317317	41107	0.001
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	17	1074619	12202666	6108	0.0026
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	17	12202882	12203037	2	1.324
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	17	12203297	82959812	31113	0.0033
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	18	326691	79349796	42854	-0.0022
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	19	283868	58370362	24125	0.0064
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	20	472817	63588502	37481	0.0011
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	21	13974127	46262057	20561	-0.0003
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	22	16934932	48940621	17066	0.0035
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	X	3236359	123435523	49434	0.0006
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	X	123435548	123436513	4	-1.6708
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	X	123437664	145252005	9831	0.0059
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	X	145256580	145258851	2	-2.8438
2a7e0055-fe48-4a1f-bd69-bde1a3f5c1fa	X	145259515	155677414	4562	-0.0071
