GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cb7adca8-6f38-4628-805f-4e25afe8dc1c	1	3301765	54112427	27124	0.0046
cb7adca8-6f38-4628-805f-4e25afe8dc1c	1	54114339	54127583	12	0.6632
cb7adca8-6f38-4628-805f-4e25afe8dc1c	1	54128590	247650984	102455	0.0008
cb7adca8-6f38-4628-805f-4e25afe8dc1c	2	480597	31372558	19435	0.0092
cb7adca8-6f38-4628-805f-4e25afe8dc1c	2	31378601	31633904	115	0.5793
cb7adca8-6f38-4628-805f-4e25afe8dc1c	2	31644874	163262644	67230	0.0048
cb7adca8-6f38-4628-805f-4e25afe8dc1c	2	163265276	163322551	32	-1.1064
cb7adca8-6f38-4628-805f-4e25afe8dc1c	2	163326839	241537572	45232	0.0072
cb7adca8-6f38-4628-805f-4e25afe8dc1c	3	2170634	46660272	26626	0.0005
cb7adca8-6f38-4628-805f-4e25afe8dc1c	3	46665706	46665832	2	-2.3834
cb7adca8-6f38-4628-805f-4e25afe8dc1c	3	46668608	165304048	63678	0.002
cb7adca8-6f38-4628-805f-4e25afe8dc1c	3	165304486	165305126	2	-1.4314
cb7adca8-6f38-4628-805f-4e25afe8dc1c	3	165312891	197812401	16739	0.0022
cb7adca8-6f38-4628-805f-4e25afe8dc1c	4	1059384	105673011	58752	0.0022
cb7adca8-6f38-4628-805f-4e25afe8dc1c	4	105673468	105673898	2	1.8923
cb7adca8-6f38-4628-805f-4e25afe8dc1c	4	105678178	187842528	44603	0.0022
cb7adca8-6f38-4628-805f-4e25afe8dc1c	5	913983	75697685	39924	0.0032
cb7adca8-6f38-4628-805f-4e25afe8dc1c	5	75701911	75701931	2	-1.2989
cb7adca8-6f38-4628-805f-4e25afe8dc1c	5	75701948	82657317	4147	0.0085
cb7adca8-6f38-4628-805f-4e25afe8dc1c	5	82657346	82657364	2	-1.6925
cb7adca8-6f38-4628-805f-4e25afe8dc1c	5	82658687	135486593	28936	0.0015
cb7adca8-6f38-4628-805f-4e25afe8dc1c	5	135489795	135489993	2	-1.7014
cb7adca8-6f38-4628-805f-4e25afe8dc1c	5	135492523	180934240	27989	0.001
cb7adca8-6f38-4628-805f-4e25afe8dc1c	6	1011760	170596889	97041	0.0014
cb7adca8-6f38-4628-805f-4e25afe8dc1c	7	664936	158592540	81846	0.001
cb7adca8-6f38-4628-805f-4e25afe8dc1c	8	667625	144182542	82137	-0.0015
cb7adca8-6f38-4628-805f-4e25afe8dc1c	9	789794	87685009	37090	0.0018
cb7adca8-6f38-4628-805f-4e25afe8dc1c	9	87687557	87688360	2	-1.4016
cb7adca8-6f38-4628-805f-4e25afe8dc1c	9	87689022	138044505	31326	0.003
cb7adca8-6f38-4628-805f-4e25afe8dc1c	10	366509	65420363	38961	0.001
cb7adca8-6f38-4628-805f-4e25afe8dc1c	10	65422498	65427214	6	-0.8113
cb7adca8-6f38-4628-805f-4e25afe8dc1c	10	65433597	133411599	42256	0.0029
cb7adca8-6f38-4628-805f-4e25afe8dc1c	11	456012	134272740	77484	0.0009
cb7adca8-6f38-4628-805f-4e25afe8dc1c	12	780472	26435333	15298	-0.0005
cb7adca8-6f38-4628-805f-4e25afe8dc1c	12	26436837	26437419	2	-1.3968
cb7adca8-6f38-4628-805f-4e25afe8dc1c	12	26442015	63147695	17927	0.0015
cb7adca8-6f38-4628-805f-4e25afe8dc1c	12	63150924	63151609	5	-0.864
cb7adca8-6f38-4628-805f-4e25afe8dc1c	12	63153797	67505169	2568	-0.0025
cb7adca8-6f38-4628-805f-4e25afe8dc1c	12	67510445	67510931	4	0.8801
cb7adca8-6f38-4628-805f-4e25afe8dc1c	12	67511183	132605822	38465	0.0038
cb7adca8-6f38-4628-805f-4e25afe8dc1c	13	18874255	114226675	56921	0.0004
cb7adca8-6f38-4628-805f-4e25afe8dc1c	14	20033191	105533894	49726	0.0013
cb7adca8-6f38-4628-805f-4e25afe8dc1c	15	23437561	66888261	24544	0.0007
cb7adca8-6f38-4628-805f-4e25afe8dc1c	15	66888518	66896240	3	-1.4808
cb7adca8-6f38-4628-805f-4e25afe8dc1c	15	66900942	101344124	20174	0.0004
cb7adca8-6f38-4628-805f-4e25afe8dc1c	16	603333	89317317	41169	0.0004
cb7adca8-6f38-4628-805f-4e25afe8dc1c	17	1074619	82959812	37242	0.0003
cb7adca8-6f38-4628-805f-4e25afe8dc1c	18	326691	75642642	40458	-0.0003
cb7adca8-6f38-4628-805f-4e25afe8dc1c	18	75642896	75644099	2	-1.4262
cb7adca8-6f38-4628-805f-4e25afe8dc1c	18	75644166	79349796	2448	0.0007
cb7adca8-6f38-4628-805f-4e25afe8dc1c	19	283868	58370362	24131	0.0032
cb7adca8-6f38-4628-805f-4e25afe8dc1c	20	472817	63588502	37514	-0.0003
cb7adca8-6f38-4628-805f-4e25afe8dc1c	21	13974127	46262057	20577	-0.004
cb7adca8-6f38-4628-805f-4e25afe8dc1c	22	16934932	48940621	17080	0.0033
cb7adca8-6f38-4628-805f-4e25afe8dc1c	X	3236359	155677414	63891	0.0048
